# 20240725_151047
alpha,Dpi0Re,Dpi0Im
0.3585,-0.0741895,0
0.360072,-0.0737853,0
0.361645,-0.0733802,0
0.363217,-0.0729754,0
0.36479,-0.0725708,0
0.366362,-0.0721665,0
0.367934,-0.0717625,0
0.369507,-0.071359,0
0.371079,-0.070956,0
0.372651,-0.0705535,0
0.374224,-0.0701516,0
0.375796,-0.0697503,0
0.377368,-0.069345,0
0.378941,-0.0689299,0
0.380513,-0.0685058,0
0.382086,-0.068073,0
0.383658,-0.0676317,0
0.38523,-0.0671821,0
0.386803,-0.066724,0
0.388375,-0.0662573,0
0.389947,-0.0657815,0
0.39152,-0.0652963,0
0.393092,-0.0648027,0
0.394665,-0.0643238,0
0.396237,-0.0638581,0
0.397809,-0.0633944,0
0.399382,-0.062922,0
0.400954,-0.0624309,0
0.402526,-0.0619201,0
0.404099,-0.0614223,0
0.405671,-0.0609357,0
0.407243,-0.0604521,0
0.408816,-0.0599631,0
0.410388,-0.0594659,0
0.411961,-0.0589438,0
0.413533,-0.0584298,0
0.415105,-0.0579218,0
0.416678,-0.0574073,0
0.41825,-0.0568741,0
0.419822,-0.0563326,0
0.421395,-0.0558029,0
0.422967,-0.055279,0
0.42454,-0.0547549,0
0.426112,-0.0542248,0
0.427684,-0.0536867,0
0.429257,-0.0531448,0
0.430829,-0.0525992,0
0.432401,-0.0520496,0
0.433974,-0.0514955,0
0.435546,-0.0509366,0
0.437118,-0.0503725,0
0.438691,-0.0498027,0
0.440263,-0.0492265,0
0.441836,-0.0486435,0
0.443408,-0.048038,0
0.44498,-0.0474097,0
0.446553,-0.0467665,0
0.448125,-0.0461001,0
0.449697,-0.0454028,0
0.45127,-0.0446711,0
0.452842,-0.0439225,0
0.454415,-0.0431604,0
0.455987,-0.0423844,0
0.457559,-0.0415941,0
0.459132,-0.0407894,0
0.460704,-0.0399698,0
0.462276,-0.0391388,0
0.463849,-0.0382955,0
0.465421,-0.037445,0
0.466994,-0.0365966,0
0.468566,-0.0357411,0
0.470138,-0.0348762,0
0.471711,-0.0340139,0
0.473283,-0.0331558,0
0.474855,-0.0323022,0
0.476428,-0.0314523,0
0.478,-0.0305939,0
0.479572,-0.0297257,0
0.481145,-0.0288523,0
0.482717,-0.0279725,0
0.48429,-0.0270855,0
0.485862,-0.0261905,0
0.487434,-0.0252867,0
0.489007,-0.0243736,0
0.490579,-0.0234508,0
0.492151,-0.0225181,0
0.493724,-0.0215742,0
0.495296,-0.0206226,0
0.496869,-0.0196674,0
0.498441,-0.018706,0
0.500013,-0.0177355,0
0.501586,-0.0167559,0
0.503158,-0.0157683,0
0.50473,-0.0147723,0
0.506303,-0.0137682,0
0.507875,-0.0127566,0
0.509447,-0.0117377,0
0.51102,-0.0107123,0
0.512592,-0.0096813,0
0.514165,-0.00864528,0
0.515737,-0.00760394,0
0.517309,-0.00655596,0
0.518882,-0.00550097,0
0.520454,-0.00443861,0
0.522026,-0.00336856,0
0.523599,-0.00229049,0
0.525171,-0.00120408,0
0.526744,-0.000109077,0
0.528316,0.000994283,0
0.529888,0.00210607,0
0.531461,0.0032269,0
0.533033,0.00435708,0
0.534605,0.00549648,0
0.536178,0.00664462,0
0.53775,0.00780111,0
0.539322,0.00896559,0
