# 20240731_151921
alpha,tauRe,tauIm
0,13.0145,0
0.00157237,13.0142,0
0.00314474,13.0139,0
0.00471711,13.0136,0
0.00628947,13.0134,0
0.00786184,13.0131,0
0.00943421,13.0129,0
0.0110066,13.0127,0
0.0125789,13.0126,0
0.0141513,13.0124,0
0.0157237,13.0123,0
0.0172961,13.0121,0
0.0188684,13.012,0
0.0204408,13.0119,0
0.0220132,13.0117,0
0.0235855,13.0116,0
0.0251579,13.0115,0
0.0267303,13.0114,0
0.0283026,13.0113,0
0.029875,13.0112,0
0.0314474,13.0111,0
0.0330197,13.011,0
0.0345921,13.0109,0
0.0361645,13.0107,0
0.0377368,13.0106,0
0.0393092,13.0105,0
0.0408816,13.0104,0
0.042454,13.0103,0
0.0440263,13.0101,0
0.0455987,13.01,0
0.0471711,13.0098,0
0.0487434,13.0097,0
0.0503158,13.0095,0
0.0518882,13.0094,0
0.0534605,13.0092,0
0.0550329,13.0091,0
0.0566053,13.0089,0
0.0581776,13.0087,0
0.05975,13.0085,0
0.0613224,13.0083,0
0.0628947,13.0081,0
0.0644671,13.0079,0
0.0660395,13.0077,0
0.0676119,13.0075,0
0.0691842,13.0072,0
0.0707566,13.007,0
0.072329,13.0068,0
0.0739013,13.0065,0
0.0754737,13.0063,0
0.0770461,13.006,0
0.0786184,13.0057,0
0.0801908,13.0055,0
0.0817632,13.0052,0
0.0833355,13.0049,0
0.0849079,13.0046,0
0.0864803,13.0043,0
0.0880526,13.004,0
0.089625,13.0037,0
0.0911974,13.0033,0
0.0927698,13.003,0
0.0943421,13.0027,0
0.0959145,13.0023,0
0.0974869,13.002,0
0.0990592,13.0016,0
0.100632,13.0013,0
0.102204,13.0009,0
0.103776,13.0005,0
0.105349,13.0002,0
0.106921,12.9998,0
0.108493,12.9994,0
0.110066,12.999,0
0.111638,12.9986,0
0.113211,12.9982,0
0.114783,12.9977,0
0.116355,12.9973,0
0.117928,12.9969,0
0.1195,12.9964,0
0.121072,12.996,0
0.122645,12.9955,0
0.124217,12.995,0
0.125789,12.9946,0
0.127362,12.9941,0
0.128934,12.9936,0
0.130507,12.9931,0
0.132079,12.9926,0
0.133651,12.9921,0
0.135224,12.9915,0
0.136796,12.991,0
0.138368,12.9905,0
0.139941,12.9899,0
0.141513,12.9894,0
0.143086,12.9888,0
0.144658,12.9882,0
0.14623,12.9876,0
0.147803,12.987,0
0.149375,12.9864,0
0.150947,12.9858,0
0.15252,12.9852,0
0.154092,12.9845,0
0.155665,12.9839,0
0.157237,12.9832,0
0.158809,12.9826,0
0.160382,12.9819,0
0.161954,12.9812,0
0.163526,12.9805,0
0.165099,12.9798,0
0.166671,12.9791,0
0.168243,12.9783,0
0.169816,12.9776,0
0.171388,12.9768,0
0.172961,12.9761,0
0.174533,12.9753,0
0.176105,12.9745,0
0.177678,12.9737,0
0.17925,12.9728,0
0.180822,12.972,0
0.182395,12.9712,0
0.183967,12.9703,0
0.18554,12.9694,0
0.187112,12.9685,0
0.188684,12.9676,0
0.190257,12.9667,0
0.191829,12.9658,0
0.193401,12.9648,0
0.194974,12.9639,0
0.196546,12.9629,0
0.198118,12.9619,0
0.199691,12.9609,0
0.201263,12.9599,0
0.202836,12.9588,0
0.204408,12.9578,0
0.20598,12.9567,0
0.207553,12.9556,0
0.209125,12.9545,0
0.210697,12.9534,0
0.21227,12.9523,0
0.213842,12.9511,0
0.215415,12.9499,0
0.216987,12.9487,0
0.218559,12.9475,0
0.220132,12.9463,0
0.221704,12.9451,0
0.223276,12.9438,0
0.224849,12.9425,0
0.226421,12.9412,0
0.227993,12.9399,0
0.229566,12.9385,0
0.231138,12.9372,0
0.232711,12.9358,0
0.234283,12.9344,0
0.235855,12.933,0
0.237428,12.9315,0
0.239,12.9301,0
0.240572,12.9286,0
0.242145,12.9271,0
0.243717,12.9255,0
0.24529,12.924,0
0.246862,12.9224,0
0.248434,12.9208,0
0.250007,12.9192,0
0.251579,12.9175,0
