# 20240731_151921
alpha,rRe,rIm
0.408816,5.27539,0
0.410388,5.29567,0
0.411961,5.31593,0
0.413533,5.33618,0
0.415105,5.35641,0
0.416678,5.37662,0
0.41825,5.39681,0
0.419822,5.41699,0
0.421395,5.43715,0
0.422967,5.4573,0
0.42454,5.47742,0
0.426112,5.49753,0
0.427684,5.51762,0
0.429257,5.53769,0
0.430829,5.55773,0
0.432401,5.57776,0
0.433974,5.59777,0
0.435546,5.61776,0
0.437118,5.63773,0
0.438691,5.65767,0
0.440263,5.6776,0
0.441836,5.6975,0
0.443408,5.71738,0
0.44498,5.73724,0
0.446553,5.75708,0
0.448125,5.77689,0
0.449697,5.79668,0
0.45127,5.81644,0
0.452842,5.83618,0
0.454415,5.8559,0
0.455987,5.87559,0
0.457559,5.89525,0
0.459132,5.91489,0
0.460704,5.9345,0
0.462276,5.95409,0
0.463849,5.97365,0
0.465421,5.99318,0
0.466994,6.01269,0
0.468566,6.03217,0
0.470138,6.05162,0
0.471711,6.07104,0
0.473283,6.09043,0
0.474855,6.10979,0
0.476428,6.12912,0
0.478,6.14843,0
0.479572,6.1677,0
0.481145,6.18694,0
0.482717,6.20616,0
0.48429,6.22534,0
0.485862,6.24448,0
0.487434,6.2636,0
0.489007,6.28268,0
0.490579,6.30173,0
0.492151,6.32075,0
0.493724,6.33974,0
0.495296,6.35869,0
0.496869,6.3776,0
0.498441,6.39648,0
0.500013,6.41533,0
0.501586,6.43414,0
0.503158,6.45292,0
0.50473,6.47166,0
0.506303,6.49036,0
0.507875,6.50902,0
0.509447,6.52765,0
0.51102,6.54625,0
0.512592,6.5648,0
0.514165,6.58331,0
0.515737,6.60179,0
0.517309,6.62023,0
0.518882,6.63862,0
0.520454,6.65698,0
0.522026,6.6753,0
0.523599,6.69358,0
0.525171,6.71181,0
0.526744,6.73001,0
0.528316,6.74816,0
0.529888,6.76627,0
0.531461,6.78434,0
0.533033,6.80237,0
0.534605,6.82035,0
0.536178,6.83829,0
0.53775,6.85619,0
0.539322,6.87404,0
0.540895,6.89184,0
0.542467,6.90961,0
0.54404,6.92732,0
0.545612,6.94499,0
0.547184,6.96262,0
0.548757,6.98019,0
0.550329,6.99772,0
0.551901,7.01521,0
0.553474,7.03264,0
0.555046,7.05003,0
0.556619,7.06737,0
0.558191,7.08466,0
0.559763,7.1019,0
0.561336,7.11909,0
0.562908,7.13623,0
0.56448,7.15332,0
0.566053,7.17036,0
0.567625,7.18735,0
0.569197,7.20429,0
0.57077,7.22117,0
0.572342,7.23801,0
0.573915,7.25479,0
0.575487,7.27151,0
0.577059,7.28819,0
0.578632,7.30481,0
0.580204,7.32137,0
0.581776,7.33788,0
0.583349,7.35434,0
0.584921,7.37074,0
0.586494,7.38708,0
0.588066,7.40337,0
0.589638,7.4196,0
0.591211,7.43578,0
0.592783,7.4519,0
0.594355,7.46796,0
0.595928,7.48396,0
0.5975,7.4999,0
0.599072,7.51579,0
0.600645,7.53161,0
0.602217,7.54738,0
0.60379,7.56308,0
0.605362,7.57873,0
0.606934,7.59431,0
0.608507,7.60984,0
0.610079,7.6253,0
0.611651,7.6407,0
0.613224,7.65604,0
0.614796,7.67131,0
0.616369,7.68653,0
0.617941,7.70168,0
0.619513,7.71676,0
0.621086,7.73178,0
0.622658,7.74674,0
0.62423,7.76163,0
0.625803,7.77646,0
0.627375,7.79122,0
0.628947,7.80592,0
0.63052,7.82054,0
0.632092,7.83511,0
0.633665,7.8496,0
0.635237,7.86403,0
0.636809,7.87839,0
0.638382,7.89268,0
0.639954,7.90691,0
0.641526,7.92106,0
0.643099,7.93515,0
0.644671,7.94917,0
0.646244,7.96311,0
0.647816,7.97699,0
0.649388,7.99079,0
