"alpha","tau","r","Dtau","Dr","ur","utau"
0.,13.012590824792515,0.110775532090778,-0.01601941805777387,12.6125317811812,0.010068038019819148,1.0000501308011975
0.001,13.012572864860871,0.1233877747948644,-0.017694751664584486,12.61251153880452,0.011214401249781444,1.0000623916111255
0.002,13.012553320075162,0.13600003048081,-0.019374271460442932,12.612511571874615,0.012360769185292629,1.0000759614135197
0.003,13.012532181369497,0.14861231821460358,-0.021058096103361956,12.61253185112581,0.013507144229665015,1.0000908404502677
0.004,13.012509439677986,0.16122465706223327,-0.02274634425135435,12.612572347292444,0.014653528786210901,1.0001070289632576
0.005,13.012485085934735,0.17383706608968846,-0.024439134562432886,12.612633031108846,0.015799925258242635,1.0001245271943773
0.006,13.012459111073852,0.18644956436295756,-0.026136585694610324,12.61271387330935,0.016946336049072516,1.000143335385515
0.007,13.012431506029447,0.19906217094802892,-0.02783881630589939,12.61281484462829,0.018092763562012844,1.000163453778558
0.008,13.012402261735629,0.21167490491089147,-0.029545945054312878,12.612935915799996,0.019239210200375934,1.000184882615395
0.009000000000000001,13.012371369126503,0.22428778531753374,-0.03125809059786354,12.613077057558801,0.020385678367474104,1.0002076221379135
0.01,13.01233881913618,0.23690083123394434,-0.03297537159456414,12.61323824063904,0.021532170466619663,1.0002316725880018
0.011,13.01230460269877,0.249514061726112,-0.034697906702427436,12.613419435775043,0.022678688901124927,1.0002570342075474
0.012,13.012268710748376,0.2621274958600253,-0.036425814579466205,12.613620613701146,0.023825236074302203,1.0002837072384387
0.013000000000000001,13.012231134219112,0.2747411527016728,-0.0381592138836932,12.613841745151678,0.024971814389463807,1.0003116919225634
0.014,13.012191864045084,0.2873550513170432,-0.03989822327312118,12.614082800860974,0.026118426249922038,1.0003409885018095
0.015,13.012150891160399,0.29996921077212535,-0.04164296140576292,12.614343751563364,0.02726507405898924,1.000371597218065
0.016,13.012108206499168,0.3125836501329076,-0.043393546939631183,12.614624567993184,0.0284117602199777,1.0004035183132178
0.017,13.012063800995497,0.32519838846537874,-0.04515009853273873,12.614925220884766,0.02955848713619974,1.0004367520291557
0.018000000000000002,13.012017665583496,0.33781344483552744,-0.04691273484309832,12.615245680972441,0.03070525721096767,1.000471298607767
0.019,13.011969791197274,0.35042883830934224,-0.04868157452872271,12.615585918990542,0.031852072847593796,1.0005071582909395
0.02,13.011920168770937,0.3630445879528118,-0.05045673624762467,12.615945905673403,0.03299893644939045,1.000544331320561
0.021,13.011868789238594,0.3756607128319248,-0.05223833865781698,12.616325611755355,0.03414585041966992,1.0005828179385197
0.022,13.011815643534353,0.38827723201266984,-0.05402650041731237,12.616725007970732,0.03529281716174453,1.0006226183867033
0.023,13.011760722592326,0.40089416456103566,-0.05582134018412363,12.617144065053868,0.0364398390789266,1.0006637329069998
0.024,13.011704017346617,0.4135115295430108,-0.057622976616263505,12.617582753739091,0.037586918574528436,1.0007061617412976
0.025,13.011645518731337,0.4261293460245839,-0.05943152837174478,12.618041044760739,0.03873405805186234,1.0007499051314839
0.026000000000000002,13.011585217680592,0.4387476330717437,-0.0612471141085802,12.61851890885314,0.039881259914240644,1.0007949633194473
0.027,13.011523105128491,0.4513664097504787,-0.06306985248478253,12.61901631675063,0.041028526564975645,1.0008413365470754
0.028,13.011459172009145,0.4639856951267776,-0.06489986215836453,12.619533239187541,0.04217586040737966,1.000889025056256
0.029,13.011393409256659,0.4766055082666292,-0.06673726178733898,12.620069646898203,0.043323263844765,1.0009380290888776
0.03,13.011325807805143,0.4892258682360218,-0.06858217002971863,12.620625510616954,0.04447073928044398,1.0009883488868279
0.031,13.011256358588707,0.5018467941009443,-0.07043470554351625,12.621200801078121,0.04561828911772892,1.0010399846919946
0.032,13.011185052541455,0.5144683049273854,-0.0722949869867446,12.62179548901604,0.04676591575993212,1.001092936746266
0.033,13.011111880597499,0.5270904197813335,-0.07416313301741642,12.622409545165043,0.0479136216103659,1.0011472052915298
0.034,13.011036833690946,0.5397131577287775,-0.07603926229354452,12.623042940259463,0.04906140907234257,1.001202790569674
0.035,13.010959902755905,0.5523365378357058,-0.07792349347314163,12.623695645033632,0.05020928054917444,1.001259692822587
0.036000000000000004,13.010881078726483,0.5649605791681072,-0.07981594521422053,12.624367630221883,0.05135723844417382,1.001317912292156
0.037,13.01080035253679,0.5775853007919701,-0.08171673617479394,12.625058866558547,0.05250528516065303,1.0013774492202694
0.038,13.010717715120933,0.5902107217732835,-0.08362598501287469,12.62576932477796,0.05365342310192438,1.001438303848815
0.039,13.010633157413022,0.6028368611780359,-0.0855438103864755,12.626498975614451,0.05480165467130019,1.001500476419681
0.04,13.010546670347164,0.6154637380722159,-0.08747033095360915,12.627247789802356,0.05594998227209275,1.0015639671747552
0.041,13.010458244857467,0.6280913715218122,-0.0894056653722884,12.628015738076005,0.0570984083076144,1.0016287763559253
0.042,13.01036787187804,0.6407197805928132,-0.09134993230052602,12.628802791169733,0.058246935181177434,1.0016949042050796
0.043000000000000003,13.010275542342994,0.6533489843512079,-0.09330325039633473,12.629608919817871,0.059395565296094174,1.001762350964106
0.044,13.010181247186432,0.6659790018629846,-0.09526573831772733,12.630434094754753,0.060544301055676916,1.0018311168748923
0.045,13.010084977342466,0.6786098521941323,-0.0972375147227166,12.631278286714709,0.061693144863238,1.0019012021793265
0.046,13.009986723745204,0.6912415544106394,-0.09921869826931529,12.632141466432074,0.06284209912208971,1.0019726071192967
0.047,13.009886477328754,0.7038741275784945,-0.10120940761553614,12.633023604641181,0.06399116623554439,1.0020453319366907
0.048,13.009784229027224,0.7165075907636865,-0.10320976141939193,12.633924672076361,0.06514034860691433,1.0021193768733965
0.049,13.009679969774723,0.7291419630322039,-0.10521987833889543,12.634844639471948,0.06628964863951184,1.002194742171302
0.05,13.009573690505357,0.7417772634500353,-0.1072398770320594,12.635783477562274,0.06743906873664923,1.0022714280722953
0.051000000000000004,13.00946538215324,0.7544135110831693,-0.10926987615689658,12.636741157081673,0.06858861130163883,1.0023494348182642
0.052000000000000005,13.009355035652472,0.7670507249975946,-0.11130999437141977,12.637717648764475,0.06973827873779295,1.0024287626510968
0.053,13.009242699091335,0.7796889379276706,-0.11335830450356812,12.638713413374976,0.07088807354985982,1.0025094100397862
0.054,13.009128412996507,0.7923281807994097,-0.11541315004782755,12.639728846845731,0.07203799822916757,1.0025913756878826
0.055,13.00901205717895,0.8049684461037915,-0.11747862730912764,12.640762967160311,0.0731880549818096,1.0026746632842607
0.056,13.008893619343873,0.8176097521346166,-0.11955497052364333,12.641815717369049,0.07433824620536768,1.002759273170967
0.057,13.008773087196492,0.8302521171856859,-0.12164241392754964,12.642887040522272,0.07548857429742353,1.0028452056900485
0.058,13.008650448442015,0.8428955595508003,-0.12374119175702149,12.643976879670314,0.0766390416555589,1.0029324611835517
0.059000000000000004,13.008525690785657,0.8555400975237603,-0.12585153824823386,12.645085177863505,0.07778965067735553,1.0030210399935235
0.06,13.008398801932628,0.8681857493983667,-0.12797368763736175,12.64621187815218,0.07894040376039516,1.0031109424620108
0.061,13.008269769588141,0.8808325334684204,-0.1301078741605801,12.647356923586665,0.08009130330225951,1.0032021689310604
0.062,13.008138581457409,0.8934804680277222,-0.13225433205406387,12.648520257217296,0.08124235170053035,1.0032947197427187
0.063,13.008005225245642,0.9061295713700728,-0.13441329555398807,12.649701822094402,0.0823935513527894,1.0033885952390327
0.064,13.007869688658053,0.918779861789273,-0.13658499889652764,12.650901561268316,0.08354490465661842,1.003483795762049
0.065,13.007731959399853,0.9314313575791234,-0.13876967631785755,12.652119417789368,0.08469641400959912,1.0035803216538148
0.066,13.007592025176256,0.944084077033425,-0.14096756205415276,12.65335533470789,0.08584808180931326,1.0036781732563764
0.067,13.007449873692474,0.9567380384459785,-0.14317889034158826,12.654609255074211,0.08699991045334257,1.0037773509117807
0.068,13.007305492653717,0.9693932601105846,-0.14540389541633902,12.655881121938668,0.0881519023392688,1.0038778549620746
0.069,13.007158869765197,0.9820497603210441,-0.14764281151458,12.657170878351586,0.08930405986467367,1.0039796857493046
0.07,13.00700999273213,0.9947075573711578,-0.14989587287248615,12.6584784673633,0.09045638542713895,1.0040828436155176
0.07100000000000001,13.00685899544374,1.0073667134793765,-0.15216817911881667,12.659803808836433,0.09160888247696188,1.0041873248157787
0.07200000000000001,13.006705744753571,1.0200272106265893,-0.1544559422250321,12.661146864990805,0.09276155254143462,1.0042931330708795
0.073,13.00655019668979,1.0326890575884349,-0.15675834213099812,12.662507583901363,0.09391439779002286,1.0044002696084877
0.074,13.006392335529085,1.0453522716285286,-0.15907549896254142,12.66388590916227,0.09506742059561853,1.0045087348665034
0.075,13.006232145548148,1.0580168700104855,-0.1614075328454885,12.66528178436769,0.0962206233311135,1.0046185292828276
0.076,13.006069611023666,1.070682869997921,-0.16375456390566592,12.666695153111787,0.0973740083693997,1.004729653295361
0.077,13.005904716232326,1.08335028885445,-0.16611671226890026,12.668125958988727,0.09852757808336904,1.004842107342004
0.078,13.005737445450823,1.096019143843688,-0.16849409806101806,12.66957414559267,0.0996813348459134,1.0049558918606574
0.079,13.005567782955842,1.10868945222925,-0.17088684140784588,12.67103965651778,0.10083528102992471,1.005071007289222
0.08,13.005395713024072,1.1213612312747516,-0.17329506243521028,12.672522435358221,0.10198941900829486,1.0051874540655985
0.081,13.005221219932205,1.1340344982438075,-0.17571888126893787,12.67402242570816,0.10314375115391576,1.0053052326276872
0.082,13.00504428795693,1.1467092704000335,-0.17815841803485513,12.675539571161757,0.10429827983967932,1.0054243434133894
0.083,13.004864901374933,1.1593855650070444,-0.18061379285878867,12.677073815313179,0.10545300743847744,1.005544786860605
0.084,13.004683044462908,1.1720633993284555,-0.18308512586656506,12.678625101756586,0.10660793632320202,1.0056665634072355
0.085,13.00449870149754,1.184742790627882,-0.18557253718401084,12.680193374086143,0.10776306886674497,1.005789673491181
