alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0,0.0808258,0,-0.174649,0
0.00157237,0.0808292,0,-0.174669,0
0.00314474,0.080833,0,-0.174688,0
0.00471711,0.0808377,0,-0.174705,0
0.00628947,0.0808429,0,-0.174723,0
0.00786184,0.0808487,0,-0.174739,0
0.00943421,0.0808549,0,-0.174755,0
0.0110066,0.0808616,0,-0.174771,0
0.0125789,0.0808688,0,-0.174785,0
0.0141513,0.0808765,0,-0.1748,0
0.0157237,0.0808848,0,-0.174813,0
0.0172961,0.0808936,0,-0.174826,0
0.0188684,0.0809029,0,-0.174838,0
0.0204408,0.0809128,0,-0.174849,0
0.0220132,0.0809235,0,-0.174858,0
0.0235855,0.0809348,0,-0.174866,0
0.0251579,0.0809468,0,-0.174874,0
0.0267303,0.0809595,0,-0.17488,0
0.0283026,0.0809729,0,-0.174887,0
0.029875,0.0809869,0,-0.174893,0
0.0314474,0.0810016,0,-0.1749,0
0.0330197,0.0810169,0,-0.174907,0
0.0345921,0.0810329,0,-0.174915,0
0.0361645,0.0810495,0,-0.174924,0
0.0377368,0.0810667,0,-0.174935,0
0.0393092,0.0810845,0,-0.174946,0
0.0408816,0.0811028,0,-0.174958,0
0.042454,0.0811218,0,-0.174971,0
0.0440263,0.0811413,0,-0.174985,0
0.0455987,0.0811614,0,-0.175,0
0.0471711,0.081182,0,-0.175015,0
0.0487434,0.0812031,0,-0.17503,0
0.0503158,0.0812248,0,-0.175046,0
0.0518882,0.0812469,0,-0.175061,0
0.0534605,0.0812696,0,-0.175077,0
0.0550329,0.0812928,0,-0.175094,0
0.0566053,0.0813164,0,-0.175112,0
0.0581776,0.0813405,0,-0.175131,0
0.05975,0.0813651,0,-0.175151,0
0.0613224,0.0813901,0,-0.175171,0
0.0628947,0.0814155,0,-0.175193,0
0.0644671,0.0814414,0,-0.175215,0
0.0660395,0.0814676,0,-0.175237,0
0.0676119,0.0814943,0,-0.175261,0
0.0691842,0.0815214,0,-0.175284,0
0.0707566,0.0815488,0,-0.175308,0
0.072329,0.0815766,0,-0.175333,0
0.0739013,0.0816048,0,-0.175359,0
0.0754737,0.0816333,0,-0.175387,0
0.0770461,0.0816622,0,-0.175415,0
0.0786184,0.0816914,0,-0.175444,0
0.0801908,0.0817209,0,-0.175474,0
0.0817632,0.0817507,0,-0.175505,0
0.0833355,0.0817807,0,-0.175537,0
0.0849079,0.0818111,0,-0.175569,0
0.0864803,0.0818418,0,-0.175602,0
0.0880526,0.0818732,0,-0.175635,0
0.089625,0.0819055,0,-0.175668,0
0.0911974,0.0819387,0,-0.175701,0
0.0927698,0.0819728,0,-0.175735,0
0.0943421,0.0820079,0,-0.175768,0
0.0959145,0.0820439,0,-0.175802,0
0.0974869,0.0820807,0,-0.175835,0
0.0990592,0.0821185,0,-0.175869,0
