# 20240725_151406
alpha,DrRe,DrIm
0.413533,12.8409,0
0.415105,12.8491,0
0.416678,12.8566,0
0.41825,12.86,0
0.419822,12.8574,0
0.421395,12.8498,0
0.422967,12.8386,0
0.42454,12.8254,0
0.426112,12.8117,0
0.427684,12.796,0
0.429257,12.7738,0
0.430829,12.7468,0
0.432401,12.7166,0
0.433974,12.6849,0
0.435546,12.6534,0
0.437118,12.6238,0
0.438691,12.5977,0
0.440263,12.5769,0
0.441836,12.5629,0
0.443408,12.5576,0
0.44498,12.5626,0
0.446553,12.575,0
0.448125,12.589,0
0.449697,12.5989,0
0.45127,12.5986,0
0.452842,12.5838,0
0.454415,12.558,0
0.455987,12.5252,0
0.457559,12.4895,0
0.459132,12.4551,0
0.460704,12.4262,0
0.462276,12.3972,0
0.463849,12.3782,0
0.465421,12.3818,0
0.466994,12.3903,0
0.468566,12.3965,0
0.470138,12.387,0
0.471711,12.3497,0
0.473283,12.2968,0
0.474855,12.2413,0
0.476428,12.196,0
0.478,12.1738,0
0.479572,12.1752,0
0.481145,12.1819,0
0.482717,12.1919,0
0.48429,12.2042,0
0.485862,12.2172,0
0.487434,12.2298,0
0.489007,12.2405,0
0.490579,12.2482,0
0.492151,12.2513,0
0.493724,12.1789,0
0.495296,12.035,0
0.496869,11.9544,0
0.498441,11.9369,0
0.500013,11.9374,0
0.501586,11.9378,0
0.503158,11.934,0
0.50473,11.9145,0
0.506303,11.8892,0
0.507875,11.8676,0
0.509447,11.8451,0
0.51102,11.8221,0
0.512592,11.8004,0
0.514165,11.7817,0
0.515737,11.7671,0
0.517309,11.7557,0
0.518882,11.7456,0
0.520454,11.7351,0
0.522026,11.7226,0
0.523599,11.7063,0
0.525171,11.6817,0
0.526744,11.6309,0
0.528316,11.5623,0
0.529888,11.4893,0
0.531461,11.4254,0
0.533033,11.3836,0
0.534605,11.3604,0
0.536178,11.3469,0
0.53775,11.3341,0
0.539322,11.3193,0
0.540895,11.3008,0
0.542467,11.275,0
0.54404,11.2423,0
0.545612,11.2048,0
0.547184,11.1647,0
0.548757,11.124,0
0.550329,11.085,0
0.551901,11.0497,0
0.553474,11.0152,0
0.555046,10.9856,0
0.556619,10.9677,0
0.558191,10.9541,0
0.559763,10.9366,0
0.561336,10.9139,0
0.562908,10.8935,0
0.56448,10.8783,0
0.566053,10.863,0
0.567625,10.8408,0
0.569197,10.809,0
0.57077,10.7735,0
0.572342,10.7405,0
0.573915,10.7091,0
0.575487,10.6782,0
0.577059,10.6471,0
0.578632,10.6147,0
0.580204,10.5804,0
0.581776,10.5433,0
0.583349,10.5025,0
0.584921,10.4528,0
0.586494,10.3945,0
0.588066,10.3327,0
0.589638,10.2724,0
0.591211,10.2188,0
0.592783,10.175,0
0.594355,10.1356,0
0.595928,10.1021,0
0.5975,10.0771,0
0.599072,10.0574,0
0.600645,10.027,0
0.602217,9.99905,0
0.60379,9.98598,0
0.605362,9.97047,0
0.606934,9.93384,0
0.608507,9.87719,0
0.610079,9.80787,0
0.611651,9.73325,0
0.613224,9.66069,0
0.614796,9.60643,0
0.616369,9.57636,0
0.617941,9.55406,0
0.619513,9.53347,0
0.621086,9.50853,0
0.622658,9.478,0
0.62423,9.44689,0
0.625803,9.41615,0
0.627375,9.38826,0
0.628947,9.36488,0
0.63052,9.33038,0
0.632092,9.28028,0
0.633665,9.22172,0
0.635237,9.16215,0
0.636809,9.10615,0
0.638382,9.04646,0
0.639954,8.98735,0
0.641526,8.93496,0
0.643099,8.8954,0
0.644671,8.86726,0
0.646244,8.83649,0
0.647816,8.80368,0
0.649388,8.76684,0
0.650961,8.73642,0
0.652533,8.71592,0
