# 20240725_151035
alpha,thetaRe,thetaIm
0.204408,0.655628,0
0.20598,0.656456,0
0.207553,0.657287,0
0.209125,0.658123,0
0.210697,0.658963,0
0.21227,0.659806,0
0.213842,0.660654,0
0.215415,0.661505,0
0.216987,0.66236,0
0.218559,0.663219,0
0.220132,0.664081,0
0.221704,0.664947,0
0.223276,0.665816,0
0.224849,0.666689,0
0.226421,0.667565,0
0.227993,0.668448,0
0.229566,0.669347,0
0.231138,0.670262,0
0.232711,0.671193,0
0.234283,0.67214,0
0.235855,0.673103,0
0.237428,0.674081,0
0.239,0.675075,0
0.240572,0.676084,0
0.242145,0.677108,0
0.243717,0.678147,0
0.24529,0.679201,0
0.246862,0.680269,0
0.248434,0.681352,0
0.250007,0.682449,0
0.251579,0.683561,0
0.253151,0.684686,0
0.254724,0.685826,0
0.256296,0.686979,0
0.257868,0.688145,0
0.259441,0.689325,0
0.261013,0.690519,0
0.262586,0.691725,0
0.264158,0.692944,0
0.26573,0.694177,0
0.267303,0.695421,0
0.268875,0.696678,0
0.270447,0.697948,0
0.27202,0.69923,0
0.273592,0.700523,0
0.275165,0.701829,0
0.276737,0.703146,0
0.278309,0.704474,0
0.279882,0.705815,0
0.281454,0.707166,0
0.283026,0.708528,0
0.284599,0.709901,0
0.286171,0.711286,0
0.287743,0.71268,0
0.289316,0.714085,0
0.290888,0.715501,0
0.292461,0.716926,0
0.294033,0.718362,0
0.295605,0.719807,0
0.297178,0.721262,0
0.29875,0.722726,0
0.300322,0.7242,0
0.301895,0.725683,0
0.303467,0.727175,0
0.30504,0.728676,0
0.306612,0.730186,0
0.308184,0.731704,0
0.309757,0.733231,0
0.311329,0.734766,0
0.312901,0.736309,0
0.314474,0.73786,0
0.316046,0.739419,0
0.317618,0.740985,0
0.319191,0.742559,0
0.320763,0.744141,0
0.322336,0.745729,0
0.323908,0.747325,0
0.32548,0.748927,0
0.327053,0.750536,0
0.328625,0.752152,0
0.330197,0.753774,0
0.33177,0.755402,0
0.333342,0.757037,0
0.334915,0.758677,0
0.336487,0.760323,0
0.338059,0.761975,0
0.339632,0.763632,0
0.341204,0.765295,0
0.342776,0.766962,0
0.344349,0.768635,0
0.345921,0.770313,0
0.347493,0.771995,0
0.349066,0.773682,0
0.350638,0.775373,0
0.352211,0.777068,0
0.353783,0.778768,0
0.355355,0.780471,0
0.356928,0.782193,0
0.3585,0.783942,0
0.360072,0.785719,0
0.361645,0.787523,0
0.363217,0.789352,0
0.36479,0.791207,0
0.366362,0.793087,0
0.367934,0.794991,0
0.369507,0.796918,0
0.371079,0.798869,0
0.372651,0.800841,0
0.374224,0.802835,0
0.375796,0.80485,0
0.377368,0.806885,0
0.378941,0.80894,0
0.380513,0.811013,0
0.382086,0.813105,0
0.383658,0.815215,0
0.38523,0.817342,0
0.386803,0.819486,0
0.388375,0.821645,0
0.389947,0.823819,0
0.39152,0.826008,0
0.393092,0.828211,0
0.394665,0.830427,0
0.396237,0.832656,0
0.397809,0.834897,0
0.399382,0.837149,0
0.400954,0.839412,0
0.402526,0.841685,0
0.404099,0.843967,0
0.405671,0.846258,0
0.407243,0.848557,0
0.408816,0.850864,0
0.410388,0.853178,0
0.411961,0.855498,0
0.413533,0.857823,0
0.415105,0.860157,0
0.416678,0.862511,0
0.41825,0.864883,0
0.419822,0.867275,0
0.421395,0.869685,0
0.422967,0.872114,0
0.42454,0.874561,0
0.426112,0.877026,0
0.427684,0.879508,0
0.429257,0.882007,0
0.430829,0.884524,0
0.432401,0.887056,0
0.433974,0.889605,0
0.435546,0.89217,0
0.437118,0.894751,0
0.438691,0.897346,0
0.440263,0.899957,0
0.441836,0.902583,0
0.443408,0.905223,0
0.44498,0.907877,0
0.446553,0.910544,0
0.448125,0.913225,0
0.449697,0.91592,0
0.45127,0.918627,0
0.452842,0.921346,0
0.454415,0.924078,0
0.455987,0.926822,0
0.457559,0.929577,0
0.459132,0.932344,0
0.460704,0.935121,0
0.462276,0.937909,0
0.463849,0.940708,0
0.465421,0.943516,0
0.466994,0.946335,0
0.468566,0.949162,0
0.470138,0.951999,0
0.471711,0.954845,0
0.473283,0.9577,0
0.474855,0.960578,0
0.476428,0.963483,0
0.478,0.966414,0
0.479572,0.96937,0
0.481145,0.972349,0
0.482717,0.97535,0
0.48429,0.978373,0
0.485862,0.981417,0
0.487434,0.98448,0
0.489007,0.987561,0
0.490579,0.99066,0
0.492151,0.993775,0
0.493724,0.996906,0
0.495296,1.00005,0
0.496869,1.00321,0
0.498441,1.00638,0
0.500013,1.00956,0
0.501586,1.01275,0
0.503158,1.01595,0
0.50473,1.01916,0
0.506303,1.02237,0
0.507875,1.0256,0
0.509447,1.02884,0
0.51102,1.03209,0
0.512592,1.03536,0
0.514165,1.03865,0
0.515737,1.04195,0
0.517309,1.04526,0
0.518882,1.04859,0
0.520454,1.05193,0
0.522026,1.05529,0
0.523599,1.05866,0
0.525171,1.06205,0
0.526744,1.06545,0
0.528316,1.06886,0
0.529888,1.07229,0
0.531461,1.07573,0
0.533033,1.07919,0
0.534605,1.08266,0
0.536178,1.08614,0
0.53775,1.08964,0
0.539322,1.09315,0
0.540895,1.09668,0
0.542467,1.10022,0
0.54404,1.10377,0
0.545612,1.10734,0
0.547184,1.11092,0
0.548757,1.11452,0
0.550329,1.11813,0
0.551901,1.12176,0
0.553474,1.1254,0
0.555046,1.12906,0
0.556619,1.13273,0
0.558191,1.13642,0
0.559763,1.14012,0
0.561336,1.14383,0
0.562908,1.14756,0
0.56448,1.15131,0
0.566053,1.15507,0
0.567625,1.15884,0
0.569197,1.16264,0
0.57077,1.16644,0
0.572342,1.17026,0
0.573915,1.1741,0
0.575487,1.17795,0
0.577059,1.18182,0
0.578632,1.1857,0
0.580204,1.1896,0
0.581776,1.19351,0
0.583349,1.19744,0
0.584921,1.20138,0
0.586494,1.20533,0
0.588066,1.2093,0
0.589638,1.21328,0
0.591211,1.21727,0
0.592783,1.22128,0
0.594355,1.2253,0
0.595928,1.22934,0
0.5975,1.23338,0
0.599072,1.23744,0
0.600645,1.24151,0
0.602217,1.24559,0
0.60379,1.24969,0
0.605362,1.25379,0
0.606934,1.25791,0
0.608507,1.26204,0
0.610079,1.26618,0
0.611651,1.27033,0
0.613224,1.27449,0
0.614796,1.27866,0
0.616369,1.28284,0
0.617941,1.28703,0
0.619513,1.29123,0
0.621086,1.29543,0
0.622658,1.29965,0
0.62423,1.30388,0
0.625803,1.30812,0
0.627375,1.31236,0
0.628947,1.31661,0
0.63052,1.32088,0
0.632092,1.32515,0
0.633665,1.32943,0
0.635237,1.33373,0
0.636809,1.33805,0
0.638382,1.34237,0
0.639954,1.34671,0
0.641526,1.35106,0
0.643099,1.35543,0
0.644671,1.3598,0
0.646244,1.36419,0
0.647816,1.36859,0
0.649388,1.373,0
0.650961,1.37742,0
0.652533,1.38185,0
0.654105,1.3863,0
0.655678,1.39075,0
