# 20240823_144502
alpha,urRe,urIm
0.402526,0.482507,0
0.404099,0.484464,0
0.405671,0.486421,0
0.407243,0.488378,0
0.408816,0.490335,0
0.410388,0.492291,0
0.411961,0.494247,0
0.413533,0.496203,0
0.415105,0.498159,0
0.416678,0.500115,0
0.41825,0.50207,0
0.419822,0.504025,0
0.421395,0.505979,0
0.422967,0.507933,0
0.42454,0.509887,0
0.426112,0.51184,0
0.427684,0.513793,0
0.429257,0.515746,0
0.430829,0.517698,0
0.432401,0.51965,0
0.433974,0.521601,0
0.435546,0.523552,0
0.437118,0.525502,0
0.438691,0.527452,0
0.440263,0.529402,0
0.441836,0.53135,0
0.443408,0.533299,0
0.44498,0.535246,0
0.446553,0.537193,0
0.448125,0.53914,0
0.449697,0.541086,0
0.45127,0.543031,0
0.452842,0.544976,0
0.454415,0.54692,0
0.455987,0.548863,0
0.457559,0.550806,0
0.459132,0.552748,0
0.460704,0.554689,0
0.462276,0.55663,0
0.463849,0.55857,0
0.465421,0.56051,0
0.466994,0.562448,0
0.468566,0.564386,0
0.470138,0.566324,0
0.471711,0.56826,0
0.473283,0.570196,0
0.474855,0.572131,0
0.476428,0.574066,0
0.478,0.575999,0
0.479572,0.577932,0
0.481145,0.579865,0
0.482717,0.581796,0
0.48429,0.583727,0
0.485862,0.585657,0
0.487434,0.587586,0
0.489007,0.589514,0
0.490579,0.591442,0
0.492151,0.593369,0
0.493724,0.595295,0
0.495296,0.597221,0
0.496869,0.599145,0
0.498441,0.601069,0
0.500013,0.602992,0
0.501586,0.604915,0
0.503158,0.606836,0
0.50473,0.608757,0
0.506303,0.610677,0
0.507875,0.612597,0
0.509447,0.614515,0
0.51102,0.616433,0
0.512592,0.61835,0
0.514165,0.620266,0
0.515737,0.622182,0
0.517309,0.624097,0
0.518882,0.626011,0
0.520454,0.627924,0
0.522026,0.629837,0
0.523599,0.631749,0
0.525171,0.63366,0
0.526744,0.63557,0
0.528316,0.63748,0
0.529888,0.639389,0
0.531461,0.641297,0
0.533033,0.643205,0
0.534605,0.645111,0
0.536178,0.647017,0
0.53775,0.648923,0
0.539322,0.650827,0
0.540895,0.652731,0
0.542467,0.654634,0
0.54404,0.656536,0
0.545612,0.658438,0
0.547184,0.660339,0
0.548757,0.662239,0
0.550329,0.664139,0
0.551901,0.666037,0
0.553474,0.667936,0
0.555046,0.669833,0
0.556619,0.67173,0
0.558191,0.673625,0
0.559763,0.67552,0
0.561336,0.677415,0
0.562908,0.679309,0
0.56448,0.681201,0
0.566053,0.683094,0
0.567625,0.684985,0
0.569197,0.686876,0
0.57077,0.688766,0
0.572342,0.690655,0
0.573915,0.692543,0
0.575487,0.694431,0
0.577059,0.696318,0
0.578632,0.698204,0
0.580204,0.700089,0
0.581776,0.701974,0
0.583349,0.703857,0
0.584921,0.70574,0
0.586494,0.707622,0
0.588066,0.709504,0
0.589638,0.711384,0
0.591211,0.713264,0
0.592783,0.715142,0
0.594355,0.71702,0
0.595928,0.718897,0
0.5975,0.720773,0
0.599072,0.722649,0
0.600645,0.724523,0
0.602217,0.726397,0
0.60379,0.728269,0
0.605362,0.730141,0
0.606934,0.732011,0
0.608507,0.733881,0
0.610079,0.73575,0
0.611651,0.737617,0
0.613224,0.739484,0
0.614796,0.74135,0
0.616369,0.743215,0
0.617941,0.745078,0
0.619513,0.746941,0
0.621086,0.748803,0
0.622658,0.750663,0
0.62423,0.752523,0
0.625803,0.754381,0
0.627375,0.756238,0
0.628947,0.758094,0
0.63052,0.759949,0
0.632092,0.761803,0
0.633665,0.763655,0
0.635237,0.765507,0
0.636809,0.767357,0
0.638382,0.769206,0
0.639954,0.771053,0
0.641526,0.7729,0
0.643099,0.774745,0
0.644671,0.776588,0
0.646244,0.778431,0
0.647816,0.780272,0
0.649388,0.782112,0
0.650961,0.78395,0
0.652533,0.785787,0
0.654105,0.787623,0
0.655678,0.789457,0
0.65725,0.791289,0
0.658822,0.793121,0
0.660395,0.79495,0
0.661967,0.796779,0
0.66354,0.798605,0
0.665112,0.800431,0
0.666684,0.802254,0
0.668257,0.804076,0
0.669829,0.805897,0
0.671401,0.807716,0
0.672974,0.809533,0
0.674546,0.811348,0
0.676119,0.813162,0
0.677691,0.814974,0
0.679263,0.816785,0
0.680836,0.818594,0
0.682408,0.820401,0
0.68398,0.822206,0
0.685553,0.824009,0
0.687125,0.825811,0
0.688697,0.827611,0
0.69027,0.829409,0
0.691842,0.831205,0
0.693415,0.832999,0
0.694987,0.834791,0
0.696559,0.836581,0
0.698132,0.838369,0
0.699704,0.840156,0
0.701276,0.84194,0
0.702849,0.843722,0
0.704421,0.845502,0
0.705994,0.84728,0
0.707566,0.849056,0
0.709138,0.85083,0
0.710711,0.852602,0
0.712283,0.854371,0
0.713855,0.856139,0
0.715428,0.857904,0
0.717,0.859666,0
0.718572,0.861427,0
0.720145,0.863185,0
0.721717,0.864941,0
0.72329,0.866694,0
0.724862,0.868445,0
0.726434,0.870194,0
0.728007,0.87194,0
0.729579,0.873684,0
0.731151,0.875425,0
0.732724,0.877163,0
0.734296,0.878899,0
0.735869,0.880632,0
0.737441,0.882363,0
0.739013,0.884091,0
0.740586,0.885816,0
0.742158,0.887538,0
0.74373,0.889258,0
0.745303,0.890975,0
0.746875,0.892688,0
0.748447,0.894399,0
