# 20240725_151024
alpha,chiRe,chiIm
0,0.0169734,0
0.00157237,0.0169732,0
0.00314474,0.016973,0
0.00471711,0.0169727,0
0.00628947,0.0169724,0
0.00786184,0.0169721,0
0.00943421,0.0169718,0
0.0110066,0.0169714,0
0.0125789,0.016971,0
0.0141513,0.0169705,0
0.0157237,0.0169701,0
0.0172961,0.0169695,0
0.0188684,0.016969,0
0.0204408,0.0169684,0
0.0220132,0.0169678,0
0.0235855,0.0169672,0
0.0251579,0.0169665,0
0.0267303,0.0169658,0
0.0283026,0.016965,0
0.029875,0.0169642,0
0.0314474,0.0169634,0
0.0330197,0.0169625,0
0.0345921,0.0169616,0
0.0361645,0.0169606,0
0.0377368,0.0169597,0
0.0393092,0.0169586,0
0.0408816,0.0169576,0
0.042454,0.0169565,0
0.0440263,0.0169554,0
0.0455987,0.0169542,0
0.0471711,0.0169531,0
0.0487434,0.0169519,0
0.0503158,0.0169506,0
0.0518882,0.0169493,0
0.0534605,0.016948,0
0.0550329,0.0169467,0
0.0566053,0.0169454,0
0.0581776,0.016944,0
0.05975,0.0169426,0
0.0613224,0.0169411,0
0.0628947,0.0169397,0
0.0644671,0.0169382,0
0.0660395,0.0169367,0
0.0676119,0.0169351,0
0.0691842,0.0169336,0
0.0707566,0.016932,0
0.072329,0.0169304,0
0.0739013,0.0169287,0
0.0754737,0.0169271,0
0.0770461,0.0169254,0
0.0786184,0.0169237,0
0.0801908,0.016922,0
0.0817632,0.0169203,0
0.0833355,0.0169185,0
0.0849079,0.0169166,0
0.0864803,0.0169147,0
0.0880526,0.0169128,0
0.089625,0.0169107,0
0.0911974,0.0169087,0
0.0927698,0.0169066,0
0.0943421,0.0169044,0
0.0959145,0.0169022,0
0.0974869,0.0169,0
0.0990592,0.0168977,0
0.100632,0.0168953,0
0.102204,0.0168929,0
0.103776,0.0168904,0
0.105349,0.0168879,0
0.106921,0.0168854,0
0.108493,0.0168828,0
0.110066,0.0168801,0
0.111638,0.0168774,0
0.113211,0.0168747,0
0.114783,0.0168719,0
0.116355,0.016869,0
0.117928,0.0168661,0
0.1195,0.0168632,0
0.121072,0.0168602,0
0.122645,0.0168572,0
0.124217,0.0168541,0
0.125789,0.0168509,0
0.127362,0.0168478,0
0.128934,0.0168445,0
0.130507,0.0168413,0
0.132079,0.0168379,0
0.133651,0.0168346,0
0.135224,0.0168312,0
0.136796,0.0168277,0
0.138368,0.0168242,0
0.139941,0.0168206,0
0.141513,0.016817,0
0.143086,0.0168134,0
0.144658,0.0168097,0
0.14623,0.016806,0
0.147803,0.0168022,0
0.149375,0.0167984,0
0.150947,0.0167945,0
0.15252,0.0167906,0
0.154092,0.0167866,0
0.155665,0.0167826,0
0.157237,0.0167786,0
0.158809,0.0167745,0
0.160382,0.0167704,0
0.161954,0.0167662,0
0.163526,0.016762,0
0.165099,0.0167577,0
0.166671,0.0167534,0
0.168243,0.016749,0
0.169816,0.0167446,0
0.171388,0.0167402,0
0.172961,0.0167357,0
0.174533,0.0167312,0
0.176105,0.0167266,0
0.177678,0.016722,0
0.17925,0.0167174,0
0.180822,0.0167127,0
0.182395,0.0167079,0
0.183967,0.0167031,0
0.18554,0.0166983,0
0.187112,0.0166935,0
0.188684,0.0166886,0
0.190257,0.0166836,0
0.191829,0.0166786,0
0.193401,0.0166736,0
0.194974,0.0166686,0
0.196546,0.0166634,0
0.198118,0.0166583,0
0.199691,0.0166531,0
0.201263,0.0166479,0
0.202836,0.0166426,0
0.204408,0.0166373,0
0.20598,0.016632,0
0.207553,0.0166266,0
0.209125,0.0166212,0
0.210697,0.0166157,0
0.21227,0.0166101,0
0.213842,0.0166044,0
0.215415,0.0165986,0
0.216987,0.0165927,0
0.218559,0.0165866,0
0.220132,0.0165804,0
0.221704,0.0165741,0
0.223276,0.0165676,0
0.224849,0.0165611,0
0.226421,0.0165544,0
0.227993,0.0165476,0
0.229566,0.0165406,0
0.231138,0.0165335,0
0.232711,0.0165264,0
0.234283,0.016519,0
0.235855,0.0165116,0
0.237428,0.0165041,0
0.239,0.0164964,0
0.240572,0.0164886,0
0.242145,0.0164807,0
0.243717,0.0164727,0
0.24529,0.0164645,0
0.246862,0.0164562,0
0.248434,0.0164478,0
