# 20240725_151024
alpha,piplusRe,piplusIm
0.334915,0.725747,0.687962
0.336487,0.724613,0.689156
0.338059,0.723474,0.690352
0.339632,0.722329,0.69155
0.341204,0.721178,0.69275
0.342776,0.720022,0.693951
0.344349,0.71886,0.695155
0.345921,0.717693,0.69636
0.347493,0.716521,0.697566
0.349066,0.715343,0.698774
0.350638,0.71416,0.699982
0.352211,0.712972,0.701192
0.353783,0.71178,0.702403
0.355355,0.710582,0.703614
0.356928,0.70937,0.704837
0.3585,0.708135,0.706077
0.360072,0.70688,0.707334
0.361645,0.705603,0.708608
0.363217,0.704305,0.709897
0.36479,0.702987,0.711203
0.366362,0.701649,0.712523
0.367934,0.700291,0.713857
0.369507,0.698914,0.715206
0.371079,0.697518,0.716567
0.372651,0.696103,0.717942
0.374224,0.69467,0.719328
0.375796,0.69322,0.720726
0.377368,0.691751,0.722136
0.378941,0.690266,0.723556
0.380513,0.688764,0.724985
0.382086,0.687246,0.726425
0.383658,0.685712,0.727873
0.38523,0.684162,0.72933
0.386803,0.682597,0.730795
0.388375,0.681018,0.732267
0.389947,0.679424,0.733746
0.39152,0.677816,0.735232
0.393092,0.676195,0.736723
0.394665,0.67456,0.73822
0.396237,0.672913,0.739721
0.397809,0.671254,0.741227
0.399382,0.669583,0.742737
0.400954,0.667901,0.74425
0.402526,0.666207,0.745766
0.404099,0.664504,0.747285
0.405671,0.66279,0.748805
0.407243,0.661066,0.750327
0.408816,0.659334,0.75185
0.410388,0.657593,0.753374
0.411961,0.655843,0.754897
0.413533,0.654086,0.75642
0.415105,0.652318,0.757945
0.416678,0.650533,0.759478
0.41825,0.648729,0.76102
0.419822,0.646907,0.762569
0.421395,0.645067,0.764126
0.422967,0.643209,0.765691
0.42454,0.641334,0.767262
0.426112,0.639441,0.76884
0.427684,0.63753,0.770425
0.429257,0.635603,0.772016
0.430829,0.633658,0.773613
0.432401,0.631697,0.775216
0.433974,0.629719,0.776823
0.435546,0.627724,0.778436
0.437118,0.625713,0.780053
0.438691,0.623686,0.781675
0.440263,0.621643,0.7833
0.441836,0.619585,0.78493
0.443408,0.61751,0.786563
0.44498,0.615421,0.788199
0.446553,0.613316,0.789838
0.448125,0.611196,0.791479
0.449697,0.609061,0.793123
0.45127,0.606912,0.794769
0.452842,0.604748,0.796417
0.454415,0.602571,0.798066
0.455987,0.600379,0.799716
0.457559,0.598173,0.801367
0.459132,0.595954,0.803019
0.460704,0.593721,0.804671
0.462276,0.591475,0.806323
0.463849,0.589216,0.807975
0.465421,0.586945,0.809627
0.466994,0.584661,0.811278
0.468566,0.582364,0.812928
0.470138,0.580056,0.814577
0.471711,0.577736,0.816224
0.473283,0.575403,0.81787
0.474855,0.573046,0.819523
0.476428,0.570663,0.821184
0.478,0.568254,0.822853
0.479572,0.565819,0.824529
0.481145,0.563361,0.826211
0.482717,0.560878,0.827898
0.48429,0.558373,0.82959
0.485862,0.555845,0.831286
0.487434,0.553296,0.832984
0.489007,0.550727,0.834685
0.490579,0.548138,0.836388
0.492151,0.54553,0.838091
0.493724,0.542903,0.839795
0.495296,0.54026,0.841498
0.496869,0.5376,0.8432
0.498441,0.534924,0.8449
0.500013,0.532234,0.846597
0.501586,0.529529,0.848292
0.503158,0.526812,0.849982
0.50473,0.524082,0.851668
0.506303,0.521341,0.853348
0.507875,0.518586,0.855025
0.509447,0.515813,0.856701
0.51102,0.513022,0.858375
0.512592,0.510213,0.860048
0.514165,0.507385,0.861719
0.515737,0.50454,0.863389
0.517309,0.501676,0.865056
0.518882,0.498794,0.866721
0.520454,0.495894,0.868383
0.522026,0.492976,0.870043
0.523599,0.490039,0.8717
0.525171,0.487085,0.873354
0.526744,0.484113,0.875006
0.528316,0.481122,0.876653
0.529888,0.478114,0.878298
0.531461,0.475088,0.879938
0.533033,0.472043,0.881575
0.534605,0.468981,0.883208
0.536178,0.465901,0.884837
0.53775,0.462803,0.886461
0.539322,0.459687,0.888081
0.540895,0.456553,0.889696
0.542467,0.453401,0.891307
0.54404,0.45023,0.892912
0.545612,0.447041,0.894513
0.547184,0.443833,0.89611
0.548757,0.440606,0.8977
0.550329,0.437361,0.899286
0.551901,0.434096,0.900867
0.553474,0.430813,0.902441
0.555046,0.42751,0.90401
0.556619,0.424189,0.905574
0.558191,0.420848,0.907131
0.559763,0.417488,0.908682
0.561336,0.414109,0.910227
0.562908,0.410711,0.911766
0.56448,0.407293,0.913298
0.566053,0.403855,0.914823
0.567625,0.400398,0.916341
0.569197,0.396922,0.917853
0.57077,0.393425,0.919357
0.572342,0.389909,0.920853
0.573915,0.386374,0.922342
0.575487,0.382818,0.923824
0.577059,0.379242,0.925297
0.578632,0.375647,0.926763
0.580204,0.372033,0.92822
0.581776,0.368399,0.929668
0.583349,0.364746,0.931107
0.584921,0.361075,0.932537
0.586494,0.357385,0.933957
0.588066,0.353676,0.935368
0.589638,0.349949,0.936769
0.591211,0.346204,0.938159
0.592783,0.342442,0.939539
0.594355,0.338661,0.940908
0.595928,0.334863,0.942267
0.5975,0.331048,0.943614
0.599072,0.327216,0.94495
0.600645,0.323367,0.946274
0.602217,0.319501,0.947586
0.60379,0.315619,0.948886
0.605362,0.311721,0.950174
0.606934,0.307807,0.951449
0.608507,0.303877,0.952711
0.610079,0.299931,0.953961
0.611651,0.29597,0.955197
0.613224,0.291994,0.95642
0.614796,0.288003,0.957629
0.616369,0.283998,0.958825
0.617941,0.279978,0.960007
0.619513,0.275943,0.961174
0.621086,0.271895,0.962327
0.622658,0.267833,0.963465
0.62423,0.263758,0.964589
0.625803,0.259669,0.965698
0.627375,0.255568,0.966791
0.628947,0.251453,0.967869
0.63052,0.247326,0.968932
0.632092,0.243185,0.96998
0.633665,0.239026,0.971013
0.635237,0.234849,0.972032
0.636809,0.230655,0.973036
0.638382,0.226443,0.974024
0.639954,0.222215,0.974998
0.641526,0.217971,0.975955
0.643099,0.21371,0.976897
0.644671,0.209433,0.977823
0.646244,0.205141,0.978732
0.647816,0.200833,0.979625
0.649388,0.19651,0.980502
0.650961,0.192172,0.981361
0.652533,0.18782,0.982203
0.654105,0.183453,0.983028
0.655678,0.179073,0.983836
0.65725,0.174679,0.984625
0.658822,0.170271,0.985397
0.660395,0.165851,0.986151
0.661967,0.161418,0.986886
0.66354,0.156972,0.987603
0.665112,0.152514,0.988301
0.666684,0.148045,0.988981
0.668257,0.143563,0.989641
0.669829,0.139071,0.990282
0.671401,0.134568,0.990904
0.672974,0.130054,0.991507
0.674546,0.12553,0.99209
0.676119,0.120996,0.992653
0.677691,0.116453,0.993196
0.679263,0.1119,0.99372
0.680836,0.107338,0.994223
0.682408,0.102767,0.994705
0.68398,0.0981886,0.995168
0.685553,0.0936014,0.99561
0.687125,0.0890008,0.996032
0.688697,0.0843857,0.996433
0.69027,0.0797563,0.996814
0.691842,0.0751132,0.997175
0.693415,0.0704569,0.997515
0.694987,0.0657876,0.997834
0.696559,0.061106,0.998131
0.698132,0.0564125,0.998408
0.699704,0.0517075,0.998662
0.701276,0.0469914,0.998895
0.702849,0.0422647,0.999106
0.704421,0.0375279,0.999296
0.705994,0.0327815,0.999463
0.707566,0.0280258,0.999607
0.709138,0.0232614,0.999729
0.710711,0.0184888,0.999829
0.712283,0.0137083,0.999906
0.713855,0.00892042,0.99996
0.715428,0.00412568,0.999991
0.717,-0.000675472,1
0.718572,-0.00548258,0.999985
0.720145,-0.0102952,0.999947
0.721717,-0.0151128,0.999886
0.72329,-0.0199349,0.999801
0.724862,-0.0247611,0.999693
0.726434,-0.0295909,0.999562
0.728007,-0.0344239,0.999407
0.729579,-0.0392595,0.999229
0.731151,-0.0440972,0.999027
0.732724,-0.0489367,0.998802
0.734296,-0.0537775,0.998553
0.735869,-0.058619,0.99828
0.737441,-0.0634607,0.997984
0.739013,-0.0683024,0.997665
0.740586,-0.0731463,0.997321
0.742158,-0.0779985,0.996953
0.74373,-0.0828586,0.996561
0.745303,-0.087726,0.996145
0.746875,-0.0926001,0.995703
0.748447,-0.0974803,0.995237
0.75002,-0.102366,0.994747
0.751592,-0.107257,0.994231
0.753165,-0.112152,0.993691
0.754737,-0.11705,0.993126
0.756309,-0.121952,0.992536
0.757882,-0.126857,0.991921
0.759454,-0.131763,0.991281
0.761026,-0.136671,0.990616
0.762599,-0.14158,0.989927
0.764171,-0.146488,0.989212
0.765744,-0.151397,0.988473
0.767316,-0.156304,0.987709
0.768888,-0.16121,0.98692
0.770461,-0.166113,0.986107
0.772033,-0.171014,0.985269
0.773605,-0.175911,0.984406
0.775178,-0.180805,0.983519
0.77675,-0.185694,0.982608
0.778323,-0.190578,0.981672
0.779895,-0.195456,0.980712
0.781467,-0.200328,0.979729
0.78304,-0.205193,0.978721
0.784612,-0.210051,0.97769
0.786184,-0.214901,0.976636
0.787757,-0.219742,0.975558
0.789329,-0.224574,0.974457
0.790901,-0.229397,0.973333
0.792474,-0.234209,0.972186
0.794046,-0.239011,0.971017
0.795619,-0.243803,0.969825
0.797191,-0.248597,0.968607
0.798763,-0.253393,0.967363
0.800336,-0.258191,0.966094
0.801908,-0.26299,0.964799
0.80348,-0.26779,0.963477
0.805053,-0.272589,0.962131
0.806625,-0.277388,0.960758
0.808198,-0.282186,0.95936
0.80977,-0.286981,0.957936
0.811342,-0.291774,0.956487
0.812915,-0.296563,0.955013
0.814487,-0.301349,0.953514
0.816059,-0.30613,0.95199
0.817632,-0.310905,0.950441
0.819204,-0.315675,0.948867
0.820776,-0.320439,0.947269
0.822349,-0.325195,0.945647
0.823921,-0.329943,0.944001
0.825494,-0.334683,0.942331
0.827066,-0.339414,0.940637
