# 20240725_151024
alpha,piplusRe,piplusIm
1.39469,-0.999925,0.0122089
1.39626,-0.999948,0.0102255
1.39784,-0.999966,0.00824465
1.39941,-0.99998,0.00626614
1.40098,-0.999991,0.00428996
1.40255,-0.999997,0.00231604
1.40413,-1,0.000344323
1.4057,-0.999999,-0.00162526
1.40727,-0.999994,-0.00359277
1.40884,-0.999985,-0.00555828
1.41041,-0.999972,-0.00752184
1.41199,-0.999955,-0.00948353
1.41356,-0.999935,-0.0114434
1.41513,-0.99991,-0.0134015
1.4167,-0.999882,-0.0153579
1.41828,-0.99985,-0.0173128
1.41985,-0.999814,-0.019266
1.42142,-0.999775,-0.0212178
1.42299,-0.999732,-0.0231681
1.42457,-0.999685,-0.0251171
1.42614,-0.999634,-0.0270647
1.42771,-0.999579,-0.0290112
1.42928,-0.999521,-0.0309564
1.43086,-0.999459,-0.0329006
1.43243,-0.999393,-0.0348437
1.434,-0.999323,-0.0367858
1.43557,-0.99925,-0.0387271
1.43714,-0.999173,-0.0406674
1.43872,-0.999092,-0.042607
1.44029,-0.999007,-0.0445459
1.44186,-0.998919,-0.0464841
1.44343,-0.998827,-0.0484217
1.44501,-0.998731,-0.0503588
1.44658,-0.998632,-0.0522954
1.44815,-0.998528,-0.0542317
1.44972,-0.998421,-0.0561676
1.4513,-0.998311,-0.0581032
1.45287,-0.998196,-0.0600386
1.45444,-0.998078,-0.0619739
1.45601,-0.997956,-0.0639091
1.45759,-0.99783,-0.0658443
1.45916,-0.9977,-0.0677795
1.46073,-0.997567,-0.0697149
1.4623,-0.99743,-0.0716504
1.46388,-0.997289,-0.0735862
1.46545,-0.997144,-0.0755223
1.46702,-0.996996,-0.0774588
1.46859,-0.996843,-0.0793957
1.47016,-0.996687,-0.0813331
1.47174,-0.996527,-0.083271
1.47331,-0.996363,-0.0852096
1.47488,-0.996195,-0.0871489
1.47645,-0.996024,-0.0890889
1.47803,-0.995848,-0.0910297
1.4796,-0.995669,-0.0929714
1.48117,-0.995485,-0.0949141
1.48274,-0.995298,-0.0968578
1.48432,-0.995107,-0.0988012
1.48589,-0.994913,-0.100739
1.48746,-0.994715,-0.10267
1.48903,-0.994515,-0.104594
1.49061,-0.994311,-0.106513
1.49218,-0.994105,-0.108426
1.49375,-0.993895,-0.110332
1.49532,-0.993682,-0.112233
1.49689,-0.993466,-0.114129
1.49847,-0.993247,-0.116019
1.50004,-0.993025,-0.117904
1.50161,-0.9928,-0.119784
1.50318,-0.992572,-0.12166
1.50476,-0.992341,-0.123531
1.50633,-0.992107,-0.125397
1.5079,-0.99187,-0.127259
1.50947,-0.991629,-0.129116
1.51105,-0.991386,-0.13097
1.51262,-0.99114,-0.13282
1.51419,-0.990891,-0.134667
1.51576,-0.990639,-0.13651
1.51734,-0.990384,-0.138349
1.51891,-0.990125,-0.140186
1.52048,-0.989864,-0.142019
1.52205,-0.9896,-0.14385
1.52363,-0.989332,-0.145678
1.5252,-0.989062,-0.147504
1.52677,-0.988788,-0.149327
1.52834,-0.988511,-0.151148
1.52991,-0.988231,-0.152967
1.53149,-0.987948,-0.154785
1.53306,-0.987662,-0.156601
1.53463,-0.987373,-0.158415
1.5362,-0.98708,-0.160228
1.53778,-0.986784,-0.16204
1.53935,-0.986485,-0.163851
1.54092,-0.986183,-0.165661
1.54249,-0.985877,-0.16747
1.54407,-0.985568,-0.169279
1.54564,-0.985256,-0.171088
1.54721,-0.98494,-0.172897
1.54878,-0.984621,-0.174705
1.55036,-0.984298,-0.176514
1.55193,-0.983972,-0.178323
1.5535,-0.983642,-0.180133
1.55507,-0.983309,-0.181943
1.55665,-0.982972,-0.183754
1.55822,-0.982632,-0.185566
1.55979,-0.982288,-0.18738
1.56136,-0.98194,-0.189194
1.56293,-0.981588,-0.19101
1.56451,-0.981233,-0.192828
1.56608,-0.980873,-0.194648
1.56765,-0.98051,-0.196469
1.56922,-0.980143,-0.198293
1.5708,-0.979772,-0.200119
