# 20240823_143608
alpha,field0Re,field0Im
0.287743,0.0563181,0.0143523
0.289316,0.0562224,0.0145241
0.290888,0.0561259,0.0146972
0.292461,0.0560285,0.0148716
0.294033,0.0559303,0.0150475
0.295605,0.0558311,0.0152246
0.297178,0.0557311,0.0154031
0.29875,0.0556302,0.015583
0.300322,0.0555284,0.0157641
0.301895,0.0554258,0.0159466
0.303467,0.0553222,0.0161306
0.30504,0.0552177,0.0163159
0.306612,0.0551122,0.0165026
0.308184,0.0550059,0.0166906
0.309757,0.0548986,0.01688
0.311329,0.0547904,0.0170708
0.312901,0.0546813,0.0172631
0.314474,0.0545712,0.0174567
0.316046,0.0544601,0.0176518
0.317618,0.0543481,0.0178483
0.319191,0.0542351,0.0180462
0.320763,0.0541212,0.0182454
0.322336,0.0540063,0.0184462
0.323908,0.0538903,0.0186484
0.32548,0.0537734,0.018852
0.327053,0.0536555,0.0190571
0.328625,0.0535366,0.0192637
0.330197,0.0534167,0.0194716
0.33177,0.0532957,0.019681
0.333342,0.0531737,0.0198919
0.334915,0.0530507,0.0201043
0.336487,0.0529266,0.0203182
0.338059,0.0528015,0.0205336
0.339632,0.0526754,0.0207504
0.341204,0.0525482,0.0209686
0.342776,0.0524199,0.0211884
0.344349,0.0522905,0.0214098
0.345921,0.0521601,0.0216326
0.347493,0.0520286,0.021857
0.349066,0.0518959,0.0220828
0.350638,0.0517623,0.0223101
0.352211,0.0516275,0.0225389
0.353783,0.0514915,0.0227693
0.355355,0.0513544,0.0230012
0.356928,0.0512162,0.0232347
0.3585,0.0510769,0.0234697
0.360072,0.0509365,0.0237061
0.361645,0.0507949,0.0239441
0.363217,0.0506521,0.0241837
0.36479,0.0505082,0.0244249
0.366362,0.050363,0.0246677
0.367934,0.0502168,0.0249119
0.369507,0.0500693,0.0251577
0.371079,0.0499207,0.025405
0.372651,0.0497709,0.0256539
0.374224,0.0496199,0.0259044
0.375796,0.0494676,0.0261565
0.377368,0.0493141,0.0264101
0.378941,0.0491594,0.0266653
0.380513,0.0490036,0.026922
0.382086,0.0488464,0.0271803
0.383658,0.048688,0.0274403
0.38523,0.0485284,0.0277018
0.386803,0.0483675,0.0279649
0.388375,0.0482053,0.0282295
0.389947,0.048042,0.0284957
0.39152,0.0478773,0.0287635
0.393092,0.0477113,0.0290329
0.394665,0.0475441,0.0293039
0.396237,0.0473755,0.0295765
0.397809,0.0472056,0.0298507
0.399382,0.0470345,0.0301264
0.400954,0.0468621,0.0304037
0.402526,0.0466883,0.0306826
0.404099,0.0465132,0.0309631
0.405671,0.0463367,0.0312452
0.407243,0.0461589,0.0315289
0.408816,0.0459798,0.0318141
0.410388,0.0457994,0.0321009
0.411961,0.0456176,0.0323893
0.413533,0.0454344,0.0326793
0.415105,0.0452499,0.0329709
0.416678,0.0450639,0.0332641
0.41825,0.0448767,0.0335589
0.419822,0.044688,0.0338552
0.421395,0.044498,0.034153
0.422967,0.0443066,0.0344525
0.42454,0.0441137,0.0347535
0.426112,0.0439194,0.0350562
0.427684,0.0437237,0.0353604
0.429257,0.0435266,0.0356661
0.430829,0.0433282,0.0359733
0.432401,0.0431283,0.0362821
0.433974,0.0429269,0.0365925
0.435546,0.0427241,0.0369045
0.437118,0.0425198,0.037218
0.438691,0.0423141,0.037533
0.440263,0.042107,0.0378495
0.441836,0.0418985,0.0381675
0.443408,0.0416884,0.0384872
0.44498,0.0414769,0.0388084
0.446553,0.0412639,0.0391311
0.448125,0.0410494,0.0394553
0.449697,0.0408335,0.0397809
0.45127,0.0406161,0.040108
