# 20240822_172815
alpha,rRe,rIm
0,0,0
0.00314989,0.0411333,0
0.00629978,0.0819358,0
0.00944968,0.122469,0
0.0125996,0.162784,0
0.0157495,0.202927,0
0.0188994,0.242935,0
0.0220492,0.28284,0
0.0251991,0.322669,0
0.028349,0.362443,0
0.0314989,0.402181,0
0.0346488,0.441898,0
0.0377987,0.481604,0
0.0409486,0.521311,0
0.0440985,0.561024,0
0.0472484,0.600749,0
0.0503983,0.640491,0
0.0535482,0.680251,0
0.0566981,0.720032,0
0.059848,0.759835,0
0.0629978,0.799659,0
0.0661477,0.839506,0
0.0692976,0.879375,0
0.0724475,0.919264,0
0.0755974,0.959174,0
0.0787473,0.999103,0
0.0818972,1.03905,0
0.0850471,1.07902,0
0.088197,1.119,0
0.0913469,1.159,0
0.0944968,1.19901,0
0.0976467,1.23904,0
0.100797,1.27908,0
0.103946,1.31914,0
0.107096,1.35922,0
0.110246,1.39931,0
0.113396,1.43941,0
0.116546,1.47954,0
0.119696,1.51967,0
0.122846,1.55983,0
0.125996,1.6,0
0.129146,1.64019,0
0.132295,1.6804,0
0.135445,1.72062,0
0.138595,1.76087,0
0.141745,1.80114,0
0.144895,1.84144,0
0.148045,1.88175,0
0.151195,1.92209,0
0.154345,1.96245,0
0.157495,2.00284,0
0.160645,2.04325,0
0.163794,2.08369,0
0.166944,2.12416,0
0.170094,2.16465,0
0.173244,2.20518,0
0.176394,2.24573,0
0.179544,2.28631,0
0.182694,2.32691,0
0.185844,2.36755,0
0.188994,2.40822,0
0.192143,2.44891,0
0.195293,2.48964,0
0.198443,2.53039,0
0.201593,2.57117,0
0.204743,2.61198,0
0.207893,2.65282,0
0.211043,2.69369,0
0.214193,2.73458,0
0.217343,2.77551,0
0.220492,2.81646,0
0.223642,2.85743,0
0.226792,2.89844,0
0.229942,2.93946,0
0.233092,2.98052,0
0.236242,3.02159,0
0.239392,3.0627,0
0.242542,3.10382,0
0.245692,3.14497,0
0.248842,3.18613,0
0.251991,3.22732,0
0.255141,3.26853,0
0.258291,3.30976,0
0.261441,3.35101,0
0.264591,3.39227,0
0.267741,3.43356,0
0.270891,3.47486,0
0.274041,3.51617,0
0.277191,3.5575,0
0.28034,3.59884,0
0.28349,3.6402,0
0.28664,3.68156,0
0.28979,3.72294,0
0.29294,3.76433,0
0.29609,3.80573,0
0.29924,3.84713,0
0.30239,3.88854,0
0.30554,3.92996,0
0.308689,3.97138,0
0.311839,4.0128,0
0.314989,4.05423,0
0.318139,4.09565,0
0.321289,4.13708,0
0.324439,4.1785,0
0.327589,4.21992,0
0.330739,4.26134,0
0.333889,4.30275,0
0.337038,4.34415,0
0.340188,4.38554,0
0.343338,4.42692,0
0.346488,4.46829,0
0.349638,4.50964,0
0.352788,4.55098,0
0.355938,4.59229,0
0.359088,4.63359,0
0.362238,4.67486,0
0.365388,4.71611,0
0.368537,4.75733,0
0.371687,4.79853,0
0.374837,4.83969,0
0.377987,4.88082,0
0.381137,4.92191,0
0.384287,4.96297,0
0.387437,5.00399,0
0.390587,5.04496,0
0.393737,5.08589,0
0.396886,5.12677,0
0.400036,5.1676,0
0.403186,5.20837,0
0.406336,5.24909,0
0.409486,5.28976,0
0.412636,5.33036,0
0.415786,5.3709,0
0.418936,5.41137,0
0.422086,5.45177,0
0.425235,5.4921,0
0.428385,5.53236,0
0.431535,5.57254,0
0.434685,5.61264,0
0.437835,5.65266,0
0.440985,5.69259,0
0.444135,5.73243,0
0.447285,5.77218,0
0.450435,5.81183,0
0.453585,5.85139,0
0.456734,5.89085,0
0.459884,5.9302,0
0.463034,5.96945,0
0.466184,6.00859,0
0.469334,6.04761,0
0.472484,6.08652,0
0.475634,6.12532,0
0.478784,6.16399,0
0.481934,6.20254,0
0.485083,6.24096,0
0.488233,6.27926,0
0.491383,6.31742,0
0.494533,6.35545,0
0.497683,6.39334,0
0.500833,6.43109,0
0.503983,6.46869,0
0.507133,6.50615,0
0.510283,6.54346,0
0.513432,6.58061,0
0.516582,6.61761,0
0.519732,6.65446,0
0.522882,6.69114,0
0.526032,6.72766,0
0.529182,6.76401,0
0.532332,6.80019,0
0.535482,6.8362,0
0.538632,6.87203,0
0.541781,6.90768,0
0.544931,6.94316,0
0.548081,6.97844,0
0.551231,7.01355,0
0.554381,7.04846,0
0.557531,7.08317,0
0.560681,7.11769,0
0.563831,7.15202,0
0.566981,7.18614,0
0.570131,7.22005,0
0.57328,7.25375,0
0.57643,7.28725,0
0.57958,7.32053,0
0.58273,7.35359,0
0.58588,7.38643,0
0.58903,7.41905,0
0.59218,7.45144,0
0.59533,7.4836,0
0.59848,7.51553,0
0.601629,7.54722,0
0.604779,7.57867,0
0.607929,7.60988,0
0.611079,7.64085,0
0.614229,7.67156,0
0.617379,7.70203,0
0.620529,7.73224,0
0.623679,7.76219,0
0.626829,7.79188,0
0.629978,7.82131,0
0.633128,7.85047,0
0.636278,7.87937,0
0.639428,7.90798,0
0.642578,7.93633,0
0.645728,7.96439,0
0.648878,7.99218,0
0.652028,8.01968,0
0.655178,8.04689,0
0.658328,8.07381,0
0.661477,8.10044,0
0.664627,8.12677,0
0.667777,8.15281,0
0.670927,8.17854,0
0.674077,8.20398,0
0.677227,8.2291,0
0.680377,8.25392,0
0.683527,8.27842,0
0.686677,8.30262,0
0.689826,8.32649,0
0.692976,8.35005,0
0.696126,8.37329,0
0.699276,8.39621,0
0.702426,8.4188,0
0.705576,8.44106,0
0.708726,8.463,0
0.711876,8.4846,0
0.715026,8.50588,0
0.718175,8.52682,0
0.721325,8.54742,0
0.724475,8.56768,0
0.727625,8.5876,0
0.730775,8.60718,0
0.733925,8.62642,0
0.737075,8.64532,0
0.740225,8.66387,0
0.743375,8.68207,0
0.746525,8.69992,0
0.749674,8.71742,0
0.752824,8.73457,0
0.755974,8.75137,0
0.759124,8.76781,0
0.762274,8.7839,0
0.765424,8.79963,0
0.768574,8.81501,0
0.771724,8.83003,0
0.774874,8.84469,0
0.778023,8.85899,0
0.781173,8.87293,0
0.784323,8.88652,0
0.787473,8.89974,0
0.790623,8.9126,0
0.793773,8.9251,0
0.796923,8.93723,0
0.800073,8.94901,0
0.803223,8.96042,0
0.806372,8.97147,0
0.809522,8.98215,0
0.812672,8.99248,0
0.815822,9.00244,0
0.818972,9.01204,0
0.822122,9.02127,0
0.825272,9.03015,0
0.828422,9.03866,0
0.831572,9.04682,0
0.834722,9.05461,0
0.837871,9.06205,0
0.841021,9.06913,0
0.844171,9.07585,0
0.847321,9.08221,0
0.850471,9.08822,0
0.853621,9.09388,0
0.856771,9.09918,0
0.859921,9.10414,0
0.863071,9.10874,0
0.86622,9.113,0
0.86937,9.11691,0
0.87252,9.12048,0
0.87567,9.12372,0
0.87882,9.12661,0
0.88197,9.12916,0
0.88512,9.13139,0
0.88827,9.13328,0
0.89142,9.13484,0
0.894569,9.13608,0
0.897719,9.137,0
0.900869,9.1376,0
0.904019,9.13789,0
0.907169,9.13786,0
0.910319,9.13753,0
0.913469,9.13689,0
0.916619,9.13595,0
0.919769,9.13472,0
0.922918,9.13319,0
0.926068,9.13138,0
0.929218,9.12928,0
0.932368,9.1269,0
