# 20240927_202652
alpha,DtauRe,DtauIm
0.774874,-133.793,0
0.778023,-134.374,0
0.781173,-134.946,0
0.784323,-135.506,0
0.787473,-136.055,0
0.790623,-136.593,0
0.793773,-137.12,0
0.796923,-137.635,0
0.800073,-138.139,0
0.803223,-138.632,0
0.806372,-139.113,0
0.809522,-139.582,0
0.812672,-140.039,0
0.815822,-140.485,0
0.818972,-140.918,0
0.822122,-141.339,0
0.825272,-141.748,0
0.828422,-142.145,0
0.831572,-142.529,0
0.834722,-142.9,0
0.837871,-143.259,0
0.841021,-143.604,0
0.844171,-143.937,0
0.847321,-144.256,0
0.850471,-144.563,0
0.853621,-144.855,0
0.856771,-145.135,0
0.859921,-145.4,0
0.863071,-145.652,0
0.86622,-145.889,0
0.86937,-146.113,0
0.87252,-146.322,0
0.87567,-146.516,0
0.87882,-146.696,0
0.88197,-146.862,0
0.88512,-147.012,0
0.88827,-147.148,0
0.89142,-147.268,0
0.894569,-147.373,0
0.897719,-147.463,0
0.900869,-147.537,0
0.904019,-147.596,0
0.907169,-147.639,0
0.910319,-147.667,0
0.913469,-147.678,0
0.916619,-147.674,0
0.919769,-147.654,0
0.922918,-147.619,0
0.926068,-147.567,0
0.929218,-147.5,0
0.932368,-147.417,0
0.935518,-147.318,0
0.938668,-147.203,0
0.941818,-147.073,0
0.944968,-146.928,0
0.948118,-146.767,0
0.951268,-146.591,0
0.954417,-146.4,0
0.957567,-146.194,0
0.960717,-145.973,0
0.963867,-145.738,0
0.967017,-145.489,0
0.970167,-145.226,0
0.973317,-144.949,0
0.976467,-144.659,0
0.979617,-144.356,0
0.982766,-144.04,0
0.985916,-143.711,0
0.989066,-143.371,0
0.992216,-143.018,0
0.995366,-142.655,0
0.998516,-142.28,0
1.00167,-141.894,0
1.00482,-141.499,0
1.00797,-141.093,0
1.01112,-140.678,0
1.01427,-140.253,0
1.01742,-139.82,0
1.02057,-139.379,0
1.02372,-138.929,0
1.02686,-138.472,0
1.03001,-138.007,0
1.03316,-137.535,0
1.03631,-137.057,0
1.03946,-136.572,0
1.04261,-136.082,0
1.04576,-135.585,0
1.04891,-135.084,0
1.05206,-134.577,0
1.05521,-134.065,0
1.05836,-133.549,0
1.06151,-133.029,0
1.06466,-132.505,0
1.06781,-131.976,0
1.07096,-131.444,0
1.07411,-130.909,0
1.07726,-130.37,0
1.08041,-129.829,0
1.08356,-129.285,0
1.08671,-128.737,0
1.08986,-128.188,0
1.09301,-127.636,0
1.09616,-127.082,0
1.09931,-126.526,0
1.10246,-125.968,0
1.10561,-125.408,0
1.10876,-124.846,0
1.11191,-124.284,0
1.11506,-123.719,0
1.11821,-123.154,0
1.12136,-122.588,0
1.12451,-122.021,0
1.12766,-121.453,0
1.13081,-120.885,0
1.13396,-120.317,0
1.13711,-119.748,0
1.14026,-119.18,0
1.14341,-118.612,0
1.14656,-118.045,0
1.14971,-117.478,0
1.15286,-116.912,0
1.15601,-116.348,0
1.15916,-115.785,0
1.16231,-115.223,0
1.16546,-114.663,0
1.16861,-114.106,0
1.17176,-113.551,0
1.17491,-112.998,0
1.17806,-112.447,0
1.18121,-111.9,0
1.18436,-111.356,0
1.18751,-110.815,0
1.19066,-110.277,0
1.19381,-109.742,0
1.19696,-109.212,0
1.20011,-108.684,0
1.20326,-108.161,0
1.20641,-107.642,0
1.20956,-107.126,0
1.21271,-106.614,0
1.21586,-106.107,0
1.21901,-105.603,0
1.22216,-105.103,0
1.22531,-104.607,0
1.22846,-104.114,0
1.23161,-103.626,0
1.23476,-103.141,0
1.23791,-102.659,0
1.24106,-102.181,0
1.24421,-101.707,0
1.24736,-101.235,0
1.25051,-100.768,0
1.25366,-100.303,0
1.25681,-99.8412,0
1.25996,-99.3827,0
1.26311,-98.9273,0
1.26626,-98.4749,0
1.26941,-98.0257,0
1.27256,-97.5795,0
1.27571,-97.1366,0
1.27886,-96.6969,0
1.28201,-96.2605,0
1.28516,-95.8277,0
1.28831,-95.3985,0
1.29146,-94.9732,0
1.29461,-94.5518,0
1.29776,-94.1347,0
1.30091,-93.722,0
1.30406,-93.314,0
1.30721,-92.9108,0
1.31036,-92.5128,0
1.31351,-92.12,0
1.31666,-91.7328,0
1.3198,-91.3513,0
1.32295,-90.9757,0
1.3261,-90.6061,0
1.32925,-90.2425,0
1.3324,-89.8852,0
1.33555,-89.5341,0
1.3387,-89.1892,0
1.34185,-88.8504,0
1.345,-88.5177,0
1.34815,-88.191,0
1.3513,-87.87,0
1.35445,-87.5546,0
1.3576,-87.2446,0
1.36075,-86.9397,0
1.3639,-86.6396,0
1.36705,-86.3442,0
1.3702,-86.0531,0
1.37335,-85.7661,0
1.3765,-85.483,0
1.37965,-85.2036,0
1.3828,-84.9277,0
1.38595,-84.6554,0
1.3891,-84.3865,0
1.39225,-84.1212,0
1.3954,-83.8595,0
1.39855,-83.6016,0
1.4017,-83.3479,0
1.40485,-83.0986,0
1.408,-82.8542,0
1.41115,-82.6151,0
1.4143,-82.3819,0
1.41745,-82.155,0
1.4206,-81.9351,0
1.42375,-81.7226,0
1.4269,-81.5181,0
1.43005,-81.322,0
1.4332,-81.1347,0
1.43635,-80.9566,0
1.4395,-80.7877,0
1.44265,-80.6283,0
1.4458,-80.4782,0
1.44895,-80.3372,0
1.4521,-80.2052,0
1.45525,-80.0817,0
1.4584,-79.9662,0
1.46155,-79.8581,0
1.4647,-79.7571,0
1.46785,-79.6625,0
1.471,-79.574,0
1.47415,-79.4912,0
1.4773,-79.4142,0
1.48045,-79.343,0
1.4836,-79.278,0
1.48675,-79.22,0
1.4899,-79.17,0
1.49305,-79.1292,0
1.4962,-79.0991,0
1.49935,-79.0814,0
1.5025,-79.0777,0
1.50565,-79.0896,0
1.5088,-79.1185,0
1.51195,-79.1653,0
1.5151,-79.2303,0
1.51825,-79.3131,0
1.5214,-79.4126,0
1.52455,-79.5269,0
1.5277,-79.6534,0
1.53085,-79.7894,0
1.534,-79.9319,0
1.53715,-80.0793,0
1.5403,-80.2312,0
