# 20240927_202652
alpha,rRe,rIm
0.834722,90.5461,0
0.837871,90.6205,0
0.841021,90.6913,0
0.844171,90.7585,0
0.847321,90.8221,0
0.850471,90.8822,0
0.853621,90.9388,0
0.856771,90.9918,0
0.859921,91.0414,0
0.863071,91.0874,0
0.86622,91.13,0
0.86937,91.1691,0
0.87252,91.2048,0
0.87567,91.2372,0
0.87882,91.2661,0
0.88197,91.2916,0
0.88512,91.3139,0
0.88827,91.3328,0
0.89142,91.3484,0
0.894569,91.3608,0
0.897719,91.37,0
0.900869,91.376,0
0.904019,91.3789,0
0.907169,91.3786,0
0.910319,91.3753,0
0.913469,91.3689,0
0.916619,91.3595,0
0.919769,91.3472,0
0.922918,91.3319,0
0.926068,91.3138,0
0.929218,91.2928,0
0.932368,91.2691,0
0.935518,91.2425,0
0.938668,91.2133,0
0.941818,91.1814,0
0.944968,91.147,0
0.948118,91.1099,0
0.951268,91.0704,0
0.954417,91.0284,0
0.957567,90.9839,0
0.960717,90.9372,0
0.963867,90.8881,0
0.967017,90.8367,0
0.970167,90.7832,0
0.973317,90.7275,0
0.976467,90.6697,0
0.979617,90.6099,0
0.982766,90.548,0
0.985916,90.4842,0
0.989066,90.4186,0
0.992216,90.3511,0
0.995366,90.2818,0
0.998516,90.2107,0
1.00167,90.138,0
1.00482,90.0637,0
1.00797,89.9878,0
1.01112,89.9103,0
1.01427,89.8314,0
1.01742,89.7511,0
1.02057,89.6693,0
1.02372,89.5863,0
1.02686,89.5019,0
1.03001,89.4164,0
1.03316,89.3296,0
1.03631,89.2417,0
1.03946,89.1528,0
1.04261,89.0627,0
1.04576,88.9717,0
1.04891,88.8797,0
1.05206,88.7868,0
1.05521,88.693,0
1.05836,88.5984,0
1.06151,88.503,0
1.06466,88.4069,0
1.06781,88.31,0
1.07096,88.2125,0
1.07411,88.1144,0
1.07726,88.0157,0
1.08041,87.9164,0
1.08356,87.8166,0
1.08671,87.7163,0
1.08986,87.6156,0
1.09301,87.5145,0
1.09616,87.413,0
1.09931,87.3112,0
1.10246,87.2091,0
1.10561,87.1067,0
1.10876,87.0041,0
1.11191,86.9012,0
1.11506,86.7982,0
1.11821,86.6951,0
1.12136,86.5918,0
1.12451,86.4885,0
1.12766,86.3851,0
1.13081,86.2817,0
1.13396,86.1783,0
1.13711,86.0749,0
1.14026,85.9716,0
1.14341,85.8684,0
1.14656,85.7653,0
1.14971,85.6623,0
1.15286,85.5595,0
1.15601,85.4569,0
1.15916,85.3545,0
1.16231,85.2523,0
1.16546,85.1504,0
1.16861,85.0488,0
1.17176,84.9475,0
1.17491,84.8465,0
1.17806,84.7459,0
1.18121,84.6456,0
1.18436,84.5457,0
1.18751,84.4463,0
1.19066,84.3473,0
1.19381,84.2487,0
1.19696,84.1506,0
1.20011,84.053,0
1.20326,83.9559,0
1.20641,83.8593,0
1.20956,83.7633,0
1.21271,83.6679,0
1.21586,83.5731,0
1.21901,83.4789,0
1.22216,83.3853,0
1.22531,83.2924,0
1.22846,83.2001,0
1.23161,83.1086,0
1.23476,83.0178,0
1.23791,82.9277,0
1.24106,82.8383,0
1.24421,82.7498,0
1.24736,82.662,0
1.25051,82.575,0
1.25366,82.4889,0
1.25681,82.4037,0
1.25996,82.3193,0
1.26311,82.2358,0
1.26626,82.1532,0
1.26941,82.0716,0
1.27256,81.9909,0
1.27571,81.9111,0
1.27886,81.8324,0
1.28201,81.7547,0
1.28516,81.678,0
1.28831,81.6023,0
1.29146,81.5277,0
1.29461,81.4542,0
1.29776,81.3817,0
1.30091,81.3104,0
1.30406,81.2401,0
1.30721,81.171,0
1.31036,81.1031,0
1.31351,81.0363,0
1.31666,80.9707,0
1.3198,80.9063,0
1.32295,80.843,0
1.3261,80.7811,0
1.32925,80.7203,0
1.3324,80.6608,0
1.33555,80.6026,0
1.3387,80.5457,0
1.34185,80.4901,0
1.345,80.4358,0
1.34815,80.3829,0
1.3513,80.3314,0
1.35445,80.2813,0
1.3576,80.2326,0
1.36075,80.1854,0
1.3639,80.1397,0
1.36705,80.0955,0
1.3702,80.0529,0
1.37335,80.0119,0
1.3765,79.9725,0
1.37965,79.9348,0
1.3828,79.8988,0
1.38595,79.8645,0
1.3891,79.832,0
1.39225,79.8014,0
1.3954,79.7726,0
1.39855,79.7457,0
1.4017,79.7208,0
1.40485,79.6979,0
1.408,79.677,0
1.41115,79.6581,0
1.4143,79.6414,0
1.41745,79.6268,0
1.4206,79.6144,0
1.42375,79.6042,0
1.4269,79.5963,0
1.43005,79.5907,0
1.4332,79.5874,0
1.43635,79.5865,0
1.4395,79.5881,0
1.44265,79.5921,0
1.4458,79.5987,0
1.44895,79.6079,0
1.4521,79.6197,0
1.45525,79.6343,0
1.4584,79.6516,0
1.46155,79.6719,0
1.4647,79.6951,0
1.46785,79.7213,0
1.471,79.7507,0
1.47415,79.7833,0
1.4773,79.8193,0
1.48045,79.8588,0
1.4836,79.9017,0
1.48675,79.9484,0
1.4899,79.9988,0
1.49305,80.053,0
1.4962,80.1111,0
1.49935,80.1733,0
1.5025,80.2395,0
1.50565,80.3099,0
1.5088,80.3845,0
1.51195,80.4634,0
1.5151,80.5467,0
1.51825,80.6344,0
1.5214,80.7266,0
1.52455,80.8236,0
1.5277,80.9254,0
1.53085,81.0324,0
1.534,81.1448,0
1.53715,81.2632,0
1.5403,81.3881,0
1.54345,81.5201,0
1.5466,81.6602,0
1.54975,81.8093,0
1.5529,81.9687,0
1.55605,82.1396,0
1.5592,82.3236,0
1.56235,82.5223,0
1.5655,82.7376,0
1.56865,82.9712,0
1.5718,83.2251,0
