# 20240823_142909
alpha,Df0Re,Df0Im
0.267303,0.178432,-0.147191
0.268875,0.178644,-0.147635
0.270447,0.178857,-0.148083
0.27202,0.179071,-0.148535
0.273592,0.179285,-0.14899
0.275165,0.179501,-0.149449
0.276737,0.179717,-0.149912
0.278309,0.179935,-0.150378
0.279882,0.180152,-0.150848
0.281454,0.180371,-0.151322
0.283026,0.18059,-0.151799
0.284599,0.180811,-0.152281
0.286171,0.181032,-0.152766
0.287743,0.181254,-0.153255
0.289316,0.181476,-0.153748
0.290888,0.181699,-0.154244
0.292461,0.181923,-0.154744
0.294033,0.182147,-0.155249
0.295605,0.182373,-0.155757
0.297178,0.182599,-0.156269
0.29875,0.182825,-0.156785
0.300322,0.183052,-0.157305
0.301895,0.18328,-0.157829
0.303467,0.183508,-0.158357
0.30504,0.183737,-0.158889
0.306612,0.183967,-0.159425
0.308184,0.184197,-0.159964
0.309757,0.184427,-0.160508
0.311329,0.184658,-0.161056
0.312901,0.18489,-0.161608
0.314474,0.185122,-0.162164
0.316046,0.185354,-0.162724
0.317618,0.185587,-0.163289
0.319191,0.18582,-0.163857
0.320763,0.186054,-0.164429
0.322336,0.186288,-0.165006
0.323908,0.186522,-0.165587
0.32548,0.186757,-0.166172
0.327053,0.186992,-0.166761
0.328625,0.187227,-0.167354
0.330197,0.187462,-0.167951
0.33177,0.187698,-0.168552
0.333342,0.187934,-0.169158
0.334915,0.18817,-0.169768
0.336487,0.188406,-0.170382
0.338059,0.188642,-0.171
0.339632,0.188878,-0.171623
0.341204,0.189114,-0.172249
0.342776,0.18935,-0.17288
0.344349,0.189587,-0.173515
0.345921,0.189823,-0.174154
0.347493,0.190059,-0.174798
0.349066,0.190295,-0.175446
0.350638,0.19053,-0.176097
0.352211,0.190765,-0.176753
0.353783,0.191001,-0.177414
0.355355,0.191236,-0.178078
0.356928,0.19147,-0.178747
0.3585,0.191705,-0.17942
0.360072,0.191938,-0.180097
0.361645,0.192172,-0.180778
0.363217,0.192405,-0.181464
0.36479,0.192637,-0.182154
0.366362,0.192869,-0.182848
0.367934,0.1931,-0.183546
0.369507,0.193331,-0.184248
0.371079,0.193561,-0.184954
0.372651,0.19379,-0.185664
0.374224,0.194018,-0.186379
0.375796,0.194246,-0.187098
0.377368,0.194473,-0.18782
0.378941,0.194699,-0.188547
