alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0.135224,0.108595,0,-0.122694,0
0.136796,0.108634,0,-0.122664,0
0.138368,0.108673,0,-0.122634,0
0.139941,0.108713,0,-0.122603,0
0.141513,0.108754,0,-0.122572,0
0.143086,0.108795,0,-0.12254,0
0.144658,0.108836,0,-0.122507,0
0.14623,0.108878,0,-0.122474,0
0.147803,0.10892,0,-0.122441,0
0.149375,0.108963,0,-0.122407,0
0.150947,0.109006,0,-0.122373,0
0.15252,0.109049,0,-0.122338,0
0.154092,0.109093,0,-0.122302,0
0.155665,0.109137,0,-0.122266,0
0.157237,0.109181,0,-0.122229,0
0.158809,0.109226,0,-0.122192,0
0.160382,0.109271,0,-0.122154,0
0.161954,0.109317,0,-0.122116,0
0.163526,0.109363,0,-0.122078,0
0.165099,0.109409,0,-0.122039,0
0.166671,0.109456,0,-0.122,0
0.168243,0.109503,0,-0.12196,0
0.169816,0.10955,0,-0.12192,0
0.171388,0.109598,0,-0.12188,0
0.172961,0.109645,0,-0.121838,0
0.174533,0.109694,0,-0.121797,0
0.176105,0.109742,0,-0.121755,0
0.177678,0.109791,0,-0.121712,0
0.17925,0.10984,0,-0.12167,0
0.180822,0.109889,0,-0.121627,0
0.182395,0.109939,0,-0.121583,0
0.183967,0.109989,0,-0.12154,0
0.18554,0.110039,0,-0.121496,0
0.187112,0.11009,0,-0.121452,0
0.188684,0.11014,0,-0.121407,0
0.190257,0.110191,0,-0.121362,0
0.191829,0.110243,0,-0.121316,0
0.193401,0.110294,0,-0.121271,0
0.194974,0.110346,0,-0.121225,0
0.196546,0.110398,0,-0.121179,0
0.198118,0.11045,0,-0.121133,0
0.199691,0.110502,0,-0.121087,0
0.201263,0.110554,0,-0.121041,0
0.202836,0.110607,0,-0.120994,0
0.204408,0.11066,0,-0.120946,0
0.20598,0.110713,0,-0.120899,0
0.207553,0.110766,0,-0.120851,0
0.209125,0.11082,0,-0.120802,0
0.210697,0.110874,0,-0.120753,0
0.21227,0.110927,0,-0.120704,0
0.213842,0.110981,0,-0.120655,0
0.215415,0.111035,0,-0.120606,0
0.216987,0.11109,0,-0.120557,0
0.218559,0.111144,0,-0.120508,0
0.220132,0.111198,0,-0.120458,0
0.221704,0.111253,0,-0.120409,0
0.223276,0.111308,0,-0.120359,0
0.224849,0.111363,0,-0.120309,0
0.226421,0.111418,0,-0.120259,0
0.227993,0.111473,0,-0.12021,0
0.229566,0.111528,0,-0.120161,0
0.231138,0.111583,0,-0.120111,0
0.232711,0.11164,0,-0.120057,0
0.234283,0.111697,0,-0.12,0
0.235855,0.111756,0,-0.119939,0
0.237428,0.111815,0,-0.119874,0
0.239,0.111876,0,-0.119805,0
0.240572,0.111937,0,-0.119732,0
0.242145,0.111999,0,-0.119655,0
0.243717,0.112062,0,-0.119574,0
0.24529,0.112126,0,-0.11949,0
0.246862,0.112191,0,-0.119403,0
0.248434,0.112257,0,-0.119313,0
0.250007,0.112323,0,-0.119221,0
0.251579,0.11239,0,-0.119125,0
0.253151,0.112458,0,-0.119027,0
0.254724,0.112527,0,-0.118925,0
0.256296,0.112596,0,-0.11882,0
0.257868,0.112667,0,-0.118712,0
0.259441,0.112737,0,-0.118601,0
0.261013,0.112809,0,-0.11849,0
0.262586,0.112881,0,-0.118379,0
0.264158,0.112954,0,-0.118268,0
0.26573,0.113027,0,-0.118155,0
0.267303,0.113101,0,-0.118038,0
0.268875,0.113176,0,-0.117916,0
0.270447,0.113251,0,-0.117788,0
0.27202,0.113327,0,-0.117653,0
0.273592,0.113403,0,-0.11751,0
0.275165,0.113479,0,-0.117356,0
0.276737,0.113557,0,-0.117195,0
0.278309,0.113634,0,-0.117044,0
0.279882,0.113712,0,-0.116901,0
0.281454,0.113791,0,-0.116763,0
0.283026,0.113869,0,-0.116627,0
0.284599,0.113949,0,-0.116489,0
0.286171,0.114028,0,-0.116345,0
0.287743,0.114108,0,-0.116193,0
0.289316,0.114188,0,-0.116029,0
0.290888,0.114269,0,-0.115848,0
0.292461,0.114349,0,-0.115648,0
