# 20240823_140719
alpha,Df0Re,Df0Im
0.290888,-0.0726318,0.256961
0.292461,-0.0725018,0.257278
0.294033,-0.0723697,0.257595
0.295605,-0.0722355,0.257914
0.297178,-0.0720992,0.258233
0.29875,-0.0719608,0.258554
0.300322,-0.0718204,0.258875
0.301895,-0.0716778,0.259197
0.303467,-0.0715328,0.25952
0.30504,-0.0713856,0.259844
0.306612,-0.0712361,0.260168
0.308184,-0.0710843,0.260493
0.309757,-0.0709303,0.260819
0.311329,-0.070774,0.261146
0.312901,-0.0706153,0.261473
0.314474,-0.070454,0.261802
0.316046,-0.0702903,0.26213
0.317618,-0.0701241,0.26246
0.319191,-0.0699556,0.26279
0.320763,-0.0697846,0.26312
0.322336,-0.0696109,0.263451
0.323908,-0.0694346,0.263782
0.32548,-0.0692556,0.264114
0.327053,-0.0690739,0.264447
0.328625,-0.0688897,0.264779
0.330197,-0.0687028,0.265112
0.33177,-0.0685132,0.265445
0.333342,-0.0683207,0.265778
0.334915,-0.0681253,0.266112
0.336487,-0.067927,0.266446
0.338059,-0.067726,0.26678
0.339632,-0.0675221,0.267114
0.341204,-0.0673153,0.267448
0.342776,-0.0671055,0.267782
0.344349,-0.0668925,0.268116
0.345921,-0.0666764,0.26845
0.347493,-0.0664573,0.268784
0.349066,-0.0662352,0.269117
0.350638,-0.0660101,0.26945
0.352211,-0.0657817,0.269783
0.353783,-0.0655499,0.270116
0.355355,-0.0653148,0.270448
0.356928,-0.0650764,0.27078
0.3585,-0.0648348,0.271111
0.360072,-0.06459,0.271442
0.361645,-0.0643418,0.271772
0.363217,-0.06409,0.272101
0.36479,-0.0638346,0.27243
0.366362,-0.0635757,0.272758
0.367934,-0.0633134,0.273085
0.369507,-0.0630476,0.273411
0.371079,-0.0627783,0.273736
0.372651,-0.0625052,0.27406
0.374224,-0.0622282,0.274383
0.375796,-0.0619475,0.274705
0.377368,-0.0616632,0.275026
0.378941,-0.0613751,0.275345
0.380513,-0.0610834,0.275663
0.382086,-0.0607877,0.27598
0.383658,-0.0604879,0.276295
0.38523,-0.0601842,0.276609
0.386803,-0.0598765,0.276921
0.388375,-0.0595649,0.277231
0.389947,-0.0592494,0.27754
0.39152,-0.0589299,0.277846
0.393092,-0.0586061,0.278151
0.394665,-0.058278,0.278454
0.396237,-0.0579457,0.278755
0.397809,-0.0576093,0.279054
0.399382,-0.0572688,0.279351
0.400954,-0.0569242,0.279645
0.402526,-0.0565751,0.279937
0.404099,-0.0562215,0.280227
0.405671,-0.0558635,0.280515
0.407243,-0.0555011,0.2808
0.408816,-0.0551344,0.281082
0.410388,-0.0547634,0.281361
0.411961,-0.0543878,0.281637
0.413533,-0.0540075,0.281912
0.415105,-0.0536225,0.282183
0.416678,-0.0532329,0.282452
0.41825,-0.0528388,0.282717
0.419822,-0.0524403,0.282978
0.421395,-0.0520371,0.283237
0.422967,-0.051629,0.283492
0.42454,-0.051216,0.283745
0.426112,-0.0507981,0.283994
0.427684,-0.0503756,0.28424
0.429257,-0.0499484,0.284481
0.430829,-0.0495165,0.284719
0.432401,-0.0490795,0.284953
0.433974,-0.0486375,0.285184
0.435546,-0.0481904,0.285411
0.437118,-0.0477384,0.285635
0.438691,-0.0472815,0.285853
0.440263,-0.0468199,0.286067
0.441836,-0.0463532,0.286277
0.443408,-0.0458811,0.286484
0.44498,-0.0454038,0.286687
0.446553,-0.0449215,0.286885
0.448125,-0.0444341,0.287078
0.449697,-0.0439418,0.287266
0.45127,-0.0434444,0.287448
0.452842,-0.0429415,0.287628
0.454415,-0.0424333,0.287803
0.455987,-0.0419197,0.287973
0.457559,-0.041401,0.288138
0.459132,-0.0408772,0.288297
0.460704,-0.0403483,0.28845
0.462276,-0.0398139,0.288599
0.463849,-0.039274,0.288744
0.465421,-0.0387286,0.288884
0.466994,-0.0381778,0.289018
0.468566,-0.0376219,0.289145
0.470138,-0.0370608,0.289265
0.471711,-0.0364943,0.28938
0.473283,-0.035922,0.289492
0.474855,-0.0353442,0.289599
0.476428,-0.0347609,0.2897
0.478,-0.0341723,0.289793
0.479572,-0.0335784,0.289878
0.481145,-0.0329792,0.289956
0.482717,-0.0323742,0.290032
0.48429,-0.0317634,0.290104
0.485862,-0.0311472,0.29017
0.487434,-0.0305254,0.290227
0.489007,-0.0298983,0.290273
0.490579,-0.029266,0.290306
0.492151,-0.0286279,0.290336
0.493724,-0.027984,0.290363
0.495296,-0.0273344,0.290387
0.496869,-0.0266793,0.290405
0.498441,-0.0260188,0.290417
0.500013,-0.025353,0.290422
0.501586,-0.0246816,0.290416
0.503158,-0.0240044,0.2904
0.50473,-0.0233214,0.290375
0.506303,-0.0226328,0.290345
0.507875,-0.0219387,0.29031
