# 20240926_150319
alpha,utauRe,utauIm
0,0.999093,0
0.00314989,0.999434,0
0.00629978,0.999717,0
0.00944968,0.999956,0
0.0125996,1.00016,0
0.0157495,1.00034,0
0.0188994,1.00051,0
0.0220492,1.00067,0
0.0251991,1.00082,0
0.028349,1.00097,0
0.0314989,1.00113,0
0.0346488,1.00129,0
0.0377987,1.00146,0
0.0409486,1.00165,0
0.0440985,1.00185,0
0.0472484,1.00206,0
0.0503983,1.00229,0
0.0535482,1.00253,0
0.0566981,1.00279,0
0.059848,1.00306,0
0.0629978,1.00335,0
0.0661477,1.00365,0
0.0692976,1.00397,0
0.0724475,1.0043,0
0.0755974,1.00465,0
0.0787473,1.00501,0
0.0818972,1.00539,0
0.0850471,1.00578,0
0.088197,1.00618,0
0.0913469,1.0066,0
0.0944968,1.00703,0
0.0976467,1.00747,0
0.100797,1.00793,0
0.103946,1.0084,0
0.107096,1.00888,0
0.110246,1.00937,0
0.113396,1.00988,0
0.116546,1.01039,0
0.119696,1.01093,0
0.122846,1.01147,0
0.125996,1.01202,0
0.129146,1.01259,0
0.132295,1.01317,0
0.135445,1.01377,0
0.138595,1.01438,0
0.141745,1.015,0
0.144895,1.01563,0
0.148045,1.01628,0
0.151195,1.01694,0
0.154345,1.01761,0
0.157495,1.0183,0
0.160645,1.019,0
0.163794,1.01972,0
0.166944,1.02045,0
0.170094,1.02119,0
0.173244,1.02195,0
0.176394,1.02272,0
0.179544,1.0235,0
0.182694,1.02431,0
0.185844,1.02512,0
0.188994,1.02595,0
0.192143,1.02679,0
0.195293,1.02765,0
0.198443,1.02852,0
0.201593,1.02941,0
0.204743,1.03031,0
0.207893,1.03123,0
0.211043,1.03216,0
0.214193,1.0331,0
0.217343,1.03406,0
0.220492,1.03503,0
0.223642,1.03602,0
0.226792,1.03702,0
0.229942,1.03803,0
0.233092,1.03906,0
0.236242,1.0401,0
0.239392,1.04116,0
0.242542,1.04223,0
0.245692,1.04331,0
0.248842,1.04441,0
0.251991,1.04552,0
0.255141,1.04665,0
0.258291,1.04779,0
0.261441,1.04894,0
0.264591,1.05011,0
0.267741,1.05129,0
0.270891,1.05248,0
0.274041,1.05369,0
0.277191,1.05491,0
0.28034,1.05614,0
0.28349,1.05739,0
0.28664,1.05865,0
0.28979,1.05992,0
0.29294,1.06121,0
0.29609,1.06251,0
0.29924,1.06382,0
0.30239,1.06515,0
0.30554,1.06649,0
0.308689,1.06784,0
0.311839,1.06921,0
0.314989,1.07059,0
0.318139,1.07198,0
0.321289,1.07339,0
0.324439,1.07481,0
0.327589,1.07624,0
0.330739,1.07768,0
0.333889,1.07914,0
0.337038,1.08061,0
0.340188,1.0821,0
0.343338,1.08359,0
0.346488,1.0851,0
0.349638,1.08663,0
0.352788,1.08816,0
0.355938,1.08971,0
0.359088,1.09127,0
0.362238,1.09284,0
0.365388,1.09443,0
0.368537,1.09603,0
0.371687,1.09764,0
0.374837,1.09926,0
0.377987,1.10089,0
0.381137,1.10254,0
0.384287,1.1042,0
0.387437,1.10586,0
0.390587,1.10755,0
0.393737,1.10924,0
0.396886,1.11094,0
0.400036,1.11265,0
0.403186,1.11438,0
0.406336,1.11612,0
0.409486,1.11786,0
0.412636,1.11962,0
0.415786,1.12139,0
0.418936,1.12317,0
0.422086,1.12496,0
0.425235,1.12676,0
0.428385,1.12856,0
0.431535,1.13038,0
0.434685,1.13221,0
0.437835,1.13405,0
0.440985,1.1359,0
