# 20240725_151431
alpha,rRe,rIm
0,0.110674,0
0.00157237,0.130516,0
0.00314474,0.150357,0
0.00471711,0.170199,0
0.00628947,0.190041,0
0.00786184,0.209882,0
0.00943421,0.229724,0
0.0110066,0.249566,0
0.0125789,0.269407,0
0.0141513,0.289249,0
0.0157237,0.30909,0
0.0172961,0.328932,0
0.0188684,0.348773,0
0.0204408,0.368613,0
0.0220132,0.388452,0
0.0235855,0.408291,0
0.0251579,0.428129,0
0.0267303,0.447969,0
0.0283026,0.467809,0
0.029875,0.48765,0
0.0314474,0.507493,0
0.0330197,0.527339,0
0.0345921,0.547187,0
0.0361645,0.567038,0
0.0377368,0.58689,0
0.0393092,0.606743,0
0.0408816,0.626597,0
0.042454,0.646453,0
0.0440263,0.666311,0
0.0455987,0.686171,0
0.0471711,0.706034,0
0.0487434,0.725899,0
0.0503158,0.745766,0
0.0518882,0.765637,0
0.0534605,0.78551,0
0.0550329,0.805386,0
0.0566053,0.825263,0
0.0581776,0.845143,0
0.05975,0.865025,0
0.0613224,0.88491,0
0.0628947,0.904798,0
0.0644671,0.924688,0
0.0660395,0.944582,0
0.0676119,0.96448,0
0.0691842,0.984381,0
0.0707566,1.00429,0
0.072329,1.02419,0
0.0739013,1.0441,0
0.0754737,1.06402,0
0.0770461,1.08393,0
0.0786184,1.10385,0
0.0801908,1.12378,0
0.0817632,1.14371,0
0.0833355,1.16364,0
0.0849079,1.18357,0
0.0864803,1.20351,0
0.0880526,1.22346,0
0.089625,1.24341,0
0.0911974,1.26336,0
0.0927698,1.28331,0
0.0943421,1.30327,0
0.0959145,1.32324,0
0.0974869,1.34321,0
0.0990592,1.36318,0
0.100632,1.38316,0
0.102204,1.40314,0
0.103776,1.42313,0
0.105349,1.44312,0
0.106921,1.46312,0
0.108493,1.48312,0
0.110066,1.50312,0
0.111638,1.52313,0
0.113211,1.54315,0
0.114783,1.56317,0
0.116355,1.58319,0
0.117928,1.60322,0
0.1195,1.62326,0
0.121072,1.6433,0
0.122645,1.66335,0
0.124217,1.6834,0
0.125789,1.70346,0
0.127362,1.72352,0
0.128934,1.74359,0
0.130507,1.76366,0
0.132079,1.78374,0
0.133651,1.80382,0
0.135224,1.82391,0
0.136796,1.84401,0
0.138368,1.86411,0
0.139941,1.88422,0
0.141513,1.90433,0
0.143086,1.92445,0
0.144658,1.94458,0
0.14623,1.96471,0
0.147803,1.98485,0
0.149375,2.00499,0
0.150947,2.02514,0
0.15252,2.04529,0
0.154092,2.06546,0
0.155665,2.08562,0
0.157237,2.1058,0
0.158809,2.12598,0
0.160382,2.14616,0
0.161954,2.16636,0
0.163526,2.18656,0
0.165099,2.20676,0
0.166671,2.22697,0
0.168243,2.24719,0
0.169816,2.26742,0
0.171388,2.28765,0
0.172961,2.30789,0
0.174533,2.32813,0
0.176105,2.34838,0
0.177678,2.36864,0
0.17925,2.3889,0
0.180822,2.40917,0
0.182395,2.42945,0
0.183967,2.44973,0
0.18554,2.47002,0
0.187112,2.49032,0
