# 20240725_151431
alpha,utauRe,utauIm
0.408816,1.11751,0
0.410388,1.11838,0
0.411961,1.11925,0
0.413533,1.12012,0
0.415105,1.121,0
0.416678,1.12188,0
0.41825,1.12276,0
0.419822,1.12366,0
0.421395,1.12455,0
0.422967,1.12546,0
0.42454,1.12636,0
0.426112,1.12727,0
0.427684,1.12817,0
0.429257,1.12908,0
0.430829,1.12999,0
0.432401,1.13091,0
0.433974,1.13182,0
0.435546,1.13273,0
0.437118,1.13365,0
0.438691,1.13457,0
0.440263,1.13548,0
0.441836,1.1364,0
0.443408,1.13732,0
0.44498,1.13824,0
0.446553,1.13917,0
0.448125,1.14009,0
0.449697,1.14102,0
0.45127,1.14196,0
0.452842,1.1429,0
0.454415,1.14385,0
0.455987,1.14481,0
0.457559,1.14576,0
0.459132,1.14671,0
0.460704,1.14766,0
0.462276,1.14861,0
0.463849,1.14955,0
0.465421,1.1505,0
0.466994,1.15146,0
0.468566,1.15242,0
0.470138,1.15338,0
0.471711,1.15436,0
0.473283,1.15533,0
0.474855,1.15631,0
0.476428,1.15729,0
0.478,1.15827,0
0.479572,1.15925,0
0.481145,1.16022,0
0.482717,1.1612,0
0.48429,1.16218,0
0.485862,1.16316,0
0.487434,1.16414,0
0.489007,1.16513,0
0.490579,1.16612,0
0.492151,1.16711,0
0.493724,1.16811,0
0.495296,1.16912,0
0.496869,1.17012,0
0.498441,1.17111,0
0.500013,1.1721,0
0.501586,1.1731,0
0.503158,1.17411,0
0.50473,1.17511,0
0.506303,1.17612,0
0.507875,1.17714,0
0.509447,1.17816,0
0.51102,1.17919,0
0.512592,1.18021,0
0.514165,1.18124,0
0.515737,1.18226,0
0.517309,1.18328,0
0.518882,1.18429,0
0.520454,1.18531,0
0.522026,1.18634,0
0.523599,1.18736,0
0.525171,1.1884,0
0.526744,1.18944,0
0.528316,1.19048,0
0.529888,1.19153,0
0.531461,1.19258,0
0.533033,1.19362,0
0.534605,1.19465,0
0.536178,1.19569,0
0.53775,1.19673,0
0.539322,1.19777,0
0.540895,1.19882,0
0.542467,1.19987,0
0.54404,1.20093,0
0.545612,1.20199,0
0.547184,1.20306,0
0.548757,1.20412,0
0.550329,1.20519,0
0.551901,1.20625,0
0.553474,1.2073,0
0.555046,1.20836,0
0.556619,1.20942,0
0.558191,1.21048,0
0.559763,1.21154,0
0.561336,1.21261,0
0.562908,1.21369,0
0.56448,1.21476,0
0.566053,1.21584,0
0.567625,1.21693,0
0.569197,1.21802,0
0.57077,1.21911,0
0.572342,1.22019,0
0.573915,1.22127,0
0.575487,1.22235,0
0.577059,1.22343,0
0.578632,1.22451,0
0.580204,1.22559,0
0.581776,1.22668,0
0.583349,1.22777,0
0.584921,1.22887,0
0.586494,1.22997,0
0.588066,1.23107,0
0.589638,1.23218,0
0.591211,1.23328,0
0.592783,1.23438,0
0.594355,1.23547,0
0.595928,1.23657,0
0.5975,1.23766,0
0.599072,1.23876,0
0.600645,1.23987,0
0.602217,1.24097,0
0.60379,1.24208,0
0.605362,1.24319,0
0.606934,1.24431,0
0.608507,1.24544,0
0.610079,1.24656,0
0.611651,1.24768,0
0.613224,1.2488,0
0.614796,1.24991,0
0.616369,1.25102,0
0.617941,1.25213,0
0.619513,1.25324,0
0.621086,1.25436,0
0.622658,1.25548,0
0.62423,1.2566,0
0.625803,1.25773,0
0.627375,1.25886,0
0.628947,1.25999,0
0.63052,1.26112,0
0.632092,1.26226,0
0.633665,1.2634,0
0.635237,1.26454,0
0.636809,1.26567,0
0.638382,1.2668,0
0.639954,1.26792,0
0.641526,1.26905,0
0.643099,1.27018,0
0.644671,1.27131,0
0.646244,1.27245,0
0.647816,1.27358,0
0.649388,1.27472,0
0.650961,1.27587,0
0.652533,1.27701,0
0.654105,1.27816,0
0.655678,1.27931,0
0.65725,1.28047,0
0.658822,1.28162,0
0.660395,1.28276,0
0.661967,1.2839,0
0.66354,1.28504,0
0.665112,1.28618,0
0.666684,1.28732,0
0.668257,1.28846,0
0.669829,1.28961,0
0.671401,1.29075,0
0.672974,1.2919,0
0.674546,1.29305,0
0.676119,1.29421,0
0.677691,1.29536,0
0.679263,1.29652,0
0.680836,1.29767,0
0.682408,1.29883,0
0.68398,1.3,0
0.685553,1.30116,0
0.687125,1.30232,0
0.688697,1.30346,0
0.69027,1.30461,0
0.691842,1.30575,0
0.693415,1.3069,0
0.694987,1.30805,0
0.696559,1.30921,0
0.698132,1.31036,0
0.699704,1.31151,0
0.701276,1.31267,0
0.702849,1.31383,0
0.704421,1.31498,0
0.705994,1.31614,0
0.707566,1.31731,0
0.709138,1.31847,0
0.710711,1.31964,0
0.712283,1.32081,0
0.713855,1.32197,0
0.715428,1.32313,0
0.717,1.32428,0
0.718572,1.32543,0
0.720145,1.32657,0
0.721717,1.32772,0
0.72329,1.32887,0
0.724862,1.33002,0
0.726434,1.33117,0
0.728007,1.33232,0
0.729579,1.33347,0
0.731151,1.33463,0
0.732724,1.33578,0
0.734296,1.33693,0
0.735869,1.33808,0
0.737441,1.33924,0
0.739013,1.34039,0
0.740586,1.34155,0
0.742158,1.3427,0
0.74373,1.34386,0
0.745303,1.34502,0
0.746875,1.34618,0
0.748447,1.34734,0
0.75002,1.34849,0
0.751592,1.34963,0
0.753165,1.35077,0
0.754737,1.3519,0
0.756309,1.35303,0
0.757882,1.35417,0
0.759454,1.3553,0
0.761026,1.35644,0
0.762599,1.35757,0
0.764171,1.3587,0
0.765744,1.35983,0
0.767316,1.36096,0
0.768888,1.36209,0
0.770461,1.36322,0
0.772033,1.36435,0
0.773605,1.36548,0
0.775178,1.36661,0
0.77675,1.36774,0
0.778323,1.36886,0
0.779895,1.36999,0
0.781467,1.37111,0
0.78304,1.37223,0
0.784612,1.37335,0
0.786184,1.37447,0
0.787757,1.37559,0
0.789329,1.37671,0
0.790901,1.37783,0
0.792474,1.37894,0
0.794046,1.38006,0
0.795619,1.38117,0
0.797191,1.38227,0
0.798763,1.38336,0
0.800336,1.38444,0
0.801908,1.38553,0
0.80348,1.38661,0
0.805053,1.38769,0
0.806625,1.38876,0
0.808198,1.38984,0
0.80977,1.39091,0
0.811342,1.39198,0
0.812915,1.39305,0
0.814487,1.39411,0
0.816059,1.39517,0
0.817632,1.39623,0
0.819204,1.39729,0
0.820776,1.39834,0
0.822349,1.39939,0
0.823921,1.40044,0
0.825494,1.40148,0
0.827066,1.40252,0
0.828638,1.40356,0
0.830211,1.4046,0
0.831783,1.40563,0
0.833355,1.40665,0
0.834928,1.40768,0
0.8365,1.4087,0
0.838073,1.40971,0
0.839645,1.41073,0
0.841217,1.41173,0
0.84279,1.41274,0
0.844362,1.41374,0
0.845934,1.41474,0
0.847507,1.41573,0
0.849079,1.41671,0
0.850651,1.4177,0
0.852224,1.41867,0
0.853796,1.41965,0
0.855369,1.42062,0
0.856941,1.42158,0
0.858513,1.42254,0
0.860086,1.42349,0
0.861658,1.42444,0
0.86323,1.42539,0
0.864803,1.42632,0
0.866375,1.42726,0
0.867948,1.42818,0
0.86952,1.4291,0
0.871092,1.43002,0
0.872665,1.43093,0
0.874237,1.43183,0
0.875809,1.43273,0
0.877382,1.43362,0
0.878954,1.43451,0
0.880526,1.43539,0
0.882099,1.43626,0
0.883671,1.43712,0
0.885244,1.43798,0
0.886816,1.43883,0
0.888388,1.43968,0
0.889961,1.44052,0
0.891533,1.44135,0
0.893105,1.44217,0
0.894678,1.44299,0
0.89625,1.4438,0
0.897823,1.4446,0
0.899395,1.44539,0
0.900967,1.44618,0
0.90254,1.44696,0
0.904112,1.44773,0
0.905684,1.44849,0
0.907257,1.44924,0
0.908829,1.44999,0
0.910401,1.45073,0
0.911974,1.45146,0
0.913546,1.45218,0
0.915119,1.45289,0
0.916691,1.45359,0
0.918263,1.45429,0
0.919836,1.45497,0
0.921408,1.45565,0
0.92298,1.45632,0
0.924553,1.45698,0
0.926125,1.45763,0
0.927698,1.45827,0
0.92927,1.4589,0
0.930842,1.45952,0
0.932415,1.46013,0
0.933987,1.46073,0
0.935559,1.46132,0
0.937132,1.46191,0
0.938704,1.46248,0
0.940276,1.46304,0
0.941849,1.46359,0
0.943421,1.46413,0
0.944994,1.46467,0
0.946566,1.46519,0
0.948138,1.46571,0
0.949711,1.46621,0
0.951283,1.4667,0
0.952855,1.46718,0
0.954428,1.46765,0
0.956,1.46812,0
0.957573,1.46857,0
0.959145,1.46901,0
0.960717,1.46944,0
0.96229,1.46986,0
0.963862,1.47027,0
0.965434,1.47067,0
0.967007,1.47105,0
0.968579,1.47143,0
0.970151,1.47179,0
0.971724,1.47215,0
0.973296,1.4725,0
0.974869,1.47283,0
0.976441,1.47316,0
0.978013,1.47347,0
0.979586,1.47377,0
0.981158,1.47406,0
0.98273,1.47434,0
0.984303,1.47461,0
0.985875,1.47487,0
0.987448,1.47512,0
0.98902,1.47536,0
0.990592,1.47559,0
0.992165,1.4758,0
0.993737,1.47601,0
0.995309,1.47621,0
0.996882,1.47639,0
0.998454,1.47657,0
1.00003,1.47673,0
1.0016,1.47688,0
1.00317,1.47702,0
1.00474,1.47715,0
1.00632,1.47728,0
1.00789,1.47739,0
1.00946,1.47749,0
1.01103,1.47758,0
1.01261,1.47766,0
1.01418,1.47773,0
1.01575,1.47779,0
1.01732,1.47784,0
1.01889,1.47788,0
1.02047,1.47791,0
1.02204,1.47793,0
1.02361,1.47793,0
1.02518,1.47793,0
1.02676,1.47792,0
1.02833,1.4779,0
1.0299,1.47787,0
1.03147,1.47781,0
1.03305,1.47771,0
1.03462,1.47758,0
1.03619,1.47744,0
1.03776,1.47729,0
1.03934,1.47711,0
1.04091,1.47692,0
1.04248,1.47673,0
1.04405,1.47652,0
1.04563,1.4763,0
1.0472,1.47607,0
1.04877,1.47583,0
1.05034,1.47558,0
1.05191,1.47532,0
1.05349,1.47505,0
1.05506,1.47477,0
1.05663,1.47448,0
1.0582,1.47417,0
1.05978,1.47386,0
1.06135,1.47353,0
1.06292,1.4732,0
1.06449,1.47286,0
1.06607,1.4725,0
1.06764,1.47214,0
1.06921,1.47176,0
1.07078,1.47137,0
1.07236,1.47098,0
1.07393,1.47057,0
1.0755,1.47016,0
1.07707,1.46974,0
1.07864,1.4693,0
1.08022,1.46886,0
1.08179,1.46841,0
1.08336,1.46794,0
1.08493,1.46747,0
1.08651,1.46699,0
1.08808,1.4665,0
1.08965,1.466,0
1.09122,1.46549,0
1.0928,1.46498,0
1.09437,1.46445,0
1.09594,1.46392,0
1.09751,1.46338,0
1.09909,1.46284,0
1.10066,1.46225,0
1.10223,1.46161,0
1.1038,1.46093,0
1.10538,1.46022,0
1.10695,1.4595,0
1.10852,1.45877,0
1.11009,1.45803,0
1.11166,1.45729,0
1.11324,1.45653,0
1.11481,1.45577,0
1.11638,1.45499,0
1.11795,1.4542,0
1.11953,1.45341,0
1.1211,1.4526,0
1.12267,1.45179,0
1.12424,1.45097,0
1.12582,1.45013,0
1.12739,1.44929,0
1.12896,1.44844,0
1.13053,1.44758,0
1.13211,1.44671,0
1.13368,1.44583,0
1.13525,1.44495,0
1.13682,1.44405,0
1.13839,1.44315,0
1.13997,1.44223,0
1.14154,1.44131,0
1.14311,1.44038,0
1.14468,1.43944,0
1.14626,1.4385,0
1.14783,1.43754,0
1.1494,1.43658,0
1.15097,1.43561,0
1.15255,1.43463,0
1.15412,1.43364,0
1.15569,1.43264,0
1.15726,1.43164,0
1.15884,1.43062,0
1.16041,1.4296,0
1.16198,1.42857,0
1.16355,1.42754,0
1.16513,1.42649,0
1.1667,1.4254,0
1.16827,1.42422,0
1.16984,1.423,0
1.17141,1.42177,0
1.17299,1.42054,0
1.17456,1.4193,0
1.17613,1.41806,0
1.1777,1.41681,0
1.17928,1.41554,0
1.18085,1.41427,0
1.18242,1.41299,0
1.18399,1.4117,0
1.18557,1.41041,0
1.18714,1.4091,0
1.18871,1.40779,0
1.19028,1.40646,0
1.19186,1.40513,0
1.19343,1.40379,0
1.195,1.40245,0
1.19657,1.40109,0
1.19814,1.39973,0
1.19972,1.39835,0
1.20129,1.39697,0
1.20286,1.39558,0
1.20443,1.39418,0
1.20601,1.39278,0
1.20758,1.39137,0
1.20915,1.38994,0
1.21072,1.38851,0
1.2123,1.38708,0
1.21387,1.38563,0
1.21544,1.38417,0
1.21701,1.38271,0
1.21859,1.38124,0
1.22016,1.37976,0
1.22173,1.37827,0
1.2233,1.37678,0
1.22488,1.37527,0
1.22645,1.37376,0
1.22802,1.37224,0
1.22959,1.37071,0
1.23116,1.36918,0
1.23274,1.36764,0
1.23431,1.36605,0
1.23588,1.36442,0
1.23745,1.36275,0
1.23903,1.36105,0
1.2406,1.35933,0
1.24217,1.35761,0
1.24374,1.35588,0
1.24532,1.35414,0
1.24689,1.3524,0
1.24846,1.35064,0
1.25003,1.34888,0
1.25161,1.34711,0
1.25318,1.34533,0
1.25475,1.34354,0
1.25632,1.34175,0
1.25789,1.33995,0
1.25947,1.33814,0
1.26104,1.33632,0
1.26261,1.33449,0
1.26418,1.33266,0
1.26576,1.33082,0
1.26733,1.32896,0
1.2689,1.3271,0
1.27047,1.32524,0
1.27205,1.32336,0
1.27362,1.32148,0
1.27519,1.31959,0
1.27676,1.31769,0
1.27834,1.31578,0
1.27991,1.31387,0
1.28148,1.31194,0
1.28305,1.31001,0
1.28463,1.30807,0
1.2862,1.30612,0
1.28777,1.30416,0
1.28934,1.3022,0
1.29091,1.30022,0
1.29249,1.29824,0
1.29406,1.29625,0
1.29563,1.29425,0
1.2972,1.29224,0
1.29878,1.29023,0
1.30035,1.2882,0
1.30192,1.28617,0
1.30349,1.28412,0
1.30507,1.28207,0
1.30664,1.28002,0
1.30821,1.27795,0
1.30978,1.27588,0
1.31136,1.27379,0
1.31293,1.2717,0
1.3145,1.2696,0
1.31607,1.26749,0
1.31764,1.26536,0
1.31922,1.26322,0
1.32079,1.26107,0
1.32236,1.25889,0
1.32393,1.2567,0
1.32551,1.25447,0
1.32708,1.25224,0
1.32865,1.24999,0
1.33022,1.24774,0
1.3318,1.24549,0
1.33337,1.24322,0
1.33494,1.24096,0
1.33651,1.23868,0
1.33809,1.2364,0
1.33966,1.23411,0
1.34123,1.23182,0
1.3428,1.22952,0
1.34438,1.22721,0
1.34595,1.2249,0
1.34752,1.22258,0
1.34909,1.22025,0
1.35066,1.21792,0
1.35224,1.21558,0
1.35381,1.21324,0
1.35538,1.2109,0
1.35695,1.20854,0
1.35853,1.20618,0
1.3601,1.20382,0
1.36167,1.20146,0
1.36324,1.19909,0
1.36482,1.19671,0
1.36639,1.19433,0
1.36796,1.19195,0
1.36953,1.18956,0
1.37111,1.18717,0
1.37268,1.18478,0
1.37425,1.18238,0
1.37582,1.17998,0
1.37739,1.17758,0
1.37897,1.17518,0
1.38054,1.17278,0
1.38211,1.17038,0
1.38368,1.16797,0
1.38526,1.16557,0
1.38683,1.16316,0
1.3884,1.16076,0
1.38997,1.15835,0
1.39155,1.15595,0
1.39312,1.15355,0
1.39469,1.15115,0
1.39626,1.14875,0
1.39784,1.14635,0
1.39941,1.14396,0
1.40098,1.14157,0
1.40255,1.13919,0
1.40413,1.13681,0
1.4057,1.13444,0
1.40727,1.13207,0
1.40884,1.12971,0
1.41041,1.12736,0
1.41199,1.12501,0
1.41356,1.12267,0
1.41513,1.12034,0
1.4167,1.11801,0
1.41828,1.1157,0
1.41985,1.1134,0
1.42142,1.11111,0
1.42299,1.10883,0
1.42457,1.10657,0
1.42614,1.10431,0
1.42771,1.10207,0
1.42928,1.09985,0
1.43086,1.09764,0
1.43243,1.09544,0
1.434,1.09326,0
1.43557,1.09111,0
1.43714,1.08896,0
1.43872,1.08683,0
1.44029,1.08472,0
1.44186,1.08263,0
1.44343,1.08056,0
1.44501,1.07852,0
1.44658,1.07649,0
1.44815,1.07449,0
1.44972,1.0725,0
1.4513,1.07054,0
1.45287,1.0686,0
1.45444,1.06669,0
1.45601,1.0648,0
1.45759,1.06294,0
1.45916,1.06111,0
1.46073,1.0593,0
1.4623,1.05751,0
1.46388,1.05576,0
1.46545,1.05403,0
1.46702,1.05233,0
1.46859,1.05066,0
1.47016,1.04901,0
1.47174,1.0474,0
1.47331,1.04582,0
1.47488,1.04426,0
1.47645,1.04273,0
1.47803,1.04123,0
1.4796,1.03976,0
1.48117,1.03832,0
1.48274,1.03692,0
1.48432,1.03554,0
1.48589,1.03419,0
1.48746,1.03287,0
1.48903,1.03158,0
1.49061,1.03032,0
1.49218,1.0291,0
1.49375,1.0279,0
1.49532,1.02673,0
1.49689,1.02559,0
1.49847,1.02447,0
1.50004,1.02339,0
1.50161,1.02234,0
1.50318,1.02131,0
1.50476,1.02031,0
1.50633,1.01934,0
1.5079,1.0184,0
1.50947,1.01748,0
1.51105,1.01659,0
1.51262,1.01573,0
1.51419,1.01489,0
1.51576,1.01407,0
1.51734,1.01328,0
1.51891,1.01252,0
1.52048,1.01178,0
1.52205,1.01107,0
1.52363,1.01038,0
1.5252,1.00971,0
1.52677,1.00906,0
1.52834,1.00846,0
1.52991,1.00788,0
1.53149,1.00731,0
1.53306,1.00677,0
1.53463,1.00625,0
1.5362,1.00574,0
1.53778,1.00526,0
1.53935,1.0048,0
1.54092,1.00436,0
1.54249,1.00393,0
1.54407,1.00353,0
1.54564,1.00315,0
1.54721,1.00279,0
1.54878,1.00244,0
1.55036,1.00212,0
1.55193,1.00182,0
1.5535,1.00154,0
1.55507,1.00129,0
1.55665,1.00105,0
1.55822,1.00084,0
1.55979,1.00064,0
1.56136,1.00048,0
1.56293,1.00033,0
1.56451,1.00022,0
1.56608,1.00012,0
1.56765,1.00006,0
1.56922,1.00001,0
1.5708,0.99997,0
