# 20240725_151431
alpha,DrRe,DrIm
1.22345,-2.8525,0
1.22643,-2.83032,0
1.22938,-2.78677,0
1.23361,-2.82268,0
1.23757,-2.96452,0
1.24043,-2.95656,0
1.24432,-2.89769,0
1.24764,-2.8593,0
1.25039,-2.82246,0
1.25555,-2.75865,0
1.26152,-2.68247,0
1.26393,-2.65242,0
1.26648,-2.62034,0
1.27335,-2.53509,0
1.27834,-2.47359,0
1.28141,-2.43606,0
1.28416,-2.40269,0
1.28818,-2.35413,0
1.29222,-2.30569,0
1.29918,-2.22231,0
1.30701,-2.13026,0
1.30929,-2.10289,0
1.31131,-2.07952,0
1.31389,-2.04809,0
1.31649,-2.02164,0
1.323,-2.03115,0
1.32998,-1.95975,0
1.33704,-1.84457,0
1.33958,-1.80539,0
1.34167,-1.7729,0
1.34362,-1.74248,0
1.34613,-1.7031,0
1.34866,-1.66348,0
1.35537,-1.5573,0
1.36289,-1.43622,0
1.36524,-1.398,0
1.36768,-1.35799,0
1.37008,-1.31826,0
1.37249,-1.2781,0
1.37854,-1.17562,0
1.38477,-1.06753,0
1.39104,-0.955398,0
1.39371,-0.906552,0
1.39594,-0.865203,0
1.39901,-0.807364,0
1.40251,-0.740174,0
1.4119,-0.552295,0
1.41759,-0.432501,0
1.42331,-0.306882,0
1.42577,-0.251036,0
1.42788,-0.202538,0
1.43066,-0.137117,0
1.43379,-0.0618673,0
1.44216,0.149184,0
1.45058,0.376322,0
1.45559,0.519093,0
1.46062,0.668147,0
1.46347,0.755086,0
1.46573,0.825619,0
1.46831,0.907432,0
1.47105,0.996018,0
1.47836,1.24168,0
1.48448,1.45773,0
1.48941,1.63884,0
1.49315,1.78078,0
1.4957,1.88003,0
1.49828,1.9827,0
1.50091,2.08942,0
1.50482,2.25174,0
1.51001,2.48298,0
1.5152,2.71556,0
1.51727,2.82161,0
1.51934,2.91617,0
1.52185,3.07179,0
1.52677,3.21214,0
1.52733,3.22834,0
1.53144,3.53412,0
1.53601,3.75546,0
1.54127,4.14949,0
1.54337,4.31181,0
1.54673,4.6046,0
1.54962,4.88377,0
1.55317,5.27046,0
1.5576,5.83232,0
1.56028,6.22245,0
1.56249,6.57746,0
1.56456,6.93896,0
1.56709,7.42659,0
1.56931,7.90671,0
