# 20240725_151027
alpha,pi0Re,pi0Im
0,0.0571525,0
0.00157237,0.0571564,0
0.00314474,0.0571608,0
0.00471711,0.0571662,0
0.00628947,0.0571722,0
0.00786184,0.0571789,0
0.00943421,0.057186,0
0.0110066,0.0571938,0
0.0125789,0.0572021,0
0.0141513,0.0572111,0
0.0157237,0.0572206,0
0.0172961,0.0572308,0
0.0188684,0.0572415,0
0.0204408,0.057253,0
0.0220132,0.0572652,0
0.0235855,0.0572783,0
0.0251579,0.0572921,0
0.0267303,0.0573068,0
0.0283026,0.0573222,0
0.029875,0.0573384,0
0.0314474,0.0573553,0
0.0330197,0.057373,0
0.0345921,0.0573914,0
0.0361645,0.0574105,0
0.0377368,0.0574303,0
0.0393092,0.0574508,0
0.0408816,0.057472,0
0.042454,0.0574938,0
0.0440263,0.0575163,0
0.0455987,0.0575394,0
0.0471711,0.0575631,0
0.0487434,0.0575874,0
0.0503158,0.0576123,0
0.0518882,0.0576378,0
0.0534605,0.0576639,0
0.0550329,0.0576905,0
0.0566053,0.0577176,0
0.0581776,0.0577453,0
0.05975,0.0577735,0
0.0613224,0.0578022,0
0.0628947,0.0578314,0
0.0644671,0.057861,0
0.0660395,0.0578911,0
0.0676119,0.0579217,0
0.0691842,0.0579527,0
0.0707566,0.0579841,0
0.072329,0.0580159,0
0.0739013,0.0580481,0
0.0754737,0.0580807,0
0.0770461,0.0581137,0
0.0786184,0.058147,0
0.0801908,0.0581807,0
0.0817632,0.0582147,0
0.0833355,0.0582491,0
0.0849079,0.0582844,0
0.0864803,0.0583208,0
0.0880526,0.0583583,0
0.089625,0.0583968,0
0.0911974,0.0584363,0
0.0927698,0.0584769,0
0.0943421,0.0585185,0
0.0959145,0.0585612,0
0.0974869,0.0586048,0
0.0990592,0.0586494,0
0.100632,0.058695,0
0.102204,0.0587416,0
0.103776,0.0587891,0
0.105349,0.0588376,0
0.106921,0.0588871,0
0.108493,0.0589375,0
0.110066,0.0589888,0
0.111638,0.059041,0
0.113211,0.0590941,0
0.114783,0.0591482,0
0.116355,0.0592031,0
0.117928,0.0592589,0
0.1195,0.0593156,0
0.121072,0.0593731,0
0.122645,0.0594315,0
0.124217,0.0594907,0
0.125789,0.0595507,0
0.127362,0.0596116,0
0.128934,0.0596733,0
0.130507,0.0597358,0
0.132079,0.059799,0
0.133651,0.0598631,0
0.135224,0.0599279,0
0.136796,0.0599935,0
0.138368,0.0600599,0
0.139941,0.060127,0
0.141513,0.0601948,0
0.143086,0.0602634,0
0.144658,0.0603327,0
0.14623,0.0604026,0
0.147803,0.0604733,0
0.149375,0.0605447,0
0.150947,0.0606167,0
0.15252,0.0606894,0
0.154092,0.0607628,0
0.155665,0.0608368,0
0.157237,0.0609115,0
0.158809,0.0609868,0
0.160382,0.0610627,0
0.161954,0.0611392,0
0.163526,0.0612163,0
0.165099,0.0612941,0
0.166671,0.0613724,0
0.168243,0.0614512,0
0.169816,0.0615307,0
0.171388,0.0616106,0
0.172961,0.0616912,0
0.174533,0.0617722,0
0.176105,0.0618538,0
0.177678,0.0619359,0
0.17925,0.0620185,0
0.180822,0.0621017,0
0.182395,0.0621852,0
0.183967,0.0622693,0
0.18554,0.0623539,0
0.187112,0.0624388,0
0.188684,0.0625243,0
0.190257,0.0626102,0
0.191829,0.0626965,0
0.193401,0.0627832,0
0.194974,0.0628704,0
0.196546,0.0629579,0
0.198118,0.0630458,0
0.199691,0.0631341,0
0.201263,0.0632228,0
0.202836,0.0633119,0
0.204408,0.0634013,0
