alpha,pi0Re,pi0Im,Dpi0Re,Dpi0Im
0,0.0699972,0,-0.188643,0
0.00157237,0.0700009,0,-0.188665,0
0.00314474,0.070005,0,-0.188686,0
0.00471711,0.07001,0,-0.188707,0
0.00628947,0.0700157,0,-0.188727,0
0.00786184,0.0700219,0,-0.188747,0
0.00943421,0.0700286,0,-0.188766,0
0.0110066,0.0700358,0,-0.188785,0
0.0125789,0.0700436,0,-0.188803,0
0.0141513,0.070052,0,-0.188821,0
0.0157237,0.0700609,0,-0.188838,0
0.0172961,0.0700704,0,-0.188855,0
0.0188684,0.0700805,0,-0.188871,0
0.0204408,0.0700912,0,-0.188885,0
0.0220132,0.0701027,0,-0.188899,0
0.0235855,0.0701149,0,-0.188911,0
0.0251579,0.0701279,0,-0.188923,0
0.0267303,0.0701416,0,-0.188934,0
0.0283026,0.070156,0,-0.188945,0
0.029875,0.0701712,0,-0.188956,0
0.0314474,0.070187,0,-0.188968,0
0.0330197,0.0702036,0,-0.188981,0
0.0345921,0.0702208,0,-0.188994,0
0.0361645,0.0702387,0,-0.189009,0
0.0377368,0.0702573,0,-0.189026,0
0.0393092,0.0702765,0,-0.189044,0
0.0408816,0.0702963,0,-0.189063,0
0.042454,0.0703167,0,-0.189083,0
0.0440263,0.0703378,0,-0.189104,0
0.0455987,0.0703594,0,-0.189126,0
0.0471711,0.0703817,0,-0.189148,0
0.0487434,0.0704045,0,-0.189171,0
0.0503158,0.0704278,0,-0.189195,0
0.0518882,0.0704517,0,-0.189219,0
0.0534605,0.0704762,0,-0.189243,0
0.0550329,0.0705011,0,-0.189269,0
0.0566053,0.0705266,0,-0.189295,0
0.0581776,0.0705526,0,-0.189324,0
0.05975,0.0705791,0,-0.189353,0
0.0613224,0.070606,0,-0.189383,0
0.0628947,0.0706334,0,-0.189414,0
0.0644671,0.0706612,0,-0.189446,0
0.0660395,0.0706895,0,-0.189479,0
0.0676119,0.0707182,0,-0.189513,0
0.0691842,0.0707474,0,-0.189547,0
0.0707566,0.0707769,0,-0.189582,0
0.072329,0.0708068,0,-0.189618,0
0.0739013,0.0708371,0,-0.189655,0
0.0754737,0.0708678,0,-0.189694,0
0.0770461,0.0708988,0,-0.189734,0
0.0786184,0.0709302,0,-0.189775,0
0.0801908,0.0709619,0,-0.189817,0
0.0817632,0.0709939,0,-0.18986,0
0.0833355,0.0710262,0,-0.189904,0
0.0849079,0.0710588,0,-0.189949,0
0.0864803,0.0710922,0,-0.189995,0
0.0880526,0.0711267,0,-0.19004,0
0.089625,0.0711621,0,-0.190085,0
0.0911974,0.0711985,0,-0.190131,0
0.0927698,0.0712359,0,-0.190178,0
0.0943421,0.0712743,0,-0.190225,0
0.0959145,0.0713136,0,-0.190272,0
0.0974869,0.0713539,0,-0.19032,0
0.0990592,0.0713951,0,-0.190368,0
0.100632,0.0714373,0,-0.190416,0
0.102204,0.0714804,0,-0.190464,0
0.103776,0.0715244,0,-0.190513,0
0.105349,0.0715693,0,-0.190561,0
0.106921,0.0716152,0,-0.19061,0
0.108493,0.0716619,0,-0.190659,0
0.110066,0.0717095,0,-0.190709,0
0.111638,0.071758,0,-0.19076,0
0.113211,0.0718073,0,-0.190811,0
0.114783,0.0718576,0,-0.190862,0
0.116355,0.0719086,0,-0.190913,0
0.117928,0.0719605,0,-0.190965,0
0.1195,0.0720133,0,-0.191017,0
0.121072,0.0720668,0,-0.19107,0
0.122645,0.0721212,0,-0.191122,0
0.124217,0.0721764,0,-0.191175,0
0.125789,0.0722324,0,-0.191229,0
0.127362,0.0722892,0,-0.191283,0
0.128934,0.0723467,0,-0.191338,0
0.130507,0.0724051,0,-0.191393,0
0.132079,0.0724642,0,-0.191449,0
0.133651,0.072524,0,-0.191505,0
0.135224,0.0725846,0,-0.191562,0
0.136796,0.072646,0,-0.191619,0
0.138368,0.0727081,0,-0.191676,0
0.139941,0.0727709,0,-0.191733,0
0.141513,0.0728344,0,-0.191791,0
0.143086,0.0728986,0,-0.19185,0
0.144658,0.0729635,0,-0.191909,0
0.14623,0.0730291,0,-0.191969,0
0.147803,0.0730954,0,-0.192029,0
0.149375,0.0731623,0,-0.19209,0
0.150947,0.0732299,0,-0.192152,0
0.15252,0.0732982,0,-0.192214,0
0.154092,0.0733671,0,-0.192276,0
0.155665,0.0734366,0,-0.192339,0
0.157237,0.0735068,0,-0.192402,0
0.158809,0.0735776,0,-0.192466,0
0.160382,0.073649,0,-0.192531,0
0.161954,0.073721,0,-0.192596,0
0.163526,0.0737936,0,-0.192662,0
0.165099,0.0738667,0,-0.192729,0
0.166671,0.0739405,0,-0.192796,0
0.168243,0.0740148,0,-0.192864,0
0.169816,0.0740897,0,-0.192932,0
0.171388,0.0741651,0,-0.193001,0
0.172961,0.0742411,0,-0.19307,0
0.174533,0.0743175,0,-0.19314,0
0.176105,0.0743946,0,-0.19321,0
0.177678,0.0744721,0,-0.193281,0
0.17925,0.0745501,0,-0.193353,0
0.180822,0.0746287,0,-0.193425,0
0.182395,0.0747077,0,-0.193498,0
0.183967,0.0747872,0,-0.193572,0
0.18554,0.0748672,0,-0.193647,0
0.187112,0.0749476,0,-0.193722,0
0.188684,0.0750285,0,-0.193798,0
0.190257,0.0751099,0,-0.193874,0
0.191829,0.0751917,0,-0.193951,0
0.193401,0.0752739,0,-0.194029,0
0.194974,0.0753565,0,-0.194108,0
0.196546,0.0754396,0,-0.194188,0
0.198118,0.075523,0,-0.194268,0
0.199691,0.0756068,0,-0.19435,0
0.201263,0.0756911,0,-0.194432,0
0.202836,0.0757757,0,-0.194515,0
0.204408,0.0758607,0,-0.194598,0
0.20598,0.075946,0,-0.194681,0
0.207553,0.0760317,0,-0.194765,0
0.209125,0.0761177,0,-0.19485,0
0.210697,0.0762041,0,-0.194935,0
0.21227,0.0762907,0,-0.195021,0
0.213842,0.0763777,0,-0.195108,0
0.215415,0.0764651,0,-0.195196,0
0.216987,0.0765527,0,-0.195284,0
0.218559,0.0766406,0,-0.195374,0
0.220132,0.0767288,0,-0.195464,0
0.221704,0.0768172,0,-0.195555,0
0.223276,0.0769059,0,-0.195647,0
0.224849,0.0769949,0,-0.19574,0
0.226421,0.0770841,0,-0.195834,0
0.227993,0.0771736,0,-0.19593,0
0.229566,0.0772633,0,-0.196027,0
0.231138,0.0773533,0,-0.196125,0
0.232711,0.0774447,0,-0.196222,0
0.234283,0.0775378,0,-0.196317,0
0.235855,0.0776328,0,-0.19641,0
0.237428,0.0777295,0,-0.196501,0
0.239,0.0778279,0,-0.196588,0
0.240572,0.077928,0,-0.196673,0
0.242145,0.0780297,0,-0.196755,0
0.243717,0.0781331,0,-0.196835,0
0.24529,0.078238,0,-0.196914,0
0.246862,0.0783445,0,-0.196992,0
0.248434,0.0784526,0,-0.197069,0
0.250007,0.0785621,0,-0.197145,0
0.251579,0.0786731,0,-0.19722,0
0.253151,0.0787855,0,-0.197293,0
0.254724,0.0788994,0,-0.197365,0
0.256296,0.0790146,0,-0.197436,0
0.257868,0.0791312,0,-0.197504,0
0.259441,0.079249,0,-0.197571,0
0.261013,0.0793682,0,-0.197642,0
0.262586,0.0794886,0,-0.197717,0
0.264158,0.0796102,0,-0.197795,0
0.26573,0.079733,0,-0.197873,0
0.267303,0.0798569,0,-0.197948,0
0.268875,0.079982,0,-0.198019,0
0.270447,0.0801082,0,-0.198083,0
0.27202,0.0802354,0,-0.198137,0
0.273592,0.0803637,0,-0.198181,0
0.275165,0.080493,0,-0.198211,0
0.276737,0.0806232,0,-0.198233,0
0.278309,0.0807544,0,-0.198273,0
0.279882,0.0808865,0,-0.198331,0
0.281454,0.0810195,0,-0.1984,0
0.283026,0.0811533,0,-0.198476,0
0.284599,0.0812879,0,-0.198551,0
0.286171,0.0814233,0,-0.198621,0
0.287743,0.0815594,0,-0.198679,0
0.289316,0.0816963,0,-0.198719,0
0.290888,0.0818339,0,-0.198734,0
0.292461,0.0819721,0,-0.198718,0
0.294033,0.082111,0,-0.198702,0
0.295605,0.0822504,0,-0.198721,0
0.297178,0.0823905,0,-0.198767,0
0.29875,0.082531,0,-0.198832,0
0.300322,0.0826721,0,-0.198907,0
0.301895,0.0828136,0,-0.198984,0
0.303467,0.0829556,0,-0.199055,0
0.30504,0.083098,0,-0.199111,0
0.306612,0.0832407,0,-0.199145,0
0.308184,0.0833839,0,-0.199147,0
0.309757,0.0835273,0,-0.199116,0
0.311329,0.083671,0,-0.199111,0
0.312901,0.083815,0,-0.199143,0
0.314474,0.0839592,0,-0.199203,0
