# 20240823_140916
alpha,Dfield0Re,Dfield0Im
0.289316,-0.0727596,0.160716
0.290888,-0.0726318,0.160663
0.292461,-0.0725018,0.160608
0.294033,-0.0723697,0.16055
0.295605,-0.0722355,0.16049
0.297178,-0.0720992,0.160428
0.29875,-0.0719608,0.160364
0.300322,-0.0718204,0.160298
0.301895,-0.0716778,0.16023
0.303467,-0.0715328,0.160159
0.30504,-0.0713856,0.160086
0.306612,-0.0712361,0.16001
0.308184,-0.0710843,0.159932
0.309757,-0.0709303,0.159852
0.311329,-0.070774,0.159769
0.312901,-0.0706153,0.159684
0.314474,-0.070454,0.159595
0.316046,-0.0702903,0.159504
0.317618,-0.0701241,0.159411
0.319191,-0.0699556,0.159315
0.320763,-0.0697846,0.159216
0.322336,-0.0696109,0.159115
0.323908,-0.0694346,0.15901
0.32548,-0.0692556,0.158902
0.327053,-0.0690739,0.158792
0.328625,-0.0688897,0.158679
0.330197,-0.0687028,0.158562
0.33177,-0.0685132,0.158443
0.333342,-0.0683207,0.158321
0.334915,-0.0681253,0.158194
0.336487,-0.067927,0.158065
0.338059,-0.067726,0.157933
0.339632,-0.0675221,0.157797
0.341204,-0.0673153,0.157659
0.342776,-0.0671055,0.157516
0.344349,-0.0668925,0.15737
0.345921,-0.0666764,0.15722
0.347493,-0.0664573,0.157067
0.349066,-0.0662352,0.15691
0.350638,-0.0660101,0.15675
0.352211,-0.0657817,0.156586
0.353783,-0.0655499,0.156417
0.355355,-0.0653148,0.156245
0.356928,-0.0650764,0.156069
0.3585,-0.0648348,0.155889
0.360072,-0.06459,0.155705
0.361645,-0.0643418,0.155517
0.363217,-0.06409,0.155325
0.36479,-0.0638346,0.155128
0.366362,-0.0635757,0.154927
0.367934,-0.0633134,0.154722
0.369507,-0.0630476,0.154513
0.371079,-0.0627783,0.154299
0.372651,-0.0625052,0.15408
0.374224,-0.0622282,0.153857
0.375796,-0.0619475,0.153629
0.377368,-0.0616632,0.153396
0.378941,-0.0613751,0.153159
0.380513,-0.0610834,0.152918
0.382086,-0.0607877,0.152671
0.383658,-0.0604879,0.152419
0.38523,-0.0601842,0.152162
0.386803,-0.0598765,0.1519
0.388375,-0.0595649,0.151633
0.389947,-0.0592494,0.151361
0.39152,-0.0589299,0.151084
0.393092,-0.0586061,0.150801
0.394665,-0.058278,0.150512
0.396237,-0.0579457,0.150219
0.397809,-0.0576093,0.149919
0.399382,-0.0572688,0.149615
0.400954,-0.0569242,0.149305
0.402526,-0.0565751,0.148989
0.404099,-0.0562215,0.148668
0.405671,-0.0558635,0.14834
0.407243,-0.0555011,0.148006
0.408816,-0.0551344,0.147667
0.410388,-0.0547634,0.147323
0.411961,-0.0543878,0.146972
0.413533,-0.0540075,0.146615
0.415105,-0.0536225,0.146251
0.416678,-0.0532329,0.145881
0.41825,-0.0528388,0.145505
0.419822,-0.0524403,0.145124
0.421395,-0.0520371,0.144736
0.422967,-0.051629,0.144341
0.42454,-0.051216,0.143939
0.426112,-0.0507981,0.143531
0.427684,-0.0503756,0.143116
0.429257,-0.0499484,0.142695
0.430829,-0.0495165,0.142268
0.432401,-0.0490795,0.141833
0.433974,-0.0486375,0.141392
0.435546,-0.0481904,0.140943
0.437118,-0.0477384,0.140488
0.438691,-0.0472815,0.140026
0.440263,-0.0468199,0.139557
0.441836,-0.0463532,0.139081
0.443408,-0.0458811,0.138598
0.44498,-0.0454038,0.138107
0.446553,-0.0449215,0.137609
0.448125,-0.0444341,0.137104
0.449697,-0.0439418,0.136592
0.45127,-0.0434444,0.136072
0.452842,-0.0429415,0.135545
0.454415,-0.0424333,0.13501
0.455987,-0.0419197,0.134468
0.457559,-0.041401,0.133918
0.459132,-0.0408772,0.133361
0.460704,-0.0403483,0.132797
0.462276,-0.0398139,0.132224
0.463849,-0.039274,0.131644
0.465421,-0.0387286,0.131055
0.466994,-0.0381778,0.130459
0.468566,-0.0376219,0.129855
0.470138,-0.0370608,0.129244
0.471711,-0.0364943,0.128625
0.473283,-0.035922,0.127997
0.474855,-0.0353442,0.127361
0.476428,-0.0347609,0.126717
0.478,-0.0341723,0.126065
0.479572,-0.0335784,0.125405
0.481145,-0.0329792,0.124738
0.482717,-0.0323742,0.124062
0.48429,-0.0317634,0.123377
0.485862,-0.0311472,0.122683
0.487434,-0.0305254,0.121982
0.489007,-0.0298983,0.121273
0.490579,-0.029266,0.120555
0.492151,-0.0286279,0.119829
0.493724,-0.027984,0.119095
0.495296,-0.0273344,0.118351
0.496869,-0.0266793,0.117599
0.498441,-0.0260188,0.116839
0.500013,-0.025353,0.11607
0.501586,-0.0246816,0.115294
0.503158,-0.0240044,0.114508
0.50473,-0.0233214,0.113713
0.506303,-0.0226328,0.112909
0.507875,-0.0219387,0.112097
0.509447,-0.0212393,0.111277
0.51102,-0.0205345,0.110448
0.512592,-0.0198239,0.10961
0.514165,-0.0191075,0.108763
0.515737,-0.0183855,0.107907
0.517309,-0.017658,0.107042
0.518882,-0.0169251,0.106169
0.520454,-0.016187,0.105288
0.522026,-0.0154431,0.104397
0.523599,-0.0146935,0.103497
0.525171,-0.0139382,0.102588
0.526744,-0.0131774,0.10167
0.528316,-0.0124113,0.100744
0.529888,-0.01164,0.0998089
0.531461,-0.0108633,0.0988652
0.533033,-0.0100808,0.097912
0.534605,-0.00929268,0.0969497
0.536178,-0.00849913,0.0959783
0.53775,-0.00770028,0.0949982
0.539322,-0.00689629,0.0940096
0.540895,-0.00608718,0.0930125
0.542467,-0.00527241,0.0920059
0.54404,-0.00445208,0.0909901
0.545612,-0.00362635,0.0899651
0.547184,-0.0027954,0.0889313
0.548757,-0.0019594,0.0878889
0.550329,-0.0011185,0.0868382
0.551901,-0.000272245,0.0857783
0.553474,0.000579493,0.084709
0.555046,0.00143652,0.0836306
0.556619,0.00229867,0.0825433
0.558191,0.00316573,0.0814475
0.559763,0.00403754,0.0803432
0.561336,0.00491425,0.0792304
0.562908,0.0057963,0.0781082
0.56448,0.0066835,0.0769769
0.566053,0.00757566,0.0758367
0.567625,0.00847259,0.074688
0.569197,0.0093741,0.073531
0.57077,0.0102801,0.0723657
0.572342,0.0111912,0.0711913
0.573915,0.0121073,0.0700078
0.575487,0.0130281,0.0688156
0.577059,0.0139535,0.0676149
0.578632,0.0148833,0.066406
0.580204,0.0158172,0.0651891
0.581776,0.0167557,0.0639637
0.583349,0.017699,0.0627293
0.584921,0.0186468,0.0614862
0.586494,0.0195989,0.0602349
0.588066,0.0205552,0.0589755
0.589638,0.0215153,0.0577084
0.591211,0.0224794,0.0564334
0.592783,0.023448,0.0551496
0.594355,0.0244208,0.0538575
0.595928,0.0253977,0.0525572
0.5975,0.0263784,0.0512491
0.599072,0.0273627,0.0499335
0.600645,0.0283504,0.0486106
0.602217,0.0293422,0.0472794
0.60379,0.0303379,0.0459401
0.605362,0.0313373,0.0445929
0.606934,0.0323402,0.0432382
0.608507,0.0333464,0.0418764
0.610079,0.0343554,0.0405077
0.611651,0.0353679,0.0391316
0.613224,0.0363839,0.0377476
0.614796,0.0374033,0.0363562
0.616369,0.0384257,0.0349576
0.617941,0.039451,0.0335522
0.619513,0.0404789,0.0321404
0.621086,0.0415093,0.030722
0.622658,0.042543,0.0292963
0.62423,0.0435795,0.0278635
0.625803,0.0446188,0.026424
0.627375,0.0456604,0.0249781
0.628947,0.0467042,0.0235262
0.63052,0.0477498,0.0220687
0.632092,0.0487979,0.0206046
0.633665,0.0498486,0.0191338
0.635237,0.0509015,0.0176569
0.636809,0.0519562,0.0161741
0.638382,0.0530126,0.0146858
0.639954,0.0540704,0.0131926
0.641526,0.0551298,0.0116938
0.643099,0.0561912,0.010189
0.644671,0.0572544,0.00867848
0.646244,0.0583189,0.00716274
0.647816,0.0593846,0.00564215
0.649388,0.0604511,0.00411714
0.650961,0.0615183,0.00258775
0.652533,0.0625869,0.00105303
0.654105,0.0636568,-0.000486729
0.655678,0.0647275,-0.0020311
0.65725,0.0657988,-0.00357966
0.658822,0.0668704,-0.00513196
0.660395,0.0679419,-0.00668764
0.661967,0.069014,-0.00824757
0.66354,0.0700868,-0.00981186
0.665112,0.0711598,-0.0113801
0.666684,0.0722329,-0.0129517
0.668257,0.0733056,-0.0145264
0.669829,0.0743777,-0.0161037
0.671401,0.0754493,-0.0176839
0.672974,0.0765211,-0.0192677
0.674546,0.0775925,-0.0208547
0.676119,0.0786634,-0.0224444
0.677691,0.0797333,-0.0240364
0.679263,0.080802,-0.0256301
0.680836,0.0818692,-0.0272254
0.682408,0.0829357,-0.0288234
0.68398,0.0840014,-0.0304237
0.685553,0.0850659,-0.0320259
0.687125,0.0861288,-0.0336296
0.688697,0.0871898,-0.0352341
0.69027,0.0882485,-0.0368392
0.691842,0.0893057,-0.0384456
0.693415,0.0903613,-0.0400535
0.694987,0.0914152,-0.0416625
0.696559,0.0924668,-0.043272
0.698132,0.0935159,-0.0448816
0.699704,0.094562,-0.0464908
0.701276,0.0956053,-0.0480997
0.702849,0.0966466,-0.0497093
0.704421,0.0976854,-0.0513191
0.705994,0.0987214,-0.0529285
0.707566,0.0997541,-0.0545371
0.709138,0.100783,-0.0561443
0.710711,0.101809,-0.0577498
0.712283,0.102831,-0.0593548
0.713855,0.10385,-0.060959
0.715428,0.104866,-0.062562
0.717,0.105878,-0.0641632
0.718572,0.106886,-0.0657621
0.720145,0.107889,-0.0673581
0.721717,0.108888,-0.0689521
0.72329,0.109883,-0.0705445
0.724862,0.110874,-0.0721347
0.726434,0.111861,-0.0737222
0.728007,0.112843,-0.0753063
0.729579,0.113819,-0.0768866
0.731151,0.11479,-0.0784631
0.732724,0.115757,-0.080037
0.734296,0.116719,-0.0816078
0.735869,0.117676,-0.0831749
0.737441,0.118628,-0.0847377
0.739013,0.119573,-0.0862956
0.740586,0.120512,-0.0878482
0.742158,0.121446,-0.0893969
0.74373,0.122374,-0.0909415
0.745303,0.123297,-0.0924815
0.746875,0.124213,-0.0940162
0.748447,0.125123,-0.0955451
0.75002,0.126025,-0.0970674
0.751592,0.126921,-0.0985841
0.753165,0.127812,-0.100096
0.754737,0.128696,-0.101602
0.756309,0.129573,-0.103102
0.757882,0.130443,-0.104595
0.759454,0.131305,-0.10608
0.761026,0.132159,-0.107558
0.762599,0.133006,-0.10903
0.764171,0.133847,-0.110496
0.765744,0.134681,-0.111954
0.767316,0.135506,-0.113405
0.768888,0.136323,-0.114846
0.770461,0.137131,-0.116279
0.772033,0.137932,-0.117705
0.773605,0.138725,-0.119123
0.775178,0.139511,-0.120533
0.77675,0.140288,-0.121934
0.778323,0.141056,-0.123326
0.779895,0.141814,-0.124707
0.781467,0.142563,-0.126079
0.78304,0.143305,-0.127443
0.784612,0.144039,-0.128798
0.786184,0.144763,-0.130144
0.787757,0.145478,-0.131478
0.789329,0.146183,-0.132802
0.790901,0.146878,-0.134115
0.792474,0.147564,-0.135418
0.794046,0.148241,-0.136712
0.795619,0.14891,-0.137995
0.797191,0.149568,-0.139267
0.798763,0.150216,-0.140526
0.800336,0.150852,-0.141773
0.801908,0.151479,-0.14301
0.80348,0.152097,-0.144236
0.805053,0.152706,-0.145451
0.806625,0.153304,-0.146653
0.808198,0.153891,-0.147843
0.80977,0.154466,-0.14902
0.811342,0.15503,-0.150183
0.812915,0.155586,-0.151335
0.814487,0.156132,-0.152476
0.816059,0.156667,-0.153604
0.817632,0.157191,-0.154719
0.819204,0.157702,-0.155819
0.820776,0.158201,-0.156904
0.822349,0.158691,-0.157978
0.823921,0.159171,-0.159039
0.825494,0.15964,-0.160087
0.827066,0.160098,-0.161121
0.828638,0.160544,-0.16214
0.830211,0.160976,-0.163143
0.831783,0.161397,-0.164133
0.833355,0.161809,-0.16511
0.834928,0.162211,-0.166073
0.8365,0.162601,-0.167023
0.838073,0.162979,-0.167956
0.839645,0.163343,-0.168873
0.841217,0.163694,-0.169775
0.84279,0.164037,-0.170664
0.844362,0.164369,-0.171539
0.845934,0.16469,-0.172399
0.847507,0.164999,-0.173244
0.849079,0.165294,-0.174072
0.850651,0.165574,-0.174883
0.852224,0.165845,-0.17568
0.853796,0.166108,-0.176463
0.855369,0.166359,-0.177232
0.856941,0.166599,-0.177985
0.858513,0.166824,-0.178721
0.860086,0.167033,-0.179439
0.861658,0.167232,-0.180142
0.86323,0.167424,-0.180831
0.864803,0.167606,-0.181506
0.866375,0.167777,-0.182166
0.867948,0.167933,-0.182808
0.86952,0.168073,-0.183433
0.871092,0.168198,-0.184039
0.872665,0.168321,-0.184633
0.874237,0.168437,-0.185213
0.875809,0.168541,-0.185778
0.877382,0.168631,-0.186326
0.878954,0.1687,-0.186856
0.880526,0.168746,-0.187367
0.882099,0.168785,-0.187864
0.883671,0.16882,-0.188349
0.885244,0.168851,-0.188819
0.886816,0.168874,-0.189273
0.888388,0.16889,-0.189709
0.889961,0.168895,-0.190125
0.891533,0.168886,-0.190526
0.893105,0.168858,-0.190916
0.894678,0.168815,-0.191292
0.89625,0.168762,-0.191652
0.897823,0.168702,-0.191995
0.899395,0.168639,-0.19232
0.900967,0.168571,-0.192625
0.90254,0.168485,-0.192921
0.904112,0.168383,-0.193204
0.905684,0.168267,-0.193474
0.907257,0.168141,-0.193727
0.908829,0.168009,-0.193961
0.910401,0.167873,-0.194174
0.911974,0.167726,-0.194377
0.913546,0.167565,-0.194571
0.915119,0.167392,-0.194753
0.916691,0.167209,-0.19492
0.918263,0.167018,-0.195067
0.919836,0.166821,-0.19519
0.921408,0.166616,-0.1953
0.92298,0.166399,-0.19541
0.924553,0.166171,-0.195512
0.926125,0.165933,-0.195599
0.927698,0.165688,-0.195665
0.92927,0.165435,-0.1957
0.930842,0.165176,-0.195704
0.932415,0.164907,-0.195701
0.933987,0.164627,-0.195696
0.935559,0.164338,-0.195689
0.937132,0.164042,-0.19568
0.938704,0.163738,-0.195669
0.940276,0.163429,-0.195655
0.941849,0.163111,-0.195617
0.943421,0.162784,-0.195549
0.944994,0.162448,-0.195458
0.946566,0.162105,-0.19535
0.948138,0.161755,-0.195234
0.949711,0.161399,-0.195116
0.951283,0.161037,-0.194994
0.952855,0.160666,-0.194853
0.954428,0.160288,-0.194696
0.956,0.159902,-0.194525
0.957573,0.15951,-0.194343
0.959145,0.159113,-0.194155
0.960717,0.15871,-0.19396
0.96229,0.1583,-0.193752
0.963862,0.157883,-0.193529
0.965434,0.15746,-0.193294
0.967007,0.15703,-0.193049
0.968579,0.156596,-0.192795
0.970151,0.156156,-0.192534
0.971724,0.155711,-0.192264
0.973296,0.15526,-0.19198
0.974869,0.154803,-0.191685
0.976441,0.15434,-0.19138
0.978013,0.153873,-0.191067
0.979586,0.153401,-0.190746
0.981158,0.152925,-0.190418
0.98273,0.152443,-0.190079
0.984303,0.151957,-0.189729
0.985875,0.151465,-0.18937
0.987448,0.150969,-0.189002
0.98902,0.150469,-0.188628
0.990592,0.149966,-0.188247
0.992165,0.149458,-0.187856
0.993737,0.148946,-0.187457
0.995309,0.14843,-0.187048
0.996882,0.147909,-0.186632
0.998454,0.147386,-0.186209
1.00003,0.146859,-0.185781
1.0016,0.146329,-0.185345
1.00317,0.145795,-0.1849
1.00474,0.145257,-0.184448
1.00632,0.144717,-0.183988
1.00789,0.144173,-0.183523
1.00946,0.143627,-0.183051
1.01103,0.143078,-0.182574
1.01261,0.142526,-0.18209
1.01418,0.141972,-0.181599
1.01575,0.141414,-0.181101
1.01732,0.140854,-0.180598
1.01889,0.140292,-0.18009
1.02047,0.139729,-0.179577
1.02204,0.139163,-0.179058
1.02361,0.138594,-0.178533
1.02518,0.138024,-0.178002
1.02676,0.137451,-0.177467
1.02833,0.136877,-0.176927
1.0299,0.136302,-0.176383
1.03147,0.135725,-0.175834
1.03305,0.135147,-0.17528
1.03462,0.134567,-0.174722
1.03619,0.133985,-0.174159
1.03776,0.133403,-0.173592
1.03934,0.132819,-0.173022
1.04091,0.132235,-0.172448
1.04248,0.13165,-0.171871
1.04405,0.131064,-0.171289
1.04563,0.130477,-0.170704
1.0472,0.129889,-0.170115
1.04877,0.129301,-0.169524
1.05034,0.128713,-0.16893
1.05191,0.128125,-0.168334
1.05349,0.127535,-0.167734
1.05506,0.126946,-0.167131
1.05663,0.126356,-0.166526
1.0582,0.125767,-0.165918
1.05978,0.125178,-0.165309
1.06135,0.124589,-0.164698
1.06292,0.124,-0.164085
1.06449,0.123411,-0.163469
1.06607,0.122823,-0.162852
1.06764,0.122235,-0.162233
1.06921,0.121648,-0.161613
1.07078,0.121062,-0.160992
1.07236,0.120476,-0.16037
1.07393,0.119891,-0.159746
1.0755,0.119307,-0.159121
1.07707,0.118723,-0.158495
1.07864,0.118141,-0.157868
1.08022,0.11756,-0.157241
1.08179,0.11698,-0.156614
1.08336,0.116401,-0.155986
1.08493,0.115823,-0.155357
1.08651,0.115246,-0.154728
1.08808,0.114671,-0.154099
1.08965,0.114098,-0.15347
