# 20240823_150244
alpha,utauRe,utauIm
0.408816,1.11749,0
0.410388,1.11837,0
0.411961,1.11924,0
0.413533,1.12012,0
0.415105,1.12101,0
0.416678,1.12189,0
0.41825,1.12278,0
0.419822,1.12367,0
0.421395,1.12456,0
0.422967,1.12546,0
0.42454,1.12636,0
0.426112,1.12726,0
0.427684,1.12816,0
0.429257,1.12907,0
0.430829,1.12997,0
0.432401,1.13088,0
0.433974,1.1318,0
0.435546,1.13271,0
0.437118,1.13363,0
0.438691,1.13455,0
0.440263,1.13547,0
0.441836,1.1364,0
0.443408,1.13732,0
0.44498,1.13825,0
0.446553,1.13918,0
0.448125,1.14012,0
0.449697,1.14105,0
0.45127,1.14199,0
0.452842,1.14293,0
0.454415,1.14388,0
0.455987,1.14482,0
0.457559,1.14577,0
0.459132,1.14672,0
0.460704,1.14767,0
0.462276,1.14862,0
0.463849,1.14958,0
0.465421,1.15054,0
0.466994,1.1515,0
0.468566,1.15246,0
0.470138,1.15342,0
0.471711,1.15439,0
0.473283,1.15536,0
0.474855,1.15633,0
0.476428,1.1573,0
0.478,1.15827,0
0.479572,1.15925,0
0.481145,1.16023,0
0.482717,1.16121,0
0.48429,1.16219,0
0.485862,1.16318,0
0.487434,1.16416,0
0.489007,1.16515,0
0.490579,1.16614,0
0.492151,1.16713,0
0.493724,1.16813,0
0.495296,1.16912,0
0.496869,1.17012,0
0.498441,1.17112,0
0.500013,1.17212,0
0.501586,1.17313,0
0.503158,1.17413,0
0.50473,1.17514,0
0.506303,1.17615,0
0.507875,1.17716,0
0.509447,1.17818,0
0.51102,1.17919,0
0.512592,1.18021,0
0.514165,1.18123,0
0.515737,1.18225,0
0.517309,1.18327,0
0.518882,1.18429,0
0.520454,1.18532,0
0.522026,1.18635,0
0.523599,1.18738,0
0.525171,1.18841,0
0.526744,1.18944,0
0.528316,1.19048,0
0.529888,1.19151,0
0.531461,1.19255,0
0.533033,1.19359,0
0.534605,1.19463,0
0.536178,1.19568,0
0.53775,1.19672,0
0.539322,1.19777,0
0.540895,1.19882,0
0.542467,1.19987,0
0.54404,1.20092,0
0.545612,1.20198,0
0.547184,1.20303,0
0.548757,1.20409,0
0.550329,1.20515,0
0.551901,1.20621,0
0.553474,1.20727,0
0.555046,1.20834,0
0.556619,1.2094,0
0.558191,1.21047,0
0.559763,1.21154,0
0.561336,1.21261,0
0.562908,1.21368,0
0.56448,1.21475,0
0.566053,1.21583,0
0.567625,1.21691,0
0.569197,1.21798,0
0.57077,1.21906,0
0.572342,1.22015,0
0.573915,1.22123,0
0.575487,1.22231,0
0.577059,1.2234,0
0.578632,1.22449,0
0.580204,1.22558,0
0.581776,1.22667,0
0.583349,1.22776,0
0.584921,1.22885,0
0.586494,1.22995,0
0.588066,1.23104,0
0.589638,1.23214,0
0.591211,1.23324,0
0.592783,1.23434,0
0.594355,1.23544,0
0.595928,1.23654,0
0.5975,1.23765,0
0.599072,1.23875,0
0.600645,1.23986,0
0.602217,1.24097,0
0.60379,1.24208,0
0.605362,1.24319,0
0.606934,1.2443,0
0.608507,1.24542,0
0.610079,1.24653,0
0.611651,1.24765,0
0.613224,1.24877,0
0.614796,1.24988,0
0.616369,1.251,0
0.617941,1.25212,0
0.619513,1.25325,0
0.621086,1.25437,0
0.622658,1.25549,0
0.62423,1.25662,0
0.625803,1.25774,0
0.627375,1.25887,0
0.628947,1.26,0
0.63052,1.26113,0
0.632092,1.26226,0
0.633665,1.26339,0
0.635237,1.26452,0
0.636809,1.26566,0
0.638382,1.26679,0
0.639954,1.26793,0
0.641526,1.26906,0
0.643099,1.2702,0
0.644671,1.27134,0
0.646244,1.27247,0
0.647816,1.27361,0
0.649388,1.27475,0
0.650961,1.2759,0
0.652533,1.27704,0
0.654105,1.27818,0
0.655678,1.27932,0
0.65725,1.28047,0
0.658822,1.28161,0
0.660395,1.28276,0
0.661967,1.2839,0
0.66354,1.28505,0
0.665112,1.2862,0
0.666684,1.28734,0
0.668257,1.28849,0
0.669829,1.28964,0
0.671401,1.29079,0
0.672974,1.29194,0
0.674546,1.29309,0
0.676119,1.29424,0
0.677691,1.29539,0
0.679263,1.29654,0
0.680836,1.2977,0
0.682408,1.29885,0
0.68398,1.3,0
0.685553,1.30115,0
0.687125,1.30231,0
0.688697,1.30346,0
0.69027,1.30462,0
0.691842,1.30577,0
0.693415,1.30692,0
0.694987,1.30808,0
0.696559,1.30923,0
0.698132,1.31039,0
0.699704,1.31154,0
0.701276,1.3127,0
0.702849,1.31385,0
0.704421,1.31501,0
0.705994,1.31616,0
0.707566,1.31732,0
0.709138,1.31848,0
0.710711,1.31963,0
0.712283,1.32079,0
0.713855,1.32194,0
0.715428,1.3231,0
0.717,1.32425,0
0.718572,1.32541,0
0.720145,1.32656,0
0.721717,1.32772,0
0.72329,1.32887,0
0.724862,1.33002,0
0.726434,1.33118,0
0.728007,1.33233,0
0.729579,1.33348,0
0.731151,1.33464,0
0.732724,1.33579,0
0.734296,1.33694,0
0.735869,1.33809,0
0.737441,1.33924,0
0.739013,1.34039,0
0.740586,1.34154,0
0.742158,1.34269,0
0.74373,1.34384,0
0.745303,1.34498,0
0.746875,1.34613,0
0.748447,1.34728,0
0.75002,1.34842,0
0.751592,1.34957,0
0.753165,1.35071,0
0.754737,1.35185,0
0.756309,1.35299,0
0.757882,1.35413,0
0.759454,1.35527,0
0.761026,1.35641,0
0.762599,1.35755,0
0.764171,1.35869,0
0.765744,1.35982,0
0.767316,1.36095,0
0.768888,1.36209,0
0.770461,1.36322,0
0.772033,1.36435,0
0.773605,1.36547,0
0.775178,1.3666,0
0.77675,1.36773,0
0.778323,1.36885,0
0.779895,1.36997,0
0.781467,1.37109,0
0.78304,1.37221,0
0.784612,1.37333,0
0.786184,1.37444,0
0.787757,1.37555,0
0.789329,1.37667,0
0.790901,1.37777,0
0.792474,1.37888,0
0.794046,1.37999,0
0.795619,1.38109,0
0.797191,1.38219,0
0.798763,1.38329,0
0.800336,1.38438,0
0.801908,1.38547,0
0.80348,1.38657,0
0.805053,1.38765,0
0.806625,1.38874,0
0.808198,1.38982,0
0.80977,1.3909,0
0.811342,1.39198,0
0.812915,1.39305,0
0.814487,1.39412,0
0.816059,1.39519,0
0.817632,1.39626,0
0.819204,1.39732,0
0.820776,1.39838,0
0.822349,1.39943,0
0.823921,1.40048,0
0.825494,1.40153,0
0.827066,1.40258,0
0.828638,1.40362,0
0.830211,1.40465,0
0.831783,1.40569,0
0.833355,1.40672,0
0.834928,1.40774,0
0.8365,1.40876,0
0.838073,1.40978,0
0.839645,1.41079,0
0.841217,1.4118,0
0.84279,1.41281,0
0.844362,1.41381,0
0.845934,1.4148,0
0.847507,1.41579,0
0.849079,1.41678,0
0.850651,1.41776,0
0.852224,1.41874,0
0.853796,1.41971,0
0.855369,1.42068,0
0.856941,1.42164,0
0.858513,1.42259,0
0.860086,1.42355,0
0.861658,1.42449,0
0.86323,1.42543,0
0.864803,1.42637,0
0.866375,1.4273,0
0.867948,1.42822,0
0.86952,1.42914,0
0.871092,1.43005,0
0.872665,1.43095,0
0.874237,1.43185,0
0.875809,1.43275,0
0.877382,1.43363,0
0.878954,1.43451,0
0.880526,1.43539,0
0.882099,1.43626,0
0.883671,1.43712,0
0.885244,1.43797,0
0.886816,1.43882,0
0.888388,1.43966,0
0.889961,1.44049,0
0.891533,1.44132,0
0.893105,1.44214,0
0.894678,1.44295,0
0.89625,1.44376,0
0.897823,1.44456,0
0.899395,1.44535,0
0.900967,1.44613,0
0.90254,1.4469,0
0.904112,1.44767,0
0.905684,1.44843,0
0.907257,1.44918,0
0.908829,1.44993,0
0.910401,1.45066,0
0.911974,1.45139,0
0.913546,1.45211,0
0.915119,1.45282,0
0.916691,1.45352,0
0.918263,1.45422,0
0.919836,1.4549,0
0.921408,1.45558,0
0.92298,1.45625,0
0.924553,1.4569,0
0.926125,1.45755,0
