# 20240809_111430
alpha,field0Re,field0Im
0.292461,0.0221603,0.0599327
0.294033,0.0220773,0.0599634
0.295605,0.0219935,0.0599941
0.297178,0.0219091,0.060025
0.29875,0.021824,0.060056
0.300322,0.0217382,0.0600871
0.301895,0.0216517,0.0601183
0.303467,0.0215645,0.0601497
0.30504,0.0214765,0.0601811
0.306612,0.0213878,0.0602127
0.308184,0.0212984,0.0602444
0.309757,0.0212083,0.0602762
0.311329,0.0211175,0.060308
0.312901,0.021026,0.06034
0.314474,0.0209336,0.0603721
0.316046,0.0208406,0.0604043
0.317618,0.0207468,0.0604366
0.319191,0.0206522,0.060469
0.320763,0.020557,0.0605014
0.322336,0.0204609,0.060534
0.323908,0.0203641,0.0605666
0.32548,0.0202665,0.0605993
0.327053,0.0201681,0.0606322
0.328625,0.020069,0.060665
0.330197,0.0199691,0.060698
0.33177,0.0198684,0.060731
0.333342,0.0197669,0.0607641
0.334915,0.0196646,0.0607973
0.336487,0.0195616,0.0608306
0.338059,0.0194577,0.0608639
0.339632,0.019353,0.0608972
0.341204,0.0192476,0.0609306
0.342776,0.0191413,0.0609641
0.344349,0.0190342,0.0609976
0.345921,0.0189263,0.0610312
0.347493,0.0188175,0.0610648
0.349066,0.018708,0.0610985
0.350638,0.0185976,0.0611321
0.352211,0.0184864,0.0611659
0.353783,0.0183743,0.0611996
0.355355,0.0182614,0.0612334
0.356928,0.0181476,0.0612673
0.3585,0.018033,0.0613011
0.360072,0.0179175,0.0613349
0.361645,0.0178012,0.0613688
0.363217,0.017684,0.0614026
0.36479,0.017566,0.0614365
0.366362,0.017447,0.0614704
0.367934,0.0173272,0.0615043
0.369507,0.0172066,0.0615381
0.371079,0.0170851,0.061572
0.372651,0.0169626,0.0616058
0.374224,0.0168393,0.0616397
0.375796,0.0167151,0.0616735
0.377368,0.01659,0.0617072
0.378941,0.016464,0.061741
0.380513,0.0163371,0.0617747
0.382086,0.0162093,0.0618083
0.383658,0.0160806,0.0618419
0.38523,0.015951,0.0618755
0.386803,0.0158204,0.061909
0.388375,0.0156889,0.0619425
0.389947,0.0155566,0.0619758
0.39152,0.0154233,0.0620091
0.393092,0.0152891,0.0620423
0.394665,0.0151539,0.0620755
0.396237,0.0150178,0.0621086
0.397809,0.0148808,0.0621416
0.399382,0.0147428,0.0621744
0.400954,0.0146039,0.0622072
0.402526,0.0144641,0.0622398
0.404099,0.0143233,0.0622724
0.405671,0.0141815,0.0623049
0.407243,0.0140388,0.0623372
0.408816,0.0138951,0.0623694
0.410388,0.0137505,0.0624014
0.411961,0.013605,0.0624333
0.413533,0.0134584,0.062465
0.415105,0.0133109,0.0624966
0.416678,0.0131624,0.0625281
0.41825,0.013013,0.0625594
0.419822,0.0128626,0.0625905
0.421395,0.0127112,0.0626213
0.422967,0.0125589,0.0626521
0.42454,0.0124055,0.0626826
0.426112,0.0122511,0.062713
0.427684,0.0120958,0.0627432
0.429257,0.0119395,0.0627731
0.430829,0.0117823,0.0628027
0.432401,0.0116241,0.0628322
0.433974,0.0114648,0.0628615
0.435546,0.0113045,0.0628905
0.437118,0.0111433,0.0629193
0.438691,0.0109811,0.0629478
0.440263,0.0108179,0.062976
0.441836,0.0106537,0.063004
0.443408,0.0104885,0.0630317
0.44498,0.0103222,0.0630592
0.446553,0.010155,0.0630864
0.448125,0.00998677,0.0631132
0.449697,0.00981758,0.0631397
0.45127,0.00964741,0.0631659
0.452842,0.00947619,0.0631918
0.454415,0.00930396,0.0632175
0.455987,0.00913071,0.0632428
0.457559,0.00895647,0.0632677
0.459132,0.00878126,0.0632922
0.460704,0.00860507,0.0633163
0.462276,0.00842785,0.0633402
0.463849,0.00824959,0.0633637
0.465421,0.00807032,0.0633868
0.466994,0.00789005,0.0634095
0.468566,0.00770879,0.0634318
0.470138,0.00752657,0.0634536
0.471711,0.00734333,0.063475
0.473283,0.00715906,0.0634961
0.474855,0.00697376,0.0635168
0.476428,0.00678746,0.063537
0.478,0.00660018,0.0635568
0.479572,0.00641192,0.063576
0.481145,0.00622269,0.0635946
0.482717,0.00603242,0.063613
0.48429,0.00584113,0.0636309
0.485862,0.00564883,0.0636484
0.487434,0.00545554,0.0636653
0.489007,0.00526129,0.0636816
0.490579,0.00506608,0.0636972
0.492151,0.00486985,0.0637125
0.493724,0.0046726,0.0637273
0.495296,0.00447434,0.0637417
0.496869,0.0042751,0.0637555
0.498441,0.0040749,0.0637686
0.500013,0.00387376,0.0637809
0.501586,0.00367163,0.0637927
0.503158,0.00346848,0.0638042
0.50473,0.00326434,0.0638151
0.506303,0.00305922,0.0638255
0.507875,0.00285314,0.0638351
0.509447,0.00264613,0.0638438
0.51102,0.00243818,0.0638517
0.512592,0.00222922,0.0638594
0.514165,0.00201928,0.0638668
0.515737,0.00180836,0.0638736
0.517309,0.0015965,0.0638795
0.518882,0.00138372,0.0638841
0.520454,0.00117003,0.0638874
0.522026,0.000955371,0.0638901
0.523599,0.000739734,0.0638927
0.525171,0.000523141,0.0638949
0.526744,0.000305617,0.0638966
0.528316,8.71844e-05,0.0638978
0.529888,-0.000132134,0.0638983
0.531461,-0.000352368,0.0638977
0.533033,-0.000573566,0.0638959
0.534605,-0.000795702,0.0638931
0.536178,-0.00101875,0.0638895
0.53775,-0.00124269,0.0638855
0.539322,-0.0014675,0.0638812
0.540895,-0.00169317,0.0638765
0.542467,-0.00191978,0.0638704
0.54404,-0.0021473,0.063863
0.545612,-0.00237571,0.0638545
0.547184,-0.002605,0.0638451
0.548757,-0.00283513,0.0638352
0.550329,-0.00306607,0.063825
0.551901,-0.0032979,0.0638137
0.553474,-0.00353063,0.0638012
0.555046,-0.00376423,0.0637876
0.556619,-0.00399866,0.0637731
0.558191,-0.00423392,0.0637578
0.559763,-0.00446996,0.0637418
0.561336,-0.00470681,0.0637251
0.562908,-0.00494454,0.0637071
0.56448,-0.0051831,0.063688
0.566053,-0.00542247,0.0636679
0.567625,-0.00566263,0.0636468
0.569197,-0.00590355,0.063625
0.57077,-0.00614522,0.0636024
0.572342,-0.0063877,0.0635786
0.573915,-0.00663099,0.0635536
0.575487,-0.00687506,0.0635275
0.577059,-0.00711989,0.0635004
0.578632,-0.00736543,0.0634724
0.580204,-0.00761167,0.0634435
0.581776,-0.00785866,0.0634135
0.583349,-0.00810642,0.0633823
0.584921,-0.00835493,0.0633499
0.586494,-0.00860414,0.0633164
0.588066,-0.00885404,0.0632819
0.589638,-0.00910459,0.0632464
0.591211,-0.0093558,0.0632099
0.592783,-0.00960774,0.0631722
0.594355,-0.00986038,0.0631331
0.595928,-0.0101137,0.0630929
0.5975,-0.0103676,0.0630516
0.599072,-0.0106222,0.0630092
0.600645,-0.0108773,0.0629659
0.602217,-0.0111331,0.0629212
0.60379,-0.0113896,0.0628753
0.605362,-0.0116467,0.062828
0.606934,-0.0119044,0.0627796
0.608507,-0.0121626,0.0627301
0.610079,-0.0124213,0.0626795
0.611651,-0.0126807,0.0626277
0.613224,-0.0129406,0.0625745
0.614796,-0.0132011,0.0625199
0.616369,-0.0134622,0.0624642
0.617941,-0.0137237,0.0624072
0.619513,-0.0139857,0.062349
0.621086,-0.0142482,0.0622897
0.622658,-0.0145113,0.062229
0.62423,-0.0147748,0.0621669
0.625803,-0.0150388,0.0621034
0.627375,-0.0153033,0.0620387
0.628947,-0.0155682,0.0619728
0.63052,-0.0158335,0.0619057
0.632092,-0.0160992,0.0618372
0.633665,-0.0163654,0.0617672
0.635237,-0.0166321,0.0616959
0.636809,-0.0168991,0.0616232
0.638382,-0.0171664,0.0615493
0.639954,-0.0174341,0.0614741
0.641526,-0.0177021,0.0613975
0.643099,-0.0179706,0.0613195
0.644671,-0.0182393,0.06124
0.646244,-0.0185084,0.0611591
0.647816,-0.0187778,0.0610769
0.649388,-0.0190475,0.0609934
0.650961,-0.0193173,0.0609086
0.652533,-0.0195875,0.0608223
0.654105,-0.019858,0.0607345
0.655678,-0.0201288,0.0606452
0.65725,-0.0203997,0.0605545
0.658822,-0.0206709,0.0604625
0.660395,-0.0209421,0.0603692
0.661967,-0.0212136,0.0602744
0.66354,-0.0214853,0.0601781
0.665112,-0.0217572,0.0600802
0.666684,-0.0220293,0.0599809
