# 20240927_192133
alpha,tauRe,tauIm
0.834722,25.7958,0
0.837871,25.6606,0
0.841021,25.5251,0
0.844171,25.3892,0
0.847321,25.2531,0
0.850471,25.1166,0
0.853621,24.9799,0
0.856771,24.8429,0
0.859921,24.7056,0
0.863071,24.5681,0
0.86622,24.4303,0
0.86937,24.2924,0
0.87252,24.1542,0
0.87567,24.0159,0
0.87882,23.8773,0
0.88197,23.7387,0
0.88512,23.5998,0
0.88827,23.4609,0
0.89142,23.3218,0
0.894569,23.1826,0
0.897719,23.0433,0
0.900869,22.9039,0
0.904019,22.7645,0
0.907169,22.625,0
0.910319,22.4855,0
0.913469,22.346,0
0.916619,22.2065,0
0.919769,22.067,0
0.922918,21.9275,0
0.926068,21.7881,0
0.929218,21.6487,0
0.932368,21.5094,0
0.935518,21.3701,0
0.938668,21.231,0
0.941818,21.092,0
0.944968,20.9531,0
0.948118,20.8144,0
0.951268,20.6758,0
0.954417,20.5374,0
0.957567,20.3992,0
0.960717,20.2611,0
0.963867,20.1233,0
0.967017,19.9857,0
0.970167,19.8484,0
0.973317,19.7113,0
0.976467,19.5745,0
0.979617,19.4379,0
0.982766,19.3016,0
0.985916,19.1657,0
0.989066,19.03,0
0.992216,18.8947,0
0.995366,18.7597,0
0.998516,18.6251,0
1.00167,18.4908,0
1.00482,18.3569,0
1.00797,18.2233,0
1.01112,18.0902,0
1.01427,17.9574,0
1.01742,17.8251,0
1.02057,17.6931,0
1.02372,17.5616,0
1.02686,17.4305,0
1.03001,17.2999,0
1.03316,17.1697,0
1.03631,17.0399,0
1.03946,16.9107,0
1.04261,16.7818,0
1.04576,16.6535,0
1.04891,16.5256,0
1.05206,16.3982,0
1.05521,16.2713,0
1.05836,16.1448,0
1.06151,16.0189,0
1.06466,15.8935,0
1.06781,15.7685,0
1.07096,15.6441,0
1.07411,15.5202,0
1.07726,15.3968,0
1.08041,15.2739,0
1.08356,15.1515,0
1.08671,15.0296,0
1.08986,14.9083,0
1.09301,14.7875,0
1.09616,14.6672,0
1.09931,14.5475,0
1.10246,14.4282,0
1.10561,14.3095,0
1.10876,14.1914,0
1.11191,14.0737,0
1.11506,13.9566,0
1.11821,13.8401,0
1.12136,13.724,0
1.12451,13.6085,0
1.12766,13.4936,0
1.13081,13.3791,0
1.13396,13.2652,0
1.13711,13.1519,0
1.14026,13.039,0
1.14341,12.9267,0
1.14656,12.815,0
1.14971,12.7037,0
1.15286,12.593,0
1.15601,12.4828,0
1.15916,12.3732,0
1.16231,12.2641,0
1.16546,12.1555,0
1.16861,12.0474,0
1.17176,11.9398,0
1.17491,11.8328,0
1.17806,11.7263,0
1.18121,11.6203,0
1.18436,11.5148,0
1.18751,11.4098,0
1.19066,11.3053,0
1.19381,11.2013,0
1.19696,11.0979,0
1.20011,10.9949,0
1.20326,10.8924,0
1.20641,10.7905,0
1.20956,10.689,0
1.21271,10.588,0
1.21586,10.4875,0
1.21901,10.3875,0
1.22216,10.2879,0
1.22531,10.1888,0
1.22846,10.0902,0
1.23161,9.99208,0
1.23476,9.89441,0
1.23791,9.7972,0
1.24106,9.70044,0
1.24421,9.60414,0
1.24736,9.50829,0
1.25051,9.41289,0
1.25366,9.31793,0
1.25681,9.22341,0
1.25996,9.12932,0
1.26311,9.03568,0
1.26626,8.94245,0
1.26941,8.84966,0
1.27256,8.75729,0
1.27571,8.66533,0
1.27886,8.57379,0
1.28201,8.48266,0
1.28516,8.39194,0
1.28831,8.30162,0
1.29146,8.2117,0
1.29461,8.12218,0
1.29776,8.03304,0
1.30091,7.9443,0
1.30406,7.85593,0
1.30721,7.76795,0
1.31036,7.68034,0
1.31351,7.59309,0
1.31666,7.50622,0
1.3198,7.4197,0
1.32295,7.33354,0
1.3261,7.24773,0
1.32925,7.16226,0
1.3324,7.07714,0
1.33555,6.99235,0
1.3387,6.90789,0
1.34185,6.82376,0
1.345,6.73995,0
1.34815,6.65645,0
1.3513,6.57326,0
1.35445,6.49039,0
1.3576,6.40781,0
1.36075,6.32552,0
1.3639,6.24353,0
1.36705,6.16183,0
1.3702,6.08041,0
1.37335,5.99926,0
1.3765,5.91839,0
1.37965,5.83779,0
1.3828,5.75746,0
1.38595,5.67738,0
1.3891,5.59756,0
1.39225,5.51799,0
1.3954,5.43867,0
1.39855,5.35959,0
1.4017,5.28074,0
1.40485,5.20213,0
1.408,5.12375,0
1.41115,5.04559,0
1.4143,4.96765,0
1.41745,4.88992,0
1.4206,4.81239,0
1.42375,4.73507,0
1.4269,4.65794,0
1.43005,4.58099,0
1.4332,4.50422,0
1.43635,4.42763,0
1.4395,4.3512,0
1.44265,4.27493,0
1.4458,4.1988,0
1.44895,4.12282,0
1.4521,4.04698,0
1.45525,3.97126,0
1.4584,3.89566,0
1.46155,3.82017,0
1.4647,3.74479,0
1.46785,3.6695,0
1.471,3.59431,0
1.47415,3.51919,0
1.4773,3.44415,0
1.48045,3.36919,0
1.4836,3.29428,0
1.48675,3.21942,0
1.4899,3.14461,0
1.49305,3.06984,0
1.4962,2.99509,0
1.49935,2.92036,0
1.5025,2.84563,0
1.50565,2.7709,0
1.5088,2.69615,0
1.51195,2.62136,0
1.5151,2.54653,0
1.51825,2.47164,0
1.5214,2.39667,0
1.52455,2.32161,0
1.5277,2.24644,0
1.53085,2.17116,0
1.534,2.09575,0
1.53715,2.02019,0
1.5403,1.94448,0
1.54345,1.86862,0
1.5466,1.79258,0
1.54975,1.71635,0
1.5529,1.63992,0
1.55605,1.56326,0
1.5592,1.48634,0
1.56235,1.40911,0
1.5655,1.33151,0
1.56865,1.25346,0
1.5718,1.17489,0
