# 20240927_192133
alpha,rRe,rIm
0,0,0
0.00314989,0.1234,0
0.00629978,0.245807,0
0.00944968,0.367406,0
0.0125996,0.488353,0
0.0157495,0.608782,0
0.0188994,0.728806,0
0.0220492,0.848521,0
0.0251991,0.968007,0
0.028349,1.08733,0
0.0314989,1.20654,0
0.0346488,1.32569,0
0.0377987,1.44481,0
0.0409486,1.56393,0
0.0440985,1.68307,0
0.0472484,1.80225,0
0.0503983,1.92147,0
0.0535482,2.04075,0
0.0566981,2.1601,0
0.059848,2.2795,0
0.0629978,2.39898,0
0.0661477,2.51852,0
0.0692976,2.63812,0
0.0724475,2.75779,0
0.0755974,2.87752,0
0.0787473,2.99731,0
0.0818972,3.11715,0
0.0850471,3.23705,0
0.088197,3.35699,0
0.0913469,3.47699,0
0.0944968,3.59703,0
0.0976467,3.71712,0
0.100797,3.83725,0
0.103946,3.95743,0
0.107096,4.07766,0
0.110246,4.19793,0
0.113396,4.31824,0
0.116546,4.43861,0
0.119696,4.55902,0
0.122846,4.67948,0
0.125996,4.8,0
0.129146,4.92056,0
0.132295,5.04119,0
0.135445,5.16187,0
0.138595,5.28262,0
0.141745,5.40343,0
0.144895,5.52431,0
0.148045,5.64525,0
0.151195,5.76626,0
0.154345,5.88735,0
0.157495,6.00852,0
0.160645,6.12976,0
0.163794,6.25108,0
0.166944,6.37248,0
0.170094,6.49396,0
0.173244,6.61553,0
0.176394,6.73718,0
0.179544,6.85892,0
0.182694,6.98074,0
0.185844,7.10265,0
0.188994,7.22465,0
0.192143,7.34674,0
0.195293,7.46891,0
0.198443,7.59117,0
0.201593,7.71351,0
0.204743,7.83595,0
0.207893,7.95847,0
0.211043,8.08107,0
0.214193,8.20375,0
0.217343,8.32652,0
0.220492,8.44937,0
0.223642,8.5723,0
0.226792,8.69531,0
0.229942,8.81839,0
0.233092,8.94155,0
0.236242,9.06478,0
0.239392,9.18809,0
0.242542,9.31146,0
0.245692,9.4349,0
0.248842,9.5584,0
0.251991,9.68197,0
0.255141,9.8056,0
0.258291,9.92928,0
0.261441,10.053,0
0.264591,10.1768,0
0.267741,10.3007,0
0.270891,10.4246,0
0.274041,10.5485,0
0.277191,10.6725,0
0.28034,10.7965,0
0.28349,10.9206,0
0.28664,11.0447,0
0.28979,11.1688,0
0.29294,11.293,0
0.29609,11.4172,0
0.29924,11.5414,0
0.30239,11.6656,0
0.30554,11.7899,0
0.308689,11.9141,0
0.311839,12.0384,0
0.314989,12.1627,0
0.318139,12.287,0
0.321289,12.4112,0
0.324439,12.5355,0
0.327589,12.6598,0
0.330739,12.784,0
0.333889,12.9082,0
0.337038,13.0325,0
0.340188,13.1566,0
0.343338,13.2808,0
0.346488,13.4049,0
0.349638,13.5289,0
