# 20240809_110510
alpha,rRe,rIm
0,0,0
0.00157237,0.0205537,0
0.00314474,0.0410662,0
0.00471711,0.0614719,0
0.00628947,0.0818027,0
0.00786184,0.102067,0
0.00943421,0.12227,0
0.0110066,0.14242,0
0.0125789,0.162521,0
0.0141513,0.182579,0
0.0157237,0.202599,0
0.0172961,0.222586,0
0.0188684,0.242543,0
0.0204408,0.262475,0
0.0220132,0.282384,0
0.0235855,0.302274,0
0.0251579,0.322148,0
0.0267303,0.342008,0
0.0283026,0.361858,0
0.029875,0.381698,0
0.0314474,0.401531,0
0.0330197,0.421359,0
0.0345921,0.441183,0
0.0361645,0.461004,0
0.0377368,0.480825,0
0.0393092,0.500645,0
0.0408816,0.520466,0
0.042454,0.540289,0
0.0440263,0.560114,0
0.0455987,0.579942,0
0.0471711,0.599774,0
0.0487434,0.61961,0
0.0503158,0.63945,0
0.0518882,0.659295,0
0.0534605,0.679144,0
0.0550329,0.698999,0
0.0566053,0.71886,0
0.0581776,0.738725,0
0.05975,0.758597,0
0.0613224,0.778473,0
0.0628947,0.798355,0
0.0644671,0.818243,0
0.0660395,0.838136,0
0.0676119,0.858035,0
0.0691842,0.877939,0
0.0707566,0.897848,0
0.072329,0.917762,0
0.0739013,0.937681,0
0.0754737,0.957606,0
0.0770461,0.977535,0
0.0786184,0.997469,0
0.0801908,1.01741,0
0.0817632,1.03735,0
0.0833355,1.0573,0
0.0849079,1.07725,0
0.0864803,1.0972,0
0.0880526,1.11717,0
0.089625,1.13713,0
0.0911974,1.1571,0
0.0927698,1.17707,0
0.0943421,1.19705,0
0.0959145,1.21703,0
0.0974869,1.23701,0
0.0990592,1.257,0
0.100632,1.27699,0
0.102204,1.29698,0
0.103776,1.31698,0
0.105349,1.33698,0
0.106921,1.35699,0
0.108493,1.377,0
0.110066,1.39701,0
0.111638,1.41703,0
0.113211,1.43705,0
0.114783,1.45708,0
0.116355,1.47711,0
0.117928,1.49714,0
0.1195,1.51718,0
0.121072,1.53722,0
0.122645,1.55726,0
0.124217,1.57731,0
0.125789,1.59737,0
0.127362,1.61743,0
0.128934,1.63749,0
0.130507,1.65756,0
0.132079,1.67763,0
0.133651,1.69771,0
0.135224,1.71779,0
0.136796,1.73788,0
0.138368,1.75797,0
0.139941,1.77807,0
0.141513,1.79818,0
0.143086,1.81829,0
0.144658,1.8384,0
