# epsilon:0.000160054
# mass:0.828
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.009663466046030154,0,-0.20113591446466556,0
0.01,0.009695608787036274,0,-0.2015831535693807,0
0.02,0.009756597528816876,0,-0.2015540645149046,0
0.03,0.009844423981971646,0,-0.20128565521816671,0
0.04,0.00995807722686106,0,-0.20089357276078562,0
0.05,0.01009715712910995,0,-0.20042128896076214,0
0.06,0.01026157350243921,0,-0.1998729369123493,0
0.07,0.010451360591238615,0,-0.19923374978139236,0
0.08,0.010666549319876047,0,-0.19848194734235403,0
0.09,0.010907087585206116,0,-0.19759485923188302,0
0.1,0.011172803847038821,0,-0.19655129779406832,0
0.11,0.011463396901600078,0,-0.19533175500092098,0
0.12,0.011778440031717744,0,-0.19391748526428076,0
0.13,0.012117383793024449,0,-0.19228902851053373,0
0.14,0.01247955667800995,0,-0.19042510293594217,0
0.15,0.012864179512286205,0,-0.18830119511740034,0
0.16,0.013270343284817413,0,-0.1858889223763572,0
0.17,0.013696983581294331,0,-0.18315545943213446,0
0.18,0.014142880292139308,0,-0.18006339311393507,0
0.19,0.014606578953472837,0,-0.17657087016119308,0
0.2,0.015086369462386926,0,-0.17263168829659178,0
0.21,0.015580217699958957,0,-0.16819556959223994,0
0.22,0.016085715053589085,0,-0.16320868236372976,0
0.23,0.01660004079378381,0,-0.15761386249027698,0
0.24,0.017119840332594408,0,-0.1513509095963982,0
0.25,0.01764120073515333,0,-0.14435720183626735,0
0.26,0.01815960505637984,0,-0.13656782229363135,0
0.27,0.018669793847934796,0,-0.12791650855853873,0
0.28,0.019165756042153544,0,-0.11833619132297354,0
0.29,0.019640654289056696,0,-0.10776011782949255,0
0.3,0.020086772186009495,0,-0.09612321860712474,0
0.31,0.02049546903818547,0,-0.08336387896488326,0
0.32,0.020857138811204372,0,-0.06942630738159693,0
0.33,0.021161201993500214,0,-0.05426343691455688,0
0.34,0.02139612427303485,0,-0.0378402651264398,0
0.35000000000000003,0.021549461488970554,0,-0.02013778431679145,0
0.36,0.02160793656764551,0,-0.0011572263990138338,0
0.37,0.021557576986914323,0,0.019074143740701693,0
0.38,0.021383901373350854,0,0.04049848269247872,0
0.39,0.021072173471818476,0,0.06302151742243388,0
0.4,0.020607724337642026,0,0.08650705447545518,0
0.41000000000000003,0.019976350490365256,0,0.11077168178468051,0
0.42,0.019164789563575094,0,0.13558001435923114,0
0.43,0.018161260418032038,0,0.16064089101095524,0
0.44,0.016956125388375338,0,0.18560454463092635,0
0.45,0.015542534317573879,0,0.21006190477092274,0
0.46,0.013917169120197581,0,0.23354563872127218,0
0.47000000000000003,0.012080995096388032,0,0.2555337122265575,0
0.48,0.010040031761776466,0,0.27545590378950696,0
0.49,0.007806081130250827,0,0.29270390018563497,0
0.5,0.005397329274080237,0,0.30664437855965176,0
0.51,0.0028389018476830275,0,0.3166363561178598,0
0.52,0.0001632138346115918,0,0.32205217733850083,0
0.53,-0.002589877077234171,0,0.32230235409811314,0
0.54,-0.0053732298345728876,0,0.31686299286709374,0
0.55,-0.008132839413745627,0,0.305307062227696,0
0.56,-0.010808635614047584,0,0.2873359662381384,0
0.5700000000000001,-0.013335688486726291,0,0.2628117863573354,0
0.58,-0.01564580354559438,0,0.231787640174958,0
0.59,-0.017669517869093935,0,0.19453436009087555,0
0.6,-0.019338467404497947,0,0.15156112275464614,0
0.61,-0.020588070997631557,0,0.10362770339234459,0
0.62,-0.02136044771663709,0,0.05174610660165421,0
0.63,-0.021607453851594252,0,-0.0028304096198845867,0
0.64,-0.021293712967208157,0,-0.058632297811459885,0
0.65,-0.02039944238994219,0,-0.11401365046525454,0
0.66,-0.018922883678275305,0,-0.16720672177843024,0
