# 20240926_155355
alpha,DrRe,DrIm
0.831572,2.53182,0
0.834722,2.41802,0
0.837871,2.30443,0
0.841021,2.19111,0
0.844171,2.07807,0
0.847321,1.96535,0
0.850471,1.853,0
0.853621,1.74105,0
0.856771,1.62955,0
0.859921,1.51852,0
0.863071,1.40802,0
0.86622,1.29808,0
0.86937,1.18876,0
0.87252,1.08008,0
0.87567,0.972111,0
0.87882,0.864883,0
0.88197,0.758446,0
0.88512,0.652844,0
0.88827,0.548126,0
0.89142,0.444336,0
0.894569,0.341521,0
0.897719,0.239727,0
0.900869,0.138998,0
0.904019,0.0393793,0
0.907169,-0.0590856,0
0.910319,-0.156354,0
0.913469,-0.252384,0
0.916619,-0.347135,0
0.919769,-0.440569,0
0.922918,-0.532648,0
0.926068,-0.623336,0
0.929218,-0.7126,0
0.932368,-0.800408,0
0.935518,-0.886729,0
0.938668,-0.971537,0
0.941818,-1.05481,0
0.944968,-1.13651,0
0.948118,-1.21664,0
0.951268,-1.29516,0
0.954417,-1.37206,0
0.957567,-1.44734,0
0.960717,-1.52097,0
0.963867,-1.59295,0
0.967017,-1.66328,0
0.970167,-1.73195,0
0.973317,-1.79896,0
0.976467,-1.8643,0
0.979617,-1.92799,0
0.982766,-1.99003,0
0.985916,-2.05042,0
0.989066,-2.10917,0
0.992216,-2.1663,0
0.995366,-2.22181,0
0.998516,-2.27572,0
1.00167,-2.32804,0
1.00482,-2.37879,0
1.00797,-2.42798,0
1.01112,-2.47563,0
1.01427,-2.52175,0
1.01742,-2.56637,0
1.02057,-2.6095,0
1.02372,-2.65116,0
1.02686,-2.69137,0
1.03001,-2.73014,0
1.03316,-2.7675,0
1.03631,-2.80345,0
1.03946,-2.83801,0
1.04261,-2.8712,0
1.04576,-2.90304,0
1.04891,-2.93353,0
1.05206,-2.9627,0
1.05521,-2.99055,0
1.05836,-3.0171,0
1.06151,-3.04235,0
1.06466,-3.06632,0
1.06781,-3.08902,0
1.07096,-3.11045,0
1.07411,-3.13064,0
1.07726,-3.14958,0
1.08041,-3.16728,0
1.08356,-3.18376,0
1.08671,-3.19903,0
1.08986,-3.21308,0
1.09301,-3.22594,0
1.09616,-3.23762,0
1.09931,-3.24812,0
1.10246,-3.25746,0
1.10561,-3.26564,0
1.10876,-3.2727,0
1.11191,-3.27863,0
1.11506,-3.28346,0
1.11821,-3.28721,0
1.12136,-3.28989,0
1.12451,-3.29153,0
1.12766,-3.29215,0
1.13081,-3.29177,0
1.13396,-3.29041,0
1.13711,-3.28811,0
1.14026,-3.28489,0
1.14341,-3.28077,0
1.14656,-3.27579,0
1.14971,-3.26998,0
1.15286,-3.26336,0
1.15601,-3.25596,0
1.15916,-3.24781,0
1.16231,-3.23895,0
1.16546,-3.22939,0
1.16861,-3.21917,0
1.17176,-3.20831,0
1.17491,-3.19683,0
1.17806,-3.18476,0
1.18121,-3.17211,0
1.18436,-3.1589,0
1.18751,-3.14515,0
1.19066,-3.13086,0
1.19381,-3.11604,0
1.19696,-3.10071,0
1.20011,-3.08486,0
1.20326,-3.06849,0
1.20641,-3.0516,0
1.20956,-3.03417,0
1.21271,-3.01621,0
1.21586,-2.99769,0
1.21901,-2.97861,0
1.22216,-2.95895,0
1.22531,-2.93868,0
1.22846,-2.9178,0
1.23161,-2.89627,0
1.23476,-2.87409,0
1.23791,-2.85123,0
1.24106,-2.82766,0
1.24421,-2.80339,0
1.24736,-2.77838,0
1.25051,-2.75263,0
1.25366,-2.72612,0
1.25681,-2.69885,0
1.25996,-2.67082,0
1.26311,-2.64203,0
1.26626,-2.61247,0
1.26941,-2.58217,0
1.27256,-2.55114,0
1.27571,-2.51939,0
1.27886,-2.48694,0
1.28201,-2.45383,0
1.28516,-2.42008,0
1.28831,-2.38572,0
1.29146,-2.35079,0
1.29461,-2.31533,0
1.29776,-2.27937,0
1.30091,-2.24294,0
1.30406,-2.20608,0
1.30721,-2.16883,0
1.31036,-2.13121,0
1.31351,-2.09325,0
1.31666,-2.05495,0
1.3198,-2.01635,0
1.32295,-1.97743,0
1.3261,-1.93819,0
1.32925,-1.89863,0
1.3324,-1.85871,0
1.33555,-1.8184,0
1.3387,-1.77767,0
1.34185,-1.73645,0
1.345,-1.69469,0
1.34815,-1.65233,0
1.3513,-1.60927,0
1.35445,-1.56544,0
1.3576,-1.52076,0
1.36075,-1.47514,0
1.3639,-1.42848,0
1.36705,-1.38069,0
1.3702,-1.33171,0
1.37335,-1.28143,0
1.3765,-1.22981,0
1.37965,-1.17677,0
1.3828,-1.12227,0
1.38595,-1.06627,0
1.3891,-1.00876,0
1.39225,-0.949719,0
1.3954,-0.889167,0
1.39855,-0.827126,0
1.4017,-0.763631,0
1.40485,-0.698732,0
1.408,-0.632483,0
1.41115,-0.564946,0
1.4143,-0.496185,0
1.41745,-0.426259,0
1.4206,-0.355221,0
1.42375,-0.283107,0
1.4269,-0.209941,0
1.43005,-0.13572,0
1.4332,-0.0604136,0
1.43635,0.0160369,0
1.4395,0.0937265,0
1.44265,0.172782,0
1.4458,0.253368,0
1.44895,0.335679,0
1.4521,0.419939,0
1.45525,0.506392,0
1.4584,0.595295,0
1.46155,0.686909,0
1.4647,0.781485,0
1.46785,0.879248,0
1.471,0.980387,0
1.47415,1.08504,0
1.4773,1.19327,0
1.48045,1.30509,0
1.4836,1.4204,0
1.48675,1.53902,0
1.4899,1.66072,0
1.49305,1.78516,0
1.4962,1.912,0
1.49935,2.04086,0
1.5025,2.1714,0
1.50565,2.30338,0
1.5088,2.43672,0
1.51195,2.57153,0
1.5151,2.70826,0
1.51825,2.84772,0
1.5214,2.99117,0
1.52455,3.14033,0
1.5277,3.29748,0
1.53085,3.46538,0
1.534,3.64727,0
1.53715,3.84677,0
1.5403,4.06772,0
1.54345,4.31409,0
1.5466,4.58978,0
1.54975,4.89854,0
1.5529,5.2441,0
1.55605,5.63053,0
1.5592,6.06317,0
1.56235,6.55044,0
1.5655,7.10698,0
1.56865,7.75867,0
1.5718,8.55057,0
