# 20240927_193022
alpha,DtauRe,DtauIm
0.377368,-14.7637,0
0.378941,-14.9265,0
0.380513,-15.0905,0
0.382086,-15.2554,0
0.383658,-15.4214,0
0.38523,-15.5885,0
0.386803,-15.7565,0
0.388375,-15.9256,0
0.389947,-16.0958,0
0.39152,-16.2669,0
0.393092,-16.4391,0
0.394665,-16.6122,0
0.396237,-16.7864,0
0.397809,-16.9615,0
0.399382,-17.1376,0
0.400954,-17.3148,0
0.402526,-17.4928,0
0.404099,-17.6719,0
0.405671,-17.8519,0
0.407243,-18.0329,0
0.408816,-18.2148,0
0.410388,-18.3976,0
0.411961,-18.5814,0
0.413533,-18.7661,0
0.415105,-18.9517,0
0.416678,-19.1382,0
0.41825,-19.3256,0
0.419822,-19.5139,0
0.421395,-19.7031,0
0.422967,-19.8932,0
0.42454,-20.0841,0
0.426112,-20.2759,0
0.427684,-20.4685,0
0.429257,-20.6619,0
0.430829,-20.8562,0
0.432401,-21.0513,0
0.433974,-21.2472,0
0.435546,-21.444,0
0.437118,-21.6415,0
0.438691,-21.8397,0
0.440263,-22.0388,0
0.441836,-22.2386,0
0.443408,-22.4392,0
0.44498,-22.6405,0
0.446553,-22.8426,0
0.448125,-23.0453,0
0.449697,-23.2488,0
0.45127,-23.453,0
0.452842,-23.6579,0
0.454415,-23.8635,0
0.455987,-24.0697,0
0.457559,-24.2766,0
0.459132,-24.4842,0
0.460704,-24.6924,0
0.462276,-24.9012,0
0.463849,-25.1107,0
0.465421,-25.3207,0
0.466994,-25.5314,0
0.468566,-25.7427,0
0.470138,-25.9545,0
0.471711,-26.1669,0
0.473283,-26.3799,0
0.474855,-26.5934,0
0.476428,-26.8075,0
0.478,-27.0221,0
0.479572,-27.2372,0
0.481145,-27.4529,0
0.482717,-27.669,0
0.48429,-27.8857,0
0.485862,-28.1028,0
0.487434,-28.3204,0
0.489007,-28.5384,0
0.490579,-28.7569,0
0.492151,-28.9759,0
0.493724,-29.1953,0
0.495296,-29.4151,0
0.496869,-29.6353,0
0.498441,-29.856,0
0.500013,-30.077,0
0.501586,-30.2984,0
0.503158,-30.5202,0
0.50473,-30.7424,0
0.506303,-30.9649,0
0.507875,-31.1878,0
0.509447,-31.4111,0
0.51102,-31.6347,0
0.512592,-31.8586,0
0.514165,-32.0828,0
0.515737,-32.3073,0
0.517309,-32.5321,0
0.518882,-32.7573,0
0.520454,-32.9827,0
0.522026,-33.2084,0
0.523599,-33.4343,0
0.525171,-33.6606,0
0.526744,-33.8871,0
0.528316,-34.1138,0
0.529888,-34.3407,0
0.531461,-34.5679,0
0.533033,-34.7954,0
0.534605,-35.023,0
0.536178,-35.2508,0
0.53775,-35.4789,0
0.539322,-35.7071,0
0.540895,-35.9355,0
0.542467,-36.1641,0
0.54404,-36.3929,0
0.545612,-36.6218,0
0.547184,-36.8509,0
0.548757,-37.0802,0
0.550329,-37.3096,0
0.551901,-37.5391,0
0.553474,-37.7687,0
0.555046,-37.9985,0
0.556619,-38.2284,0
0.558191,-38.4584,0
0.559763,-38.6885,0
0.561336,-38.9187,0
0.562908,-39.1489,0
0.56448,-39.3793,0
0.566053,-39.6097,0
0.567625,-39.8402,0
0.569197,-40.0707,0
0.57077,-40.3013,0
0.572342,-40.532,0
0.573915,-40.7626,0
0.575487,-40.9933,0
0.577059,-41.224,0
0.578632,-41.4548,0
0.580204,-41.6855,0
0.581776,-41.9162,0
0.583349,-42.147,0
0.584921,-42.3777,0
0.586494,-42.6084,0
0.588066,-42.839,0
0.589638,-43.0696,0
0.591211,-43.3002,0
0.592783,-43.5307,0
0.594355,-43.7611,0
0.595928,-43.9915,0
0.5975,-44.2217,0
0.599072,-44.4519,0
0.600645,-44.682,0
0.602217,-44.912,0
0.60379,-45.1418,0
0.605362,-45.3716,0
0.606934,-45.6012,0
0.608507,-45.8306,0
0.610079,-46.0599,0
0.611651,-46.289,0
0.613224,-46.518,0
0.614796,-46.7468,0
0.616369,-46.9753,0
0.617941,-47.2037,0
0.619513,-47.4319,0
0.621086,-47.6598,0
0.622658,-47.8875,0
0.62423,-48.115,0
0.625803,-48.3422,0
0.627375,-48.5691,0
0.628947,-48.7957,0
0.63052,-49.0221,0
0.632092,-49.2482,0
0.633665,-49.4739,0
0.635237,-49.6993,0
0.636809,-49.9244,0
0.638382,-50.1492,0
0.639954,-50.3735,0
0.641526,-50.5976,0
0.643099,-50.8212,0
0.644671,-51.0444,0
0.646244,-51.2672,0
0.647816,-51.4896,0
0.649388,-51.7116,0
0.650961,-51.9331,0
0.652533,-52.1542,0
0.654105,-52.3748,0
0.655678,-52.5949,0
0.65725,-52.8145,0
0.658822,-53.0336,0
0.660395,-53.2522,0
0.661967,-53.4702,0
0.66354,-53.6877,0
0.665112,-53.9047,0
0.666684,-54.121,0
0.668257,-54.3368,0
0.669829,-54.5519,0
0.671401,-54.7665,0
0.672974,-54.9804,0
0.674546,-55.1936,0
0.676119,-55.4062,0
0.677691,-55.6182,0
0.679263,-55.8294,0
0.680836,-56.04,0
0.682408,-56.2498,0
0.68398,-56.4589,0
0.685553,-56.6673,0
0.687125,-56.8749,0
0.688697,-57.0817,0
0.69027,-57.2878,0
0.691842,-57.4931,0
0.693415,-57.6976,0
0.694987,-57.9012,0
0.696559,-58.104,0
0.698132,-58.306,0
0.699704,-58.5071,0
0.701276,-58.7073,0
0.702849,-58.9067,0
0.704421,-59.1052,0
0.705994,-59.3027,0
0.707566,-59.4993,0
0.709138,-59.695,0
0.710711,-59.8898,0
0.712283,-60.0835,0
0.713855,-60.2763,0
0.715428,-60.4682,0
0.717,-60.659,0
0.718572,-60.8488,0
0.720145,-61.0376,0
0.721717,-61.2254,0
0.72329,-61.4121,0
0.724862,-61.5978,0
0.726434,-61.7824,0
0.728007,-61.9659,0
0.729579,-62.1484,0
0.731151,-62.3297,0
0.732724,-62.5099,0
0.734296,-62.6891,0
0.735869,-62.8671,0
0.737441,-63.0439,0
0.739013,-63.2197,0
0.740586,-63.3942,0
0.742158,-63.5676,0
0.74373,-63.7398,0
0.745303,-63.9109,0
0.746875,-64.0807,0
0.748447,-64.2494,0
0.75002,-64.4168,0
0.751592,-64.583,0
0.753165,-64.748,0
0.754737,-64.9117,0
0.756309,-65.0742,0
0.757882,-65.2355,0
0.759454,-65.3955,0
0.761026,-65.5542,0
0.762599,-65.7117,0
0.764171,-65.8679,0
0.765744,-66.0228,0
0.767316,-66.1763,0
0.768888,-66.3286,0
0.770461,-66.4796,0
0.772033,-66.6293,0
0.773605,-66.7776,0
0.775178,-66.9246,0
0.77675,-67.0703,0
0.778323,-67.2146,0
0.779895,-67.3576,0
0.781467,-67.4992,0
0.78304,-67.6394,0
0.784612,-67.7783,0
0.786184,-67.9158,0
0.787757,-68.052,0
0.789329,-68.1867,0
0.790901,-68.3201,0
0.792474,-68.452,0
0.794046,-68.5825,0
0.795619,-68.7117,0
0.797191,-68.8394,0
0.798763,-68.9657,0
0.800336,-69.0905,0
0.801908,-69.2139,0
0.80348,-69.3359,0
0.805053,-69.4564,0
0.806625,-69.5755,0
0.808198,-69.6931,0
0.80977,-69.8092,0
0.811342,-69.9239,0
0.812915,-70.037,0
0.814487,-70.1487,0
0.816059,-70.2589,0
0.817632,-70.3676,0
0.819204,-70.4748,0
0.820776,-70.5804,0
0.822349,-70.6846,0
0.823921,-70.7872,0
0.825494,-70.8882,0
0.827066,-70.9878,0
0.828638,-71.0857,0
0.830211,-71.1822,0
0.831783,-71.277,0
0.833355,-71.3703,0
0.834928,-71.4619,0
0.8365,-71.552,0
0.838073,-71.6405,0
0.839645,-71.7274,0
0.841217,-71.8127,0
0.84279,-71.8963,0
0.844362,-71.9783,0
0.845934,-72.0587,0
0.847507,-72.1374,0
0.849079,-72.2145,0
0.850651,-72.2899,0
0.852224,-72.3636,0
0.853796,-72.4357,0
0.855369,-72.506,0
0.856941,-72.5746,0
0.858513,-72.6416,0
0.860086,-72.7068,0
0.861658,-72.7703,0
0.86323,-72.832,0
0.864803,-72.892,0
0.866375,-72.9503,0
0.867948,-73.0067,0
0.86952,-73.0614,0
0.871092,-73.1144,0
0.872665,-73.1655,0
0.874237,-73.2148,0
0.875809,-73.2623,0
0.877382,-73.308,0
0.878954,-73.3519,0
0.880526,-73.3939,0
0.882099,-73.4341,0
0.883671,-73.4724,0
0.885244,-73.5089,0
0.886816,-73.5435,0
0.888388,-73.5762,0
0.889961,-73.6071,0
0.891533,-73.636,0
0.893105,-73.6631,0
0.894678,-73.6882,0
0.89625,-73.7115,0
0.897823,-73.7328,0
0.899395,-73.7522,0
0.900967,-73.7696,0
0.90254,-73.7852,0
0.904112,-73.7987,0
0.905684,-73.8104,0
0.907257,-73.82,0
0.908829,-73.8279,0
0.910401,-73.8335,0
0.911974,-73.8374,0
0.913546,-73.8392,0
0.915119,-73.8385,0
0.916691,-73.837,0
0.918263,-73.8331,0
0.919836,-73.8269,0
0.921408,-73.8189,0
0.92298,-73.8089,0
0.924553,-73.797,0
0.926125,-73.783,0
0.927698,-73.7671,0
0.92927,-73.7493,0
0.930842,-73.7294,0
0.932415,-73.7077,0
0.933987,-73.6839,0
0.935559,-73.6582,0
0.937132,-73.6305,0
0.938704,-73.6009,0
0.940276,-73.5694,0
0.941849,-73.5359,0
0.943421,-73.5005,0
0.944994,-73.4632,0
0.946566,-73.424,0
0.948138,-73.3828,0
0.949711,-73.3398,0
0.951283,-73.2949,0
0.952855,-73.2481,0
0.954428,-73.1995,0
0.956,-73.149,0
0.957573,-73.0967,0
0.959145,-73.0425,0
0.960717,-72.9866,0
0.96229,-72.9288,0
0.963862,-72.8693,0
0.965434,-72.8079,0
0.967007,-72.7449,0
0.968579,-72.6801,0
0.970151,-72.6136,0
0.971724,-72.5454,0
0.973296,-72.4755,0
0.974869,-72.4039,0
0.976441,-72.3307,0
0.978013,-72.2558,0
0.979586,-72.1793,0
0.981158,-72.1013,0
0.98273,-72.0217,0
0.984303,-71.9405,0
0.985875,-71.8578,0
0.987448,-71.7736,0
0.98902,-71.6879,0
0.990592,-71.6007,0
0.992165,-71.5121,0
0.993737,-71.4221,0
0.995309,-71.3306,0
0.996882,-71.2378,0
0.998454,-71.1436,0
1.00003,-71.0482,0
1.0016,-70.9513,0
1.00317,-70.8533,0
1.00474,-70.7539,0
1.00632,-70.6533,0
1.00789,-70.5515,0
1.00946,-70.4485,0
1.01103,-70.3444,0
1.01261,-70.2391,0
1.01418,-70.1327,0
1.01575,-70.0251,0
1.01732,-69.9165,0
1.01889,-69.8069,0
1.02047,-69.6962,0
1.02204,-69.5845,0
1.02361,-69.4719,0
1.02518,-69.3583,0
1.02676,-69.2437,0
1.02833,-69.1282,0
1.0299,-69.0119,0
1.03147,-68.8946,0
1.03305,-68.7765,0
1.03462,-68.6576,0
1.03619,-68.5379,0
1.03776,-68.4174,0
1.03934,-68.2961,0
1.04091,-68.1741,0
1.04248,-68.0513,0
1.04405,-67.9279,0
1.04563,-67.8037,0
1.0472,-67.6789,0
1.04877,-67.5534,0
1.05034,-67.4273,0
1.05191,-67.3006,0
1.05349,-67.1733,0
1.05506,-67.0453,0
1.05663,-66.9169,0
1.0582,-66.7878,0
1.05978,-66.6583,0
1.06135,-66.5282,0
1.06292,-66.3976,0
1.06449,-66.2665,0
1.06607,-66.1349,0
1.06764,-66.0029,0
1.06921,-65.8704,0
1.07078,-65.7374,0
1.07236,-65.6041,0
1.07393,-65.4703,0
1.0755,-65.3362,0
1.07707,-65.2016,0
1.07864,-65.0667,0
1.08022,-64.9313,0
1.08179,-64.7957,0
1.08336,-64.6597,0
1.08493,-64.5233,0
1.08651,-64.3867,0
1.08808,-64.2497,0
1.08965,-64.1124,0
1.09122,-63.9749,0
1.0928,-63.837,0
1.09437,-63.6988,0
1.09594,-63.5604,0
1.09751,-63.4218,0
1.09909,-63.2829,0
1.10066,-63.1437,0
1.10223,-63.0044,0
1.1038,-62.8648,0
1.10538,-62.725,0
1.10695,-62.585,0
1.10852,-62.4448,0
1.11009,-62.3044,0
1.11166,-62.1639,0
1.11324,-62.0232,0
1.11481,-61.8823,0
1.11638,-61.7413,0
1.11795,-61.6002,0
1.11953,-61.459,0
1.1211,-61.3176,0
1.12267,-61.1761,0
1.12424,-61.0346,0
1.12582,-60.8929,0
1.12739,-60.7512,0
1.12896,-60.6095,0
1.13053,-60.4677,0
1.13211,-60.3258,0
1.13368,-60.184,0
1.13525,-60.0421,0
1.13682,-59.9002,0
1.13839,-59.7584,0
1.13997,-59.6165,0
1.14154,-59.4747,0
1.14311,-59.333,0
1.14468,-59.1913,0
1.14626,-59.0497,0
1.14783,-58.9082,0
1.1494,-58.7668,0
1.15097,-58.6255,0
1.15255,-58.4844,0
1.15412,-58.3433,0
1.15569,-58.2025,0
1.15726,-58.0618,0
1.15884,-57.9213,0
1.16041,-57.781,0
1.16198,-57.6409,0
1.16355,-57.5011,0
1.16513,-57.3615,0
1.1667,-57.2221,0
1.16827,-57.083,0
