# 20240822_164332
alpha,urRe,urIm
0,0,0
0.00314989,0.00411262,0
0.00629978,0.00810662,0
0.00944968,0.0120039,0
0.0125996,0.0158231,0
0.0157495,0.0195802,0
0.0188994,0.0232887,0
0.0220492,0.0269597,0
0.0251991,0.0306028,0
0.028349,0.0342255,0
0.0314989,0.0378343,0
0.0346488,0.0414342,0
0.0377987,0.0450293,0
0.0409486,0.0486228,0
0.0440985,0.052217,0
0.0472484,0.0558138,0
0.0503983,0.0594143,0
0.0535482,0.0630194,0
0.0566981,0.0666296,0
0.059848,0.0702451,0
0.0629978,0.0738658,0
0.0661477,0.0774917,0
0.0692976,0.0811224,0
0.0724475,0.0847576,0
0.0755974,0.0883969,0
0.0787473,0.0920398,0
0.0818972,0.095686,0
0.0850471,0.099335,0
0.088197,0.102986,0
0.0913469,0.10664,0
0.0944968,0.110295,0
0.0976467,0.113952,0
0.100797,0.117611,0
0.103946,0.12127,0
0.107096,0.124931,0
0.110246,0.128593,0
0.113396,0.132256,0
0.116546,0.13592,0
0.119696,0.139586,0
0.122846,0.143253,0
0.125996,0.146921,0
0.129146,0.150591,0
0.132295,0.154263,0
0.135445,0.157937,0
0.138595,0.161614,0
0.141745,0.165293,0
0.144895,0.168974,0
0.148045,0.172659,0
0.151195,0.176347,0
0.154345,0.180038,0
0.157495,0.183733,0
0.160645,0.187432,0
0.163794,0.191135,0
0.166944,0.194842,0
0.170094,0.198553,0
0.173244,0.202269,0
0.176394,0.205989,0
0.179544,0.209714,0
0.182694,0.213444,0
0.185844,0.217178,0
0.188994,0.220917,0
0.192143,0.224661,0
0.195293,0.22841,0
0.198443,0.232164,0
0.201593,0.235923,0
0.204743,0.239686,0
0.207893,0.243454,0
0.211043,0.247227,0
0.214193,0.251004,0
0.217343,0.254786,0
0.220492,0.258572,0
0.223642,0.262363,0
0.226792,0.266158,0
0.229942,0.269957,0
0.233092,0.273761,0
0.236242,0.277568,0
0.239392,0.281379,0
0.242542,0.285195,0
0.245692,0.289013,0
0.248842,0.292836,0
0.251991,0.296662,0
0.255141,0.300492,0
0.258291,0.304325,0
0.261441,0.308161,0
0.264591,0.312001,0
0.267741,0.315843,0
0.270891,0.319689,0
0.274041,0.323538,0
0.277191,0.32739,0
0.28034,0.331245,0
0.28349,0.335103,0
0.28664,0.338964,0
0.28979,0.342827,0
0.29294,0.346694,0
0.29609,0.350563,0
0.29924,0.354435,0
0.30239,0.358309,0
0.30554,0.362186,0
0.308689,0.366066,0
0.311839,0.369948,0
0.314989,0.373833,0
0.318139,0.37772,0
0.321289,0.38161,0
0.324439,0.385502,0
0.327589,0.389396,0
0.330739,0.393293,0
0.333889,0.397192,0
0.337038,0.401093,0
0.340188,0.404996,0
0.343338,0.408901,0
0.346488,0.412807,0
0.349638,0.416716,0
0.352788,0.420626,0
0.355938,0.424538,0
0.359088,0.428452,0
0.362238,0.432367,0
0.365388,0.436283,0
0.368537,0.4402,0
0.371687,0.444118,0
0.374837,0.448038,0
0.377987,0.451958,0
0.381137,0.455878,0
0.384287,0.459799,0
0.387437,0.463721,0
0.390587,0.467643,0
0.393737,0.471564,0
0.396886,0.475486,0
0.400036,0.479407,0
0.403186,0.483328,0
0.406336,0.487249,0
0.409486,0.491169,0
0.412636,0.495088,0
0.415786,0.499005,0
0.418936,0.502922,0
0.422086,0.506838,0
0.425235,0.510752,0
0.428385,0.514664,0
0.431535,0.518575,0
0.434685,0.522484,0
0.437835,0.526391,0
0.440985,0.530296,0
0.444135,0.534199,0
0.447285,0.5381,0
0.450435,0.541998,0
0.453585,0.545893,0
0.456734,0.549787,0
0.459884,0.553677,0
0.463034,0.557565,0
0.466184,0.561451,0
0.469334,0.565333,0
0.472484,0.569212,0
0.475634,0.573089,0
0.478784,0.576963,0
0.481934,0.580833,0
0.485083,0.584701,0
0.488233,0.588566,0
0.491383,0.592428,0
0.494533,0.596286,0
0.497683,0.600142,0
0.500833,0.603994,0
0.503983,0.607844,0
0.507133,0.61169,0
0.510283,0.615534,0
0.513432,0.619374,0
0.516582,0.623212,0
0.519732,0.627046,0
0.522882,0.630877,0
0.526032,0.634706,0
0.529182,0.638532,0
0.532332,0.642354,0
0.535482,0.646174,0
0.538632,0.64999,0
0.541781,0.653804,0
0.544931,0.657615,0
0.548081,0.661423,0
0.551231,0.665228,0
0.554381,0.66903,0
0.557531,0.67283,0
0.560681,0.676626,0
0.563831,0.680419,0
0.566981,0.68421,0
0.570131,0.687997,0
0.57328,0.691782,0
0.57643,0.695563,0
0.57958,0.699341,0
0.58273,0.703116,0
0.58588,0.706888,0
0.58903,0.710657,0
0.59218,0.714422,0
0.59533,0.718183,0
0.59848,0.721942,0
0.601629,0.725696,0
0.604779,0.729447,0
0.607929,0.733194,0
0.611079,0.736938,0
0.614229,0.740677,0
0.617379,0.744412,0
0.620529,0.748144,0
0.623679,0.75187,0
0.626829,0.755593,0
0.629978,0.759311,0
0.633128,0.763024,0
0.636278,0.766732,0
0.639428,0.770435,0
0.642578,0.774134,0
0.645728,0.777827,0
0.648878,0.781515,0
0.652028,0.785197,0
0.655178,0.788874,0
0.658328,0.792544,0
0.661477,0.796209,0
0.664627,0.799868,0
0.667777,0.803521,0
0.670927,0.807167,0
0.674077,0.810807,0
0.677227,0.81444,0
0.680377,0.818066,0
0.683527,0.821685,0
0.686677,0.825297,0
0.689826,0.828902,0
0.692976,0.832499,0
0.696126,0.836088,0
0.699276,0.83967,0
0.702426,0.843243,0
0.705576,0.846808,0
0.708726,0.850365,0
0.711876,0.853913,0
0.715026,0.857452,0
0.718175,0.860983,0
0.721325,0.864504,0
0.724475,0.868015,0
0.727625,0.871517,0
0.730775,0.875008,0
0.733925,0.878489,0
0.737075,0.88196,0
0.740225,0.88542,0
0.743375,0.888869,0
0.746525,0.892307,0
0.749674,0.895732,0
0.752824,0.899146,0
0.755974,0.902547,0
0.759124,0.905935,0
0.762274,0.909311,0
0.765424,0.912672,0
0.768574,0.91602,0
0.771724,0.919353,0
0.774874,0.922672,0
0.778023,0.925975,0
0.781173,0.929262,0
0.784323,0.932534,0
0.787473,0.935788,0
0.790623,0.939025,0
0.793773,0.942244,0
0.796923,0.945444,0
0.800073,0.948626,0
