# epsilon:0.000160054
# mass:0.226
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.07510365614756667,0,-0.07111228452906121,0
0.01,0.07511500887432515,0,-0.0712327294653867,0
0.02,0.07513655560977538,0,-0.0711510266100477,0
0.03,0.07516753960755918,0,-0.07095416563381096,0
0.04,0.07520756692536404,0,-0.07068506636653663,0
0.05,0.07525644526877508,0,-0.07036061746374891,0
0.06,0.0753140887994601,0,-0.06998360024152808,0
0.07,0.07538044109848843,0,-0.06955030132760448,0
0.08,0.0754554347685865,0,-0.06905486145098999,0
0.09,0.0755389657953461,0,-0.06849152877657008,0
0.1,0.0756308833745646,0,-0.06785551483693864,0
0.11,0.07573098718417269,0,-0.0671430893162347,0
0.12,0.07583903053005335,0,-0.0663512412650541,0
0.13,0.07595472256906034,0,-0.06547717839328758,0
0.14,0.07607773742212116,0,-0.06451783642439544,0
0.15,0.07620771440277305,0,-0.06346953222920454,0
0.16,0.07634425724663622,0,-0.062327676769031656,0
0.17,0.07648692767997088,0,-0.0610866456627687,0
0.18,0.0766352508431333,0,-0.059739856325955874,0
0.19,0.07678868888307616,0,-0.058279730147518034,0
0.2,0.0769466500879742,0,-0.056697800168099645,0
0.21,0.07710845914267293,0,-0.054984936430441236,0
0.22,0.07727335374488384,0,-0.05313128131642438,0
0.23,0.07744047546798459,0,-0.05112654321839576,0
0.24,0.07760883249826828,0,-0.04895982919614527,0
0.25,0.07777733173739694,0,-0.046619872711654485,0
0.26,0.07794469393623964,0,-0.04409484941322681,0
0.27,0.07810954428069296,0,-0.041372468544431766,0
0.28,0.07827025461934609,0,-0.038439933638393986,0
0.29,0.07842508732935409,0,-0.035283892199157466,0
0.3,0.0785720311334515,0,-0.03189046708200829,0
0.31,0.07870893450436489,0,-0.028245260575118614,0
0.32,0.0788333408242656,0,-0.02433348909025589,0
0.33,0.07894263430546501,0,-0.020139987986597246,0
0.34,0.07903385770276192,0,-0.01564955713306336,0
0.35000000000000003,0.0791038792161478,0,-0.010846900748081867,0
0.36,0.07914920332502595,0,-0.005717199341836868,0
0.37,0.07916614496875124,0,-0.000245961812517616,0
0.38,0.07915064973082636,0,0.005580201525581967,0
0.39,0.07909846951626381,0,0.011773862326912531,0
0.4,0.07900498954915376,0,0.018345772134777418,0
0.41000000000000003,0.07886539376721277,0,0.025305326584453506,0
0.42,0.07867458748798827,0,0.03265967758921778,0
0.43,0.07842721469057878,0,0.04041364051707789,0
0.44,0.07811776387741086,0,0.04856980959425086,0
0.45,0.07774045651938372,0,0.05712731150694034,0
0.46,0.0772894365433479,0,0.06608309964813437,0
