# 20240927_194640
alpha,DrRe,DrIm
0.834722,16.9261,0
0.837871,16.131,0
0.841021,15.3377,0
0.844171,14.5465,0
0.847321,13.7575,0
0.850471,12.971,0
0.853621,12.1874,0
0.856771,11.4068,0
0.859921,10.6296,0
0.863071,9.85612,0
0.86622,9.08657,0
0.86937,8.32128,0
0.87252,7.56058,0
0.87567,6.80477,0
0.87882,6.05418,0
0.88197,5.30912,0
0.88512,4.56991,0
0.88827,3.83688,0
0.89142,3.11035,0
0.894569,2.39065,0
0.897719,1.67808,0
0.900869,0.972982,0
0.904019,0.275651,0
0.907169,-0.413603,0
0.910319,-1.09448,0
0.913469,-1.76669,0
0.916619,-2.42995,0
0.919769,-3.08399,0
0.922918,-3.72854,0
0.926068,-4.36336,0
0.929218,-4.9882,0
0.932368,-5.60286,0
0.935518,-6.20711,0
0.938668,-6.80076,0
0.941818,-7.38364,0
0.944968,-7.95559,0
0.948118,-8.51645,0
0.951268,-9.06611,0
0.954417,-9.60445,0
0.957567,-10.1314,0
0.960717,-10.6468,0
0.963867,-11.1507,0
0.967017,-11.643,0
0.970167,-12.1237,0
0.973317,-12.5927,0
0.976467,-13.0501,0
0.979617,-13.496,0
0.982766,-13.9302,0
0.985916,-14.3529,0
0.989066,-14.7642,0
0.992216,-15.1641,0
0.995366,-15.5527,0
0.998516,-15.93,0
1.00167,-16.2963,0
1.00482,-16.6515,0
1.00797,-16.9958,0
1.01112,-17.3294,0
1.01427,-17.6523,0
1.01742,-17.9646,0
1.02057,-18.2665,0
1.02372,-18.5582,0
1.02686,-18.8396,0
1.03001,-19.111,0
1.03316,-19.3725,0
1.03631,-19.6241,0
1.03946,-19.8661,0
1.04261,-20.0984,0
1.04576,-20.3213,0
1.04891,-20.5347,0
1.05206,-20.7389,0
1.05521,-20.9339,0
1.05836,-21.1197,0
1.06151,-21.2964,0
1.06466,-21.4642,0
1.06781,-21.6231,0
1.07096,-21.7732,0
1.07411,-21.9145,0
1.07726,-22.0471,0
1.08041,-22.171,0
1.08356,-22.2864,0
1.08671,-22.3932,0
1.08986,-22.4916,0
1.09301,-22.5816,0
1.09616,-22.6633,0
1.09931,-22.7368,0
1.10246,-22.8022,0
1.10561,-22.8595,0
1.10876,-22.9089,0
1.11191,-22.9504,0
1.11506,-22.9843,0
1.11821,-23.0105,0
1.12136,-23.0293,0
1.12451,-23.0407,0
1.12766,-23.045,0
1.13081,-23.0424,0
1.13396,-23.0329,0
1.13711,-23.0168,0
1.14026,-22.9942,0
1.14341,-22.9654,0
1.14656,-22.9305,0
1.14971,-22.8898,0
1.15286,-22.8435,0
1.15601,-22.7917,0
1.15916,-22.7347,0
1.16231,-22.6726,0
1.16546,-22.6057,0
1.16861,-22.5342,0
1.17176,-22.4582,0
1.17491,-22.3778,0
1.17806,-22.2933,0
1.18121,-22.2048,0
1.18436,-22.1123,0
1.18751,-22.016,0
1.19066,-21.916,0
1.19381,-21.8123,0
1.19696,-21.705,0
1.20011,-21.594,0
1.20326,-21.4794,0
1.20641,-21.3612,0
1.20956,-21.2392,0
1.21271,-21.1135,0
1.21586,-20.9839,0
1.21901,-20.8503,0
1.22216,-20.7126,0
1.22531,-20.5708,0
1.22846,-20.4246,0
1.23161,-20.2739,0
1.23476,-20.1186,0
1.23791,-19.9586,0
1.24106,-19.7937,0
1.24421,-19.6237,0
1.24736,-19.4487,0
1.25051,-19.2684,0
1.25366,-19.0828,0
1.25681,-18.892,0
1.25996,-18.6957,0
1.26311,-18.4942,0
1.26626,-18.2873,0
1.26941,-18.0752,0
1.27256,-17.858,0
1.27571,-17.6357,0
1.27886,-17.4086,0
1.28201,-17.1768,0
1.28516,-16.9406,0
1.28831,-16.7001,0
1.29146,-16.4556,0
1.29461,-16.2073,0
1.29776,-15.9556,0
1.30091,-15.7006,0
1.30406,-15.4426,0
1.30721,-15.1818,0
1.31036,-14.9185,0
1.31351,-14.6527,0
1.31666,-14.3847,0
1.3198,-14.1144,0
1.32295,-13.842,0
1.3261,-13.5673,0
1.32925,-13.2904,0
1.3324,-13.0109,0
1.33555,-12.7288,0
1.3387,-12.4437,0
1.34185,-12.1552,0
1.345,-11.8629,0
1.34815,-11.5663,0
1.3513,-11.2649,0
1.35445,-10.9581,0
1.3576,-10.6453,0
1.36075,-10.326,0
1.3639,-9.99934,0
1.36705,-9.66486,0
1.3702,-9.32194,0
1.37335,-8.97004,0
1.3765,-8.60866,0
1.37965,-8.23739,0
1.3828,-7.85588,0
1.38595,-7.4639,0
1.3891,-7.06129,0
1.39225,-6.64803,0
1.3954,-6.22417,0
1.39855,-5.78988,0
1.4017,-5.34542,0
1.40485,-4.89112,0
1.408,-4.42738,0
1.41115,-3.95462,0
1.4143,-3.47329,0
1.41745,-2.98381,0
1.4206,-2.48654,0
1.42375,-1.98175,0
1.4269,-1.46959,0
1.43005,-0.950034,0
1.4332,-0.422891,0
1.43635,0.112265,0
1.4395,0.656089,0
1.44265,1.20948,0
1.4458,1.77358,0
1.44895,2.34976,0
1.4521,2.93958,0
1.45525,3.54475,0
1.4584,4.16708,0
1.46155,4.80838,0
1.4647,5.4704,0
1.46785,6.15474,0
1.471,6.86272,0
1.47415,7.59528,0
1.4773,8.35294,0
1.48045,9.13564,0
1.4836,9.94278,0
1.48675,10.7732,0
1.4899,11.625,0
1.49305,12.4962,0
1.4962,13.384,0
1.49935,14.286,0
1.5025,15.1998,0
1.50565,16.1237,0
1.5088,17.057,0
1.51195,18.0007,0
1.5151,18.9579,0
1.51825,19.9341,0
1.5214,20.9382,0
1.52455,21.9823,0
1.5277,23.0824,0
1.53085,24.2577,0
1.534,25.5309,0
1.53715,26.9274,0
1.5403,28.4741,0
1.54345,30.1987,0
1.5466,32.1285,0
1.54975,34.2898,0
1.5529,36.7088,0
1.55605,39.4138,0
1.5592,42.4422,0
1.56235,45.8532,0
1.5655,49.7489,0
1.56865,54.3107,0
1.5718,59.8541,0
