# 20240731_143403
alpha,utauRe,utauIm
0.0175638,1.00046,0
0.0351183,1.00127,0
0.0526539,1.00248,0
0.0701616,1.0041,0
0.0876328,1.00612,0
0.105059,1.00854,0
0.122434,1.01136,0
0.13975,1.01458,0
0.157002,1.01819,0
0.174186,1.0222,0
0.191299,1.0266,0
0.20834,1.03138,0
0.225309,1.03655,0
0.242209,1.04211,0
0.259043,1.04804,0
0.275819,1.05434,0
0.292544,1.06102,0
0.30923,1.06806,0
0.32589,1.07547,0
0.326996,1.07596,0
0.34254,1.08323,0
0.346197,1.08497,0
0.359198,1.09136,0
0.375887,1.09983,0
0.392631,1.10867,0
0.401675,1.11355,0
0.409457,1.11787,0
0.411077,1.11876,0
0.418348,1.12282,0
0.426395,1.12743,0
0.443482,1.13737,0
0.450516,1.14151,0
0.460756,1.14769,0
0.46399,1.14964,0
0.468959,1.15266,0
0.478262,1.15843,0
0.492279,1.16719,0
0.496052,1.1696,0
0.49771,1.17065,0
0.502229,1.17351,0
0.506992,1.17657,0
0.514187,1.18125,0
0.524468,1.18793,0
0.53274,1.19342,0
0.534508,1.19458,0
0.537464,1.19654,0
0.540784,1.19874,0
0.551799,1.20618,0
0.555308,1.20853,0
0.559091,1.21109,0
0.562574,1.21346,0
0.566799,1.21636,0
0.571477,1.2196,0
0.583225,1.22768,0
0.59192,1.23378,0
0.596732,1.23713,0
0.599118,1.23879,0
0.602197,1.24096,0
0.605152,1.24305,0
0.61332,1.24887,0
0.613901,1.24928,0
0.621025,1.25432,0
0.624034,1.25646,0
0.626903,1.25852,0
0.629582,1.26045,0
0.635941,1.26505,0
0.642619,1.26983,0
0.645117,1.27163,0
0.64814,1.27382,0
0.650371,1.27544,0
0.653052,1.27739,0
0.660167,1.2826,0
0.66184,1.28381,0
0.666081,1.28688,0
0.668629,1.28873,0
0.67111,1.29054,0
0.673581,1.29235,0
0.680096,1.29713,0
0.68329,1.29948,0
0.686598,1.30193,0
0.688166,1.30307,0
0.690527,1.30479,0
0.696909,1.30946,0
0.700263,1.31192,0
0.702517,1.31358,0
0.704655,1.31516,0
0.706786,1.31673,0
0.716257,1.32374,0
0.717435,1.3246,0
0.719978,1.32645,0
0.721723,1.32773,0
0.723752,1.32921,0
0.728799,1.3329,0
0.733873,1.33662,0
0.73599,1.33817,0
0.738218,1.33981,0
0.740321,1.34135,0
0.742417,1.34289,0
0.751179,1.34933,0
0.753394,1.35093,0
0.756107,1.35289,0
0.757813,1.35412,0
0.759828,1.35557,0
0.764844,1.35919,0
0.768227,1.36162,0
0.770676,1.36338,0
0.772198,1.36447,0
0.773949,1.36573,0
0.775697,1.36698,0
0.782653,1.37196,0
0.784266,1.37311,0
0.786307,1.37456,0
0.787873,1.37568,0
0.789766,1.37702,0
0.796827,1.38202,0
0.801923,1.38554,0
0.803955,1.38693,0
0.806236,1.3885,0
0.80779,1.38956,0
0.809631,1.39081,0
0.814219,1.39393,0
0.818289,1.39667,0
0.821556,1.39886,0
0.823066,1.39987,0
0.824848,1.40105,0
0.829292,1.40399,0
0.833703,1.40688,0
0.836065,1.40842,0
0.837945,1.40963,0
0.839808,1.41083,0
0.844764,1.41399,0
0.84852,1.41636,0
0.849956,1.41726,0
0.851541,1.41825,0
0.855498,1.4207,0
0.859538,1.42316,0
0.861299,1.42423,0
0.863137,1.42533,0
0.864824,1.42634,0
0.866509,1.42734,0
0.873237,1.43126,0
0.875664,1.43265,0
0.87808,1.43402,0
0.87952,1.43482,0
0.881195,1.43576,0
0.885379,1.43806,0
0.889942,1.44051,0
0.892382,1.4418,0
0.894152,1.44272,0
0.895801,1.44357,0
0.89745,1.44441,0
0.904039,1.44769,0
0.90838,1.44978,0
0.910477,1.45076,0
0.912246,1.45158,0
0.913628,1.45222,0
0.915011,1.45284,0
0.920539,1.45528,0
0.922138,1.45596,0
0.923753,1.45664,0
0.925382,1.45732,0
0.929357,1.45893,0
0.933333,1.46048,0
0.935265,1.46121,0
0.936873,1.46181,0
0.93848,1.4624,0
0.944919,1.46465,0
0.947231,1.46541,0
0.949625,1.46618,0
0.951024,1.46662,0
0.952586,1.4671,0
0.956495,1.46826,0
0.960566,1.4694,0
0.962447,1.4699,0
0.964391,1.4704,0
0.965989,1.4708,0
0.967589,1.47119,0
0.974004,1.47265,0
0.977359,1.47334,0
0.9802,1.47389,0
0.981578,1.47414,0
0.983173,1.47442,0
0.98717,1.47508,0
0.991743,1.47575,0
0.994481,1.4761,0
0.996258,1.47632,0
0.997858,1.4765,0
0.999462,1.47667,0
1.0059,1.47725,0
1.00908,1.47747,0
1.0119,1.47763,0
1.01331,1.47769,0
1.01491,1.47776,0
1.01892,1.47788,0
1.02306,1.47793,0
1.02488,1.47793,0
1.02694,1.47792,0
1.02856,1.4779,0
1.03018,1.47786,0
1.03665,1.4774,0
1.04024,1.477,0
1.04277,1.47669,0
1.04426,1.47649,0
1.04586,1.47627,0
1.04748,1.47603,0
1.05225,1.47527,0
1.05534,1.47472,0
1.05741,1.47433,0
1.06037,1.47374,0
1.06421,1.47292,0
1.06743,1.47218,0
1.0689,1.47184,0
1.07054,1.47144,0
1.07466,1.47038,0
1.07914,1.46916,0
1.08147,1.4685,0
1.08341,1.46793,0
1.08508,1.46743,0
1.08895,1.46623,0
1.09561,1.46403,0
1.10025,1.46241,0
1.1028,1.46137,0
1.10477,1.46049,0
1.10643,1.45974,0
1.1081,1.45897,0
1.1148,1.45577,0
1.1199,1.45322,0
1.12334,1.45144,0
1.12537,1.45037,0
1.12773,1.44911,0
1.13167,1.44695,0
1.13571,1.44469,0
1.13808,1.44333,0
1.14004,1.44219,0
1.14373,1.44001,0
1.14589,1.43872,0
1.14859,1.43708,0
1.15276,1.43449,0
1.15842,1.43089,0
1.163,1.4279,0
1.16479,1.42672,0
1.16663,1.42545,0
1.17111,1.422,0
1.17563,1.41846,0
1.17745,1.41701,0
1.17958,1.4153,0
1.18204,1.4133,0
1.18784,1.40852,0
1.19442,1.40294,0
1.19662,1.40105,0
1.19887,1.3991,0
1.20491,1.39376,0
1.20728,1.39164,0
1.2098,1.38935,0
1.21404,1.38547,0
1.22088,1.37908,0
1.22345,1.37664,0
1.22643,1.37378,0
1.22938,1.37092,0
1.23361,1.36677,0
1.23757,1.36262,0
1.24043,1.35952,0
1.24432,1.35525,0
1.24764,1.35156,0
1.25039,1.34848,0
1.25555,1.34264,0
1.26152,1.33576,0
1.26393,1.33296,0
1.26648,1.32996,0
1.27335,1.3218,0
1.27834,1.31578,0
1.28141,1.31202,0
1.28416,1.30864,0
1.28818,1.30365,0
