# 20240927_195706
alpha,tauRe,tauIm
0.44498,99.4681,0
0.446553,99.4112,0
0.448125,99.3538,0
0.449697,99.2959,0
0.45127,99.2375,0
0.452842,99.1786,0
0.454415,99.1192,0
0.455987,99.0592,0
0.457559,98.9988,0
0.459132,98.9378,0
0.460704,98.8762,0
0.462276,98.8142,0
0.463849,98.7516,0
0.465421,98.6885,0
0.466994,98.6248,0
0.468566,98.5606,0
0.470138,98.4959,0
0.471711,98.4306,0
0.473283,98.3649,0
0.474855,98.2985,0
0.476428,98.2316,0
0.478,98.1642,0
0.479572,98.0963,0
0.481145,98.0277,0
0.482717,97.9587,0
0.48429,97.8891,0
0.485862,97.8189,0
0.487434,97.7482,0
0.489007,97.677,0
0.490579,97.6052,0
0.492151,97.5328,0
0.493724,97.4599,0
0.495296,97.3864,0
0.496869,97.3124,0
0.498441,97.2378,0
0.500013,97.1627,0
0.501586,97.087,0
0.503158,97.0107,0
0.50473,96.9339,0
0.506303,96.8565,0
0.507875,96.7785,0
0.509447,96.7,0
0.51102,96.6209,0
0.512592,96.5413,0
0.514165,96.4611,0
0.515737,96.3803,0
0.517309,96.299,0
0.518882,96.217,0
0.520454,96.1346,0
0.522026,96.0515,0
0.523599,95.9679,0
0.525171,95.8837,0
0.526744,95.7989,0
0.528316,95.7136,0
0.529888,95.6277,0
0.531461,95.5412,0
0.533033,95.4541,0
0.534605,95.3665,0
0.536178,95.2783,0
0.53775,95.1895,0
0.539322,95.1001,0
0.540895,95.0102,0
0.542467,94.9197,0
0.54404,94.8286,0
0.545612,94.7369,0
0.547184,94.6447,0
0.548757,94.5519,0
0.550329,94.4585,0
0.551901,94.3645,0
0.553474,94.2699,0
0.555046,94.1748,0
0.556619,94.0791,0
0.558191,93.9828,0
0.559763,93.886,0
0.561336,93.7885,0
0.562908,93.6905,0
0.56448,93.5919,0
0.566053,93.4927,0
0.567625,93.3929,0
0.569197,93.2926,0
0.57077,93.1917,0
0.572342,93.0902,0
0.573915,92.9881,0
0.575487,92.8854,0
0.577059,92.7822,0
0.578632,92.6784,0
0.580204,92.574,0
0.581776,92.469,0
0.583349,92.3635,0
0.584921,92.2573,0
0.586494,92.1506,0
0.588066,92.0433,0
0.589638,91.9354,0
0.591211,91.827,0
0.592783,91.718,0
0.594355,91.6084,0
0.595928,91.4982,0
0.5975,91.3874,0
0.599072,91.2761,0
0.600645,91.1642,0
