# 20240725_151038
alpha,pi0Re,pi0Im
0.400954,0.115401,0
0.402526,0.115526,0
0.404099,0.115651,0
0.405671,0.115776,0
0.407243,0.115901,0
0.408816,0.116026,0
0.410388,0.116151,0
0.411961,0.116275,0
0.413533,0.116399,0
0.415105,0.116523,0
0.416678,0.116646,0
0.41825,0.116769,0
0.419822,0.116893,0
0.421395,0.117017,0
0.422967,0.117141,0
0.42454,0.117265,0
0.426112,0.11739,0
0.427684,0.117515,0
0.429257,0.11764,0
0.430829,0.117766,0
0.432401,0.117891,0
0.433974,0.118016,0
0.435546,0.118142,0
0.437118,0.118267,0
0.438691,0.118393,0
0.440263,0.118518,0
0.441836,0.118643,0
0.443408,0.118768,0
0.44498,0.118892,0
0.446553,0.119017,0
0.448125,0.119141,0
0.449697,0.119264,0
0.45127,0.119387,0
0.452842,0.11951,0
0.454415,0.119632,0
0.455987,0.119754,0
0.457559,0.119875,0
0.459132,0.119995,0
0.460704,0.120115,0
0.462276,0.120235,0
0.463849,0.120354,0
0.465421,0.120474,0
0.466994,0.120593,0
0.468566,0.120713,0
0.470138,0.120832,0
0.471711,0.120952,0
0.473283,0.121071,0
0.474855,0.12119,0
0.476428,0.121308,0
0.478,0.121427,0
0.479572,0.121545,0
0.481145,0.121662,0
0.482717,0.121779,0
0.48429,0.121896,0
0.485862,0.122012,0
0.487434,0.122127,0
0.489007,0.122242,0
0.490579,0.122356,0
0.492151,0.122469,0
0.493724,0.122582,0
0.495296,0.122693,0
0.496869,0.122804,0
0.498441,0.122914,0
0.500013,0.123023,0
0.501586,0.123131,0
0.503158,0.123238,0
0.50473,0.123344,0
0.506303,0.123449,0
0.507875,0.123553,0
0.509447,0.123658,0
0.51102,0.123762,0
0.512592,0.123866,0
0.514165,0.123969,0
0.515737,0.124071,0
0.517309,0.124173,0
0.518882,0.124274,0
0.520454,0.124374,0
0.522026,0.124474,0
0.523599,0.124572,0
0.525171,0.124668,0
0.526744,0.124764,0
0.528316,0.124858,0
0.529888,0.124951,0
0.531461,0.125043,0
0.533033,0.125132,0
0.534605,0.125221,0
0.536178,0.125307,0
0.53775,0.125391,0
0.539322,0.125474,0
0.540895,0.125556,0
0.542467,0.125639,0
0.54404,0.12572,0
0.545612,0.125802,0
0.547184,0.125882,0
0.548757,0.125962,0
0.550329,0.126041,0
0.551901,0.126119,0
0.553474,0.126196,0
0.555046,0.126271,0
0.556619,0.126345,0
0.558191,0.126417,0
0.559763,0.126487,0
0.561336,0.126556,0
0.562908,0.126622,0
0.56448,0.126687,0
0.566053,0.126749,0
0.567625,0.126808,0
0.569197,0.126865,0
0.57077,0.126919,0
0.572342,0.126971,0
0.573915,0.127021,0
0.575487,0.127071,0
0.577059,0.12712,0
0.578632,0.127169,0
0.580204,0.127217,0
0.581776,0.127264,0
0.583349,0.127309,0
0.584921,0.127353,0
0.586494,0.127396,0
0.588066,0.127437,0
0.589638,0.127475,0
0.591211,0.127512,0
0.592783,0.127547,0
0.594355,0.127579,0
0.595928,0.127608,0
0.5975,0.127635,0
0.599072,0.127659,0
0.600645,0.12768,0
0.602217,0.127699,0
0.60379,0.127718,0
0.605362,0.127736,0
0.606934,0.127753,0
0.608507,0.127768,0
0.610079,0.12778,0
0.611651,0.127788,0
0.613224,0.127792,0
0.614796,0.127792,0
0.616369,0.12779,0
0.617941,0.127786,0
0.619513,0.127782,0
0.621086,0.127776,0
0.622658,0.12777,0
0.62423,0.127762,0
0.625803,0.127754,0
0.627375,0.127745,0
0.628947,0.127735,0
0.63052,0.127719,0
0.632092,0.1277,0
0.633665,0.127675,0
0.635237,0.127648,0
0.636809,0.127617,0
0.638382,0.127583,0
0.639954,0.127547,0
0.641526,0.127509,0
0.643099,0.12747,0
0.644671,0.12743,0
0.646244,0.127389,0
0.647816,0.127346,0
0.649388,0.127299,0
0.650961,0.127248,0
0.652533,0.127194,0
0.654105,0.127136,0
0.655678,0.127074,0
