# 20240725_151038
alpha,chiRe,chiIm
0,0.0113156,0
0.00157237,0.0113151,0
0.00314474,0.0113146,0
0.00471711,0.011314,0
0.00628947,0.0113132,0
0.00786184,0.0113124,0
0.00943421,0.0113116,0
0.0110066,0.0113106,0
0.0125789,0.0113096,0
0.0141513,0.0113085,0
0.0157237,0.0113074,0
0.0172961,0.0113061,0
0.0188684,0.0113048,0
0.0204408,0.0113034,0
0.0220132,0.0113019,0
0.0235855,0.0113004,0
0.0251579,0.0112987,0
0.0267303,0.0112969,0
0.0283026,0.011295,0
0.029875,0.011293,0
0.0314474,0.011291,0
0.0330197,0.0112888,0
0.0345921,0.0112866,0
0.0361645,0.0112843,0
0.0377368,0.0112819,0
0.0393092,0.0112794,0
0.0408816,0.0112768,0
0.042454,0.0112741,0
0.0440263,0.0112714,0
0.0455987,0.0112686,0
0.0471711,0.0112657,0
0.0487434,0.0112627,0
0.0503158,0.0112597,0
0.0518882,0.0112566,0
0.0534605,0.0112534,0
0.0550329,0.0112501,0
0.0566053,0.0112468,0
0.0581776,0.0112434,0
0.05975,0.0112399,0
0.0613224,0.0112364,0
0.0628947,0.0112328,0
0.0644671,0.0112291,0
0.0660395,0.0112254,0
0.0676119,0.0112216,0
0.0691842,0.0112178,0
0.0707566,0.0112139,0
0.072329,0.01121,0
0.0739013,0.011206,0
0.0754737,0.0112019,0
0.0770461,0.0111978,0
0.0786184,0.0111937,0
0.0801908,0.0111895,0
0.0817632,0.0111852,0
0.0833355,0.0111809,0
0.0849079,0.0111766,0
0.0864803,0.0111722,0
0.0880526,0.0111677,0
0.089625,0.0111631,0
0.0911974,0.0111583,0
0.0927698,0.0111534,0
0.0943421,0.0111484,0
0.0959145,0.0111433,0
0.0974869,0.011138,0
0.0990592,0.0111326,0
0.100632,0.0111271,0
0.102204,0.0111214,0
0.103776,0.0111157,0
0.105349,0.0111098,0
0.106921,0.0111037,0
0.108493,0.0110976,0
0.110066,0.0110913,0
0.111638,0.0110849,0
0.113211,0.0110784,0
0.114783,0.0110718,0
0.116355,0.011065,0
0.117928,0.0110582,0
0.1195,0.0110512,0
0.121072,0.0110441,0
0.122645,0.0110368,0
0.124217,0.0110295,0
0.125789,0.0110221,0
0.127362,0.0110145,0
0.128934,0.0110068,0
0.130507,0.010999,0
0.132079,0.0109911,0
0.133651,0.0109831,0
0.135224,0.010975,0
0.136796,0.0109667,0
0.138368,0.0109584,0
0.139941,0.0109499,0
0.141513,0.0109414,0
0.143086,0.0109327,0
0.144658,0.0109239,0
0.14623,0.0109151,0
0.147803,0.0109061,0
0.149375,0.010897,0
0.150947,0.0108878,0
0.15252,0.0108785,0
0.154092,0.0108691,0
0.155665,0.0108597,0
0.157237,0.0108501,0
0.158809,0.0108404,0
0.160382,0.0108306,0
0.161954,0.0108207,0
0.163526,0.0108107,0
0.165099,0.0108007,0
0.166671,0.0107905,0
0.168243,0.0107802,0
0.169816,0.0107699,0
0.171388,0.0107594,0
0.172961,0.0107489,0
0.174533,0.0107383,0
0.176105,0.0107275,0
0.177678,0.0107167,0
0.17925,0.0107058,0
0.180822,0.0106948,0
0.182395,0.0106838,0
0.183967,0.0106726,0
0.18554,0.0106613,0
0.187112,0.01065,0
0.188684,0.0106386,0
0.190257,0.0106271,0
0.191829,0.0106155,0
0.193401,0.0106038,0
0.194974,0.0105921,0
0.196546,0.0105803,0
0.198118,0.0105684,0
0.199691,0.0105564,0
0.201263,0.0105443,0
0.202836,0.0105322,0
0.204408,0.0105199,0
0.20598,0.0105076,0
0.207553,0.0104953,0
0.209125,0.0104828,0
0.210697,0.0104703,0
0.21227,0.0104577,0
0.213842,0.0104451,0
0.215415,0.0104323,0
0.216987,0.0104195,0
0.218559,0.0104066,0
0.220132,0.0103937,0
0.221704,0.0103807,0
0.223276,0.0103676,0
0.224849,0.0103545,0
0.226421,0.0103413,0
0.227993,0.010328,0
0.229566,0.0103146,0
0.231138,0.0103012,0
0.232711,0.0102878,0
0.234283,0.0102742,0
0.235855,0.0102606,0
0.237428,0.010247,0
0.239,0.0102333,0
0.240572,0.0102195,0
0.242145,0.0102057,0
0.243717,0.0101916,0
0.24529,0.0101772,0
0.246862,0.0101625,0
0.248434,0.0101476,0
0.250007,0.0101323,0
0.251579,0.0101168,0
0.253151,0.010101,0
0.254724,0.0100849,0
0.256296,0.0100685,0
0.257868,0.0100519,0
0.259441,0.0100349,0
