# 20240927_201024
alpha,DrRe,DrIm
0,113.224,0
0.00157237,113.275,0
0.00314474,113.324,0
0.00471711,113.364,0
0.00628947,113.398,0
0.00786184,113.428,0
0.00943421,113.453,0
0.0110066,113.475,0
0.0125789,113.494,0
0.0141513,113.509,0
0.0157237,113.523,0
0.0172961,113.535,0
0.0188684,113.545,0
0.0204408,113.554,0
0.0220132,113.562,0
0.0235855,113.569,0
0.0251579,113.575,0
0.0267303,113.582,0
0.0283026,113.588,0
0.029875,113.595,0
0.0314474,113.601,0
0.0330197,113.608,0
0.0345921,113.615,0
0.0361645,113.622,0
0.0377368,113.63,0
0.0393092,113.638,0
0.0408816,113.647,0
0.042454,113.657,0
0.0440263,113.667,0
0.0455987,113.678,0
0.0471711,113.689,0
0.0487434,113.702,0
0.0503158,113.714,0
0.0518882,113.728,0
0.0534605,113.742,0
0.0550329,113.757,0
0.0566053,113.772,0
0.0581776,113.788,0
0.05975,113.804,0
0.0613224,113.821,0
0.0628947,113.839,0
0.0644671,113.857,0
0.0660395,113.876,0
0.0676119,113.895,0
0.0691842,113.914,0
0.0707566,113.934,0
0.072329,113.954,0
0.0739013,113.975,0
0.0754737,113.996,0
0.0770461,114.018,0
0.0786184,114.039,0
0.0801908,114.062,0
0.0817632,114.084,0
0.0833355,114.107,0
0.0849079,114.13,0
0.0864803,114.153,0
0.0880526,114.177,0
0.089625,114.201,0
0.0911974,114.225,0
0.0927698,114.249,0
0.0943421,114.274,0
0.0959145,114.299,0
0.0974869,114.324,0
0.0990592,114.349,0
0.100632,114.375,0
0.102204,114.401,0
0.103776,114.427,0
0.105349,114.453,0
0.106921,114.48,0
0.108493,114.506,0
0.110066,114.533,0
0.111638,114.561,0
0.113211,114.588,0
0.114783,114.616,0
0.116355,114.644,0
0.117928,114.672,0
0.1195,114.701,0
0.121072,114.73,0
0.122645,114.759,0
0.124217,114.789,0
0.125789,114.818,0
0.127362,114.848,0
0.128934,114.879,0
0.130507,114.909,0
0.132079,114.94,0
0.133651,114.971,0
0.135224,115.003,0
0.136796,115.035,0
0.138368,115.067,0
0.139941,115.099,0
0.141513,115.132,0
0.143086,115.165,0
0.144658,115.198,0
0.14623,115.232,0
0.147803,115.265,0
0.149375,115.3,0
0.150947,115.334,0
0.15252,115.369,0
0.154092,115.404,0
0.155665,115.439,0
0.157237,115.475,0
0.158809,115.511,0
