# 20240927_201024
alpha,DrRe,DrIm
0,113.224,0
0.00314989,113.324,0
0.00629978,113.399,0
0.00944968,113.454,0
0.0125996,113.494,0
0.0157495,113.523,0
0.0188994,113.545,0
0.0220492,113.562,0
0.0251991,113.576,0
0.028349,113.588,0
0.0314989,113.601,0
0.0346488,113.615,0
0.0377987,113.63,0
0.0409486,113.648,0
0.0440985,113.668,0
0.0472484,113.69,0
0.0503983,113.715,0
0.0535482,113.743,0
0.0566981,113.773,0
0.059848,113.805,0
0.0629978,113.84,0
0.0661477,113.877,0
0.0692976,113.916,0
0.0724475,113.956,0
0.0755974,113.998,0
0.0787473,114.041,0
0.0818972,114.086,0
0.0850471,114.132,0
0.088197,114.179,0
0.0913469,114.227,0
0.0944968,114.276,0
0.0976467,114.326,0
0.100797,114.377,0
0.103946,114.429,0
0.107096,114.482,0
0.110246,114.536,0
0.113396,114.592,0
0.116546,114.648,0
0.119696,114.705,0
0.122846,114.763,0
0.125996,114.822,0
0.129146,114.883,0
0.132295,114.944,0
0.135445,115.007,0
0.138595,115.071,0
0.141745,115.137,0
0.144895,115.203,0
0.148045,115.271,0
0.151195,115.34,0
0.154345,115.41,0
0.157495,115.481,0
0.160645,115.553,0
0.163794,115.626,0
0.166944,115.7,0
0.170094,115.775,0
0.173244,115.851,0
0.176394,115.928,0
0.179544,116.005,0
0.182694,116.082,0
0.185844,116.161,0
0.188994,116.239,0
0.192143,116.318,0
0.195293,116.396,0
0.198443,116.475,0
0.201593,116.553,0
0.204743,116.632,0
0.207893,116.709,0
0.211043,116.787,0
0.214193,116.863,0
0.217343,116.939,0
0.220492,117.014,0
0.223642,117.088,0
0.226792,117.161,0
0.229942,117.233,0
0.233092,117.303,0
0.236242,117.372,0
0.239392,117.44,0
0.242542,117.505,0
0.245692,117.569,0
0.248842,117.631,0
0.251991,117.692,0
0.255141,117.75,0
0.258291,117.806,0
0.261441,117.859,0
0.264591,117.911,0
0.267741,117.96,0
0.270891,118.006,0
0.274041,118.05,0
0.277191,118.091,0
0.28034,118.129,0
0.28349,118.165,0
0.28664,118.197,0
0.28979,118.226,0
0.29294,118.253,0
0.29609,118.276,0
0.29924,118.295,0
0.30239,118.311,0
0.30554,118.324,0
0.308689,118.333,0
0.311839,118.338,0
0.314989,118.339,0
0.318139,118.336,0
0.321289,118.329,0
0.324439,118.318,0
0.327589,118.303,0
0.330739,118.283,0
0.333889,118.259,0
0.337038,118.229,0
0.340188,118.195,0
0.343338,118.157,0
0.346488,118.113,0
0.349638,118.063,0
0.352788,118.009,0
0.355938,117.949,0
0.359088,117.883,0
0.362238,117.812,0
0.365388,117.735,0
0.368537,117.652,0
0.371687,117.563,0
0.374837,117.468,0
0.377987,117.366,0
0.381137,117.258,0
0.384287,117.143,0
0.387437,117.022,0
0.390587,116.894,0
0.393737,116.758,0
0.396886,116.616,0
0.400036,116.467,0
0.403186,116.311,0
0.406336,116.147,0
0.409486,115.976,0
0.412636,115.798,0
0.415786,115.612,0
0.418936,115.418,0
0.422086,115.217,0
0.425235,115.008,0
0.428385,114.791,0
0.431535,114.566,0
0.434685,114.334,0
0.437835,114.093,0
0.440985,113.844,0
0.444135,113.588,0
0.447285,113.323,0
0.450435,113.05,0
0.453585,112.77,0
0.456734,112.481,0
0.459884,112.183,0
0.463034,111.878,0
0.466184,111.564,0
0.469334,111.243,0
0.472484,110.913,0
0.475634,110.574,0
0.478784,110.228,0
0.481934,109.873,0
0.485083,109.51,0
0.488233,109.139,0
0.491383,108.759,0
0.494533,108.371,0
0.497683,107.975,0
0.500833,107.57,0
0.503983,107.158,0
0.507133,106.736,0
0.510283,106.307,0
0.513432,105.869,0
0.516582,105.423,0
0.519732,104.968,0
0.522882,104.505,0
0.526032,104.034,0
0.529182,103.554,0
0.532332,103.066,0
0.535482,102.569,0
0.538632,102.063,0
0.541781,101.549,0
0.544931,101.027,0
0.548081,100.496,0
0.551231,99.9559,0
0.554381,99.4075,0
0.557531,98.8503,0
0.560681,98.2844,0
0.563831,97.7096,0
0.566981,97.1261,0
0.570131,96.5338,0
0.57328,95.9326,0
0.57643,95.3225,0
0.57958,94.7035,0
0.58273,94.0755,0
0.58588,93.4387,0
0.58903,92.7928,0
0.59218,92.1379,0
0.59533,91.4741,0
0.59848,90.8013,0
0.601629,90.1195,0
0.604779,89.4287,0
0.607929,88.729,0
0.611079,88.0203,0
0.614229,87.3027,0
0.617379,86.5761,0
0.620529,85.8408,0
0.623679,85.0966,0
0.626829,84.3437,0
0.629978,83.582,0
0.633128,82.8117,0
0.636278,82.0329,0
0.639428,81.2456,0
0.642578,80.4499,0
0.645728,79.6459,0
0.648878,78.8336,0
0.652028,78.0133,0
0.655178,77.185,0
0.658328,76.3488,0
0.661477,75.5049,0
0.664627,74.6534,0
0.667777,73.7943,0
0.670927,72.928,0
0.674077,72.0545,0
0.677227,71.1739,0
0.680377,70.2865,0
0.683527,69.3924,0
0.686677,68.4916,0
0.689826,67.5845,0
0.692976,66.6712,0
0.696126,65.7518,0
0.699276,64.8265,0
0.702426,63.8954,0
0.705576,62.9588,0
0.708726,62.0169,0
0.711876,61.0697,0
0.715026,60.1174,0
0.718175,59.1603,0
0.721325,58.1985,0
0.724475,57.2322,0
0.727625,56.2614,0
0.730775,55.2864,0
0.733925,54.3074,0
0.737075,53.3245,0
0.740225,52.3378,0
0.743375,51.3476,0
0.746525,50.3539,0
0.749674,49.3569,0
0.752824,48.3568,0
0.755974,47.3537,0
0.759124,46.3478,0
0.762274,45.3392,0
0.765424,44.328,0
0.768574,43.3144,0
0.771724,42.2985,0
0.774874,41.2806,0
0.778023,40.2607,0
0.781173,39.2389,0
0.784323,38.2155,0
0.787473,37.1906,0
0.790623,36.1644,0
0.793773,35.137,0
0.796923,34.1086,0
0.800073,33.0793,0
0.803223,32.0495,0
0.806372,31.0192,0
0.809522,29.9886,0
0.812672,28.958,0
0.815822,27.9276,0
0.818972,26.8975,0
0.822122,25.8682,0
0.825272,24.8397,0
0.828422,23.8123,0
0.831572,22.7864,0
0.834722,21.7621,0
0.837871,20.7399,0
0.841021,19.7199,0
0.844171,18.7026,0
0.847321,17.6882,0
0.850471,16.677,0
0.853621,15.6695,0
0.856771,14.6659,0
0.859921,13.6667,0
0.863071,12.6721,0
0.86622,11.6827,0
0.86937,10.6988,0
0.87252,9.72075,0
0.87567,8.749,0
0.87882,7.78394,0
0.88197,6.82601,0
0.88512,5.8756,0
0.88827,4.93313,0
0.89142,3.99902,0
0.894569,3.07369,0
0.897719,2.15754,0
0.900869,1.25098,0
0.904019,0.354408,0
0.907169,-0.531775,0
0.910319,-1.40719,0
0.913469,-2.27146,0
0.916619,-3.12422,0
0.919769,-3.96513,0
0.922918,-4.79384,0
0.926068,-5.61003,0
0.929218,-6.41341,0
0.932368,-7.20367,0
0.935518,-7.98057,0
0.938668,-8.74384,0
0.941818,-9.49326,0
0.944968,-10.2286,0
0.948118,-10.9497,0
0.951268,-11.6564,0
0.954417,-12.3486,0
0.957567,-13.026,0
0.960717,-13.6887,0
0.963867,-14.3366,0
0.967017,-14.9695,0
0.970167,-15.5876,0
0.973317,-16.1906,0
0.976467,-16.7787,0
0.979617,-17.3519,0
0.982766,-17.9103,0
0.985916,-18.4538,0
0.989066,-18.9826,0
0.992216,-19.4967,0
0.995366,-19.9963,0
0.998516,-20.4815,0
1.00167,-20.9524,0
1.00482,-21.4091,0
1.00797,-21.8518,0
1.01112,-22.2806,0
1.01427,-22.6958,0
1.01742,-23.0974,0
1.02057,-23.4855,0
1.02372,-23.8605,0
1.02686,-24.2224,0
1.03001,-24.5713,0
1.03316,-24.9075,0
1.03631,-25.231,0
1.03946,-25.5421,0
1.04261,-25.8408,0
1.04576,-26.1274,0
1.04891,-26.4018,0
1.05206,-26.6643,0
1.05521,-26.915,0
1.05836,-27.1539,0
1.06151,-27.3811,0
1.06466,-27.5969,0
1.06781,-27.8012,0
1.07096,-27.9941,0
1.07411,-28.1758,0
1.07726,-28.3462,0
1.08041,-28.5056,0
1.08356,-28.6539,0
1.08671,-28.7913,0
1.08986,-28.9178,0
1.09301,-29.0335,0
1.09616,-29.1386,0
1.09931,-29.2331,0
1.10246,-29.3171,0
1.10561,-29.3908,0
