# 20240927_201024
alpha,rRe,rIm
0.411961,47.8949,0
0.413533,48.0772,0
0.415105,48.2593,0
0.416678,48.4413,0
0.41825,48.6231,0
0.419822,48.8048,0
0.421395,48.9863,0
0.422967,49.1676,0
0.42454,49.3488,0
0.426112,49.5298,0
0.427684,49.7107,0
0.429257,49.8913,0
0.430829,50.0718,0
0.432401,50.2522,0
0.433974,50.4323,0
0.435546,50.6123,0
0.437118,50.792,0
0.438691,50.9716,0
0.440263,51.151,0
0.441836,51.3302,0
0.443408,51.5092,0
0.44498,51.688,0
0.446553,51.8665,0
0.448125,52.0449,0
0.449697,52.223,0
0.45127,52.401,0
0.452842,52.5787,0
0.454415,52.7562,0
0.455987,52.9334,0
0.457559,53.1105,0
0.459132,53.2873,0
0.460704,53.4638,0
0.462276,53.6401,0
0.463849,53.8162,0
0.465421,53.992,0
0.466994,54.1676,0
0.468566,54.343,0
0.470138,54.518,0
0.471711,54.6928,0
0.473283,54.8674,0
0.474855,55.0417,0
0.476428,55.2157,0
0.478,55.3894,0
0.479572,55.5629,0
0.481145,55.7361,0
0.482717,55.909,0
0.48429,56.0816,0
0.485862,56.254,0
0.487434,56.426,0
0.489007,56.5978,0
0.490579,56.7692,0
0.492151,56.9404,0
0.493724,57.1112,0
0.495296,57.2817,0
0.496869,57.452,0
0.498441,57.6219,0
0.500013,57.7915,0
0.501586,57.9608,0
0.503158,58.1297,0
0.50473,58.2983,0
0.506303,58.4666,0
0.507875,58.6346,0
0.509447,58.8022,0
0.51102,58.9695,0
0.512592,59.1364,0
0.514165,59.303,0
0.515737,59.4693,0
0.517309,59.6352,0
0.518882,59.8007,0
0.520454,59.9659,0
0.522026,60.1307,0
0.523599,60.2951,0
0.525171,60.4592,0
0.526744,60.6229,0
0.528316,60.7863,0
0.529888,60.9492,0
0.531461,61.1118,0
0.533033,61.274,0
0.534605,61.4358,0
0.536178,61.5972,0
0.53775,61.7582,0
0.539322,61.9188,0
0.540895,62.079,0
0.542467,62.2388,0
0.54404,62.3982,0
0.545612,62.5572,0
0.547184,62.7157,0
0.548757,62.8739,0
0.550329,63.0316,0
0.551901,63.1889,0
0.553474,63.3458,0
0.555046,63.5022,0
0.556619,63.6582,0
0.558191,63.8138,0
0.559763,63.9689,0
0.561336,64.1236,0
0.562908,64.2778,0
0.56448,64.4316,0
0.566053,64.5849,0
0.567625,64.7378,0
0.569197,64.8902,0
0.57077,65.0422,0
0.572342,65.1936,0
0.573915,65.3446,0
0.575487,65.4952,0
0.577059,65.6452,0
0.578632,65.7948,0
0.580204,65.9438,0
0.581776,66.0924,0
0.583349,66.2405,0
0.584921,66.3881,0
0.586494,66.5352,0
0.588066,66.6818,0
0.589638,66.8279,0
0.591211,66.9735,0
0.592783,67.1185,0
0.594355,67.2631,0
0.595928,67.4071,0
0.5975,67.5506,0
0.599072,67.6936,0
0.600645,67.836,0
0.602217,67.978,0
0.60379,68.1193,0
0.605362,68.2602,0
0.606934,68.4005,0
0.608507,68.5402,0
0.610079,68.6794,0
0.611651,68.818,0
0.613224,68.9561,0
0.614796,69.0936,0
0.616369,69.2306,0
0.617941,69.3669,0
0.619513,69.5027,0
0.621086,69.638,0
0.622658,69.7726,0
0.62423,69.9067,0
0.625803,70.0402,0
0.627375,70.1731,0
0.628947,70.3054,0
0.63052,70.4371,0
0.632092,70.5682,0
0.633665,70.6987,0
0.635237,70.8286,0
0.636809,70.9579,0
0.638382,71.0866,0
0.639954,71.2146,0
0.641526,71.3421,0
0.643099,71.4689,0
0.644671,71.5951,0
0.646244,71.7206,0
0.647816,71.8456,0
0.649388,71.9699,0
0.650961,72.0935,0
0.652533,72.2165,0
