# 20250121_121602
# primespec:	Data/spec_real_constfield_varm/spec_20250121_120116_58/spectr.txt
# qmax:	3
# ma:	0.994747
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.477263
# [=>] Eabc:	0.497373
# B:	1
# Q:	1
p,finalspecRe,finalspecIm
0,63.6131,0
0.0100503,63.6545,0
0.0201005,63.8021,0
0.0301508,63.9545,0
0.040201,64.1367,0
0.0502513,64.3726,0
0.0603015,64.6418,0
0.0703518,64.9619,0
0.080402,65.3305,0
0.0904523,65.7343,0
0.100503,66.1783,0
0.110553,66.6832,0
0.120603,67.1679,0
0.130653,67.7754,0
0.140704,68.3673,0
0.150754,69.0307,0
0.160804,69.6993,0
0.170854,70.3995,0
0.180905,71.1358,0
0.190955,71.9236,0
0.201005,72.7293,0
0.211055,73.5183,0
0.221106,74.313,0
0.231156,75.144,0
0.241206,76.0562,0
0.251256,76.9534,0
0.261307,77.8137,0
0.271357,78.6447,0
0.281407,79.5522,0
0.291457,80.4048,0
0.301508,81.426,0
0.311558,82.343,0
0.321608,83.3849,0
0.331658,84.3031,0
0.341709,85.4452,0
0.351759,86.4067,0
0.361809,87.4174,0
0.371859,88.5838,0
0.38191,89.5402,0
0.39196,90.7721,0
0.40201,92.2765,0
0.41206,94.0043,0
0.422111,95.7213,0
0.432161,97.0898,0
0.442211,97.3621,0
0.452261,95.6389,0
0.462312,91.4975,0
0.472362,84.9314,0
0.482412,76.5041,0
0.492462,67.0408,0
0.502513,57.6556,0
0.512563,49.0382,0
0.522613,41.8445,0
0.532663,36.0987,0
0.542714,32.4166,0
0.552764,28.113,0
0.562814,25.1976,0
0.572864,22.8016,0
0.582915,20.7927,0
0.592965,19.0576,0
0.603015,17.5174,0
0.613065,15.974,0
0.623116,14.7431,0
0.633166,13.5869,0
0.643216,12.5512,0
0.653266,11.5753,0
0.663317,10.7405,0
0.673367,9.96763,0
0.683417,9.29778,0
0.693467,8.6415,0
0.703518,8.02826,0
0.713568,7.50837,0
0.723618,7.00459,0
0.733668,6.54392,0
0.743719,6.11847,0
0.753769,5.71658,0
0.763819,5.38418,0
0.773869,5.06321,0
0.78392,4.74667,0
0.79397,4.46017,0
0.80402,4.20138,0
0.81407,3.97023,0
0.824121,3.75007,0
0.834171,3.52091,0
0.844221,3.31553,0
0.854271,3.11565,0
0.864322,2.95277,0
0.874372,2.78162,0
0.884422,2.62801,0
0.894472,2.47684,0
0.904523,2.34768,0
0.914573,2.22104,0
0.924623,2.10165,0
0.934673,1.98602,0
0.944724,1.88985,0
0.954774,1.79632,0
0.964824,1.70575,0
0.974874,1.61945,0
0.984925,1.53868,0
0.994975,1.47168,0
1.00503,1.40071,0
1.01508,1.32834,0
1.02513,1.2641,0
1.03518,1.20494,0
1.04523,1.14844,0
1.05528,1.08707,0
1.06533,1.03551,0
1.07538,0.988112,0
1.08543,0.944851,0
1.09548,0.900583,0
1.10553,0.85726,0
1.11558,0.821016,0
1.12563,0.786946,0
1.13568,0.753613,0
1.14573,0.720887,0
1.15578,0.689654,0
1.16583,0.659262,0
1.17588,0.63376,0
1.18593,0.606865,0
1.19598,0.580325,0
1.20603,0.554753,0
1.21608,0.532294,0
1.22613,0.509698,0
1.23618,0.488392,0
1.24623,0.468426,0
1.25628,0.474235,0
1.26633,0.487685,0
1.27638,0.417116,0
1.28643,0.397942,0
1.29648,0.383909,0
1.30653,0.368632,0
1.31658,0.355732,0
1.32663,0.341135,0
1.33668,0.328336,0
1.34673,0.315329,0
1.35678,0.303101,0
1.36683,0.290847,0
1.37688,0.27974,0
1.38693,0.270225,0
1.39698,0.26,0
1.40704,0.251542,0
1.41709,0.241652,0
1.42714,0.233338,0
1.43719,0.225387,0
1.44724,0.217732,0
1.45729,0.209931,0
1.46734,0.201953,0
1.47739,0.194718,0
1.48744,0.188078,0
1.49749,0.180893,0
1.50754,0.174859,0
1.51759,0.168327,0
1.52764,0.163259,0
1.53769,0.158071,0
1.54774,0.151948,0
1.55779,0.146734,0
1.56784,0.142819,0
1.57789,0.13839,0
1.58794,0.133591,0
1.59799,0.128578,0
1.60804,0.124201,0
1.61809,0.119731,0
1.62814,0.115866,0
1.63819,0.111808,0
1.64824,0.107924,0
1.65829,0.104747,0
1.66834,0.1018,0
1.67839,0.0986274,0
1.68844,0.0954836,0
1.69849,0.0927051,0
1.70854,0.0896952,0
1.71859,0.0869809,0
1.72864,0.0839022,0
1.73869,0.0811808,0
1.74874,0.0787148,0
1.75879,0.0762653,0
1.76884,0.0736194,0
1.77889,0.0712123,0
1.78894,0.0692251,0
1.79899,0.0670484,0
1.80905,0.0651283,0
1.8191,0.0632192,0
1.82915,0.0612026,0
1.8392,0.0596107,0
1.84925,0.0577211,0
1.8593,0.0559946,0
1.86935,0.0539291,0
1.8794,0.0522124,0
1.88945,0.0507997,0
1.8995,0.0492179,0
1.90955,0.0476042,0
1.9196,0.0462112,0
1.92965,0.0450586,0
1.9397,0.0439458,0
1.94975,0.0425617,0
1.9598,0.0413049,0
1.96985,0.0401044,0
1.9799,0.0390956,0
1.98995,0.0377616,0
2,0.0363603,0
