# 20240725_151947
alpha,DpiplusRe,DpiplusIm
0.216987,1.17368,-1.50492
0.218559,1.17626,-1.50556
0.220132,1.17885,-1.5062
0.221704,1.18147,-1.50685
0.223276,1.1841,-1.50751
0.224849,1.18675,-1.50817
0.226421,1.18941,-1.50884
0.227993,1.19211,-1.50951
0.229566,1.19484,-1.51018
0.231138,1.19762,-1.51084
0.232711,1.20043,-1.5115
0.234283,1.20327,-1.51214
0.235855,1.20615,-1.51277
0.237428,1.20906,-1.51338
0.239,1.212,-1.51397
0.240572,1.21497,-1.51454
0.242145,1.21797,-1.5151
0.243717,1.221,-1.51563
0.24529,1.22406,-1.51617
0.246862,1.22717,-1.5167
0.248434,1.23031,-1.51722
0.250007,1.2335,-1.51774
0.251579,1.23671,-1.51824
0.253151,1.23997,-1.51874
0.254724,1.24325,-1.51923
0.256296,1.24657,-1.51971
0.257868,1.24992,-1.52017
0.259441,1.2533,-1.52062
0.261013,1.25675,-1.5211
0.262586,1.26027,-1.52162
0.264158,1.26384,-1.52216
0.26573,1.26746,-1.52269
0.267303,1.2711,-1.52321
0.268875,1.27476,-1.52369
0.270447,1.2784,-1.52411
0.27202,1.28203,-1.52447
0.273592,1.28563,-1.52473
0.275165,1.28918,-1.52489
0.276737,1.2927,-1.52499
0.278309,1.29639,-1.52523
0.279882,1.30023,-1.5256
0.281454,1.30419,-1.52606
0.283026,1.30822,-1.52656
0.284599,1.31229,-1.52706
0.286171,1.31636,-1.52751
0.287743,1.32038,-1.52787
0.289316,1.32432,-1.52808
0.290888,1.32814,-1.52811
0.292461,1.33178,-1.52789
0.294033,1.33544,-1.52766
0.295605,1.33938,-1.52771
0.297178,1.34353,-1.52795
0.29875,1.34785,-1.52834
0.300322,1.35226,-1.5288
0.301895,1.35673,-1.52927
0.303467,1.36118,-1.52969
0.30504,1.36557,-1.52999
0.306612,1.36983,-1.53011
0.308184,1.37391,-1.52999
0.309757,1.37779,-1.5296
0.311329,1.38188,-1.52941
0.312901,1.38625,-1.5295
0.314474,1.39085,-1.52979
0.316046,1.3956,-1.53022
0.317618,1.40044,-1.53071
0.319191,1.4053,-1.53117
0.320763,1.41009,-1.53152
0.322336,1.41473,-1.53168
0.323908,1.41915,-1.53155
0.32548,1.42325,-1.53104
0.327053,1.4276,-1.53078
0.328625,1.43158,-1.53008
0.330197,1.43581,-1.52962
0.33177,1.44027,-1.52937
0.333342,1.44491,-1.52929
0.334915,1.44972,-1.52934
0.336487,1.45463,-1.52948
0.338059,1.45963,-1.52967
0.339632,1.46468,-1.52987
0.341204,1.46972,-1.53004
0.342776,1.47474,-1.53014
0.344349,1.47973,-1.53019
0.345921,1.48459,-1.53007
0.347493,1.48932,-1.52979
0.349066,1.49412,-1.52955
0.350638,1.49898,-1.52934
0.352211,1.50388,-1.52914
0.353783,1.50878,-1.52892
0.355355,1.51366,-1.52865
0.356928,1.51853,-1.52829
0.3585,1.52336,-1.5278
0.360072,1.52818,-1.5272
0.361645,1.53309,-1.52659
0.363217,1.53814,-1.52602
0.36479,1.54331,-1.52548
0.366362,1.5486,-1.52497
0.367934,1.55403,-1.5245
0.369507,1.5596,-1.52407
0.371079,1.5653,-1.52369
0.372651,1.57114,-1.52335
0.374224,1.57713,-1.52306
0.375796,1.58326,-1.52283
0.377368,1.58942,-1.52255
0.378941,1.5955,-1.52209
0.380513,1.6015,-1.52148
0.382086,1.60741,-1.52072
0.383658,1.61325,-1.5198
0.38523,1.61901,-1.51874
0.386803,1.62468,-1.51753
0.388375,1.63026,-1.51616
0.389947,1.63572,-1.51462
0.39152,1.64106,-1.51291
0.393092,1.64629,-1.51103
0.394665,1.652,-1.50954
0.396237,1.65817,-1.50841
0.397809,1.66451,-1.50738
0.399382,1.67075,-1.50619
0.400954,1.67661,-1.50461
0.402526,1.68204,-1.5026
0.404099,1.68794,-1.50095
0.405671,1.69425,-1.49963
0.407243,1.70078,-1.49845
0.408816,1.70727,-1.49719
0.410388,1.71366,-1.49579
0.411961,1.71944,-1.49382
0.413533,1.72557,-1.49212
0.415105,1.732,-1.49063
0.416678,1.73837,-1.48901
0.41825,1.74432,-1.48694
0.419822,1.75014,-1.48469
0.421395,1.75646,-1.48278
0.422967,1.7631,-1.48107
0.42454,1.76989,-1.4794
0.426112,1.77664,-1.47762
0.427684,1.78326,-1.47566
0.429257,1.78992,-1.47364
0.430829,1.79659,-1.47157
0.432401,1.80327,-1.46943
0.433974,1.80995,-1.4672
0.435546,1.8166,-1.46489
0.437118,1.82322,-1.46248
0.438691,1.82976,-1.45994
0.440263,1.83623,-1.45727
0.441836,1.84257,-1.45443
0.443408,1.84877,-1.45142
0.44498,1.85521,-1.44854
0.446553,1.86216,-1.44598
0.448125,1.86923,-1.44346
0.449697,1.87606,-1.44068
0.45127,1.8824,-1.43746
0.452842,1.8889,-1.43431
0.454415,1.89565,-1.43129
0.455987,1.90258,-1.42834
0.457559,1.90959,-1.42539
0.459132,1.9166,-1.42239
0.460704,1.92351,-1.41925
0.462276,1.9304,-1.41604
0.463849,1.93712,-1.41265
0.465421,1.94384,-1.4092
0.466994,1.95097,-1.406
0.468566,1.95792,-1.40261
0.470138,1.96446,-1.39888
0.471711,1.97115,-1.39521
0.473283,1.97796,-1.39157
0.474855,1.98486,-1.3879
0.476428,1.99177,-1.38413
0.478,1.99858,-1.3802
0.479572,2.00537,-1.37615
0.481145,2.01244,-1.3722
0.482717,2.01971,-1.36829
0.48429,2.02711,-1.36439
0.485862,2.03458,-1.36044
0.487434,2.04205,-1.3564
0.489007,2.04944,-1.35222
0.490579,2.05668,-1.34787
