# 20240725_151947
alpha,DpiplusRe,DpiplusIm
1.39469,0.00642325,0.526073
1.39626,0.00536248,0.524392
1.39784,0.00430987,0.52273
1.39941,0.00326527,0.521087
1.40098,0.00222847,0.519457
1.40255,0.00119939,0.517863
1.40413,0.000177775,0.516302
1.4057,-0.000836616,0.514758
1.40727,-0.00184394,0.513232
1.40884,-0.00284437,0.511728
1.41041,-0.00383813,0.51025
1.41199,-0.00482545,0.508801
1.41356,-0.0058066,0.507386
1.41513,-0.00678191,0.50601
1.4167,-0.00775166,0.504673
1.41828,-0.00871614,0.503376
1.41985,-0.00967571,0.502123
1.42142,-0.0106306,0.500909
1.42299,-0.0115808,0.499727
1.42457,-0.012527,0.498587
1.42614,-0.0134696,0.4975
1.42771,-0.0144089,0.49646
1.42928,-0.0153454,0.495471
1.43086,-0.0162793,0.494534
1.43243,-0.0172107,0.493639
1.434,-0.0181413,0.492826
1.43557,-0.019071,0.492077
1.43714,-0.0199991,0.491366
1.43872,-0.0209264,0.490704
1.44029,-0.0218538,0.490103
1.44186,-0.0227821,0.489576
1.44343,-0.0237122,0.489128
1.44501,-0.0246442,0.488752
1.44658,-0.0255784,0.488444
1.44815,-0.026515,0.488201
1.44972,-0.0274542,0.488019
1.4513,-0.0283965,0.487899
1.45287,-0.0293443,0.487876
1.45444,-0.030298,0.487943
1.45601,-0.0312573,0.48809
1.45759,-0.0322233,0.488324
1.45916,-0.0331961,0.488639
1.46073,-0.0341753,0.489023
1.4623,-0.0351634,0.489502
1.46388,-0.0361606,0.490073
1.46545,-0.0371674,0.490733
1.46702,-0.0381846,0.491486
1.46859,-0.0392128,0.492331
1.47016,-0.0402514,0.493257
1.47174,-0.0413067,0.494329
1.47331,-0.0423742,0.495485
1.47488,-0.0434534,0.496714
1.47645,-0.0445462,0.498031
1.47803,-0.0456543,0.499449
1.4796,-0.0467796,0.500982
1.48117,-0.0479229,0.502629
1.48274,-0.0490843,0.504384
1.48432,-0.0502633,0.506242
1.48589,-0.0514584,0.508212
1.48746,-0.0526714,0.510306
1.48903,-0.0539014,0.51251
1.49061,-0.0551493,0.514825
1.49218,-0.0564178,0.517269
1.49375,-0.0577062,0.519828
1.49532,-0.059018,0.522528
1.49689,-0.0603516,0.525347
1.49847,-0.0617099,0.528302
1.50004,-0.0630967,0.531419
1.50161,-0.0645068,0.534647
1.50318,-0.0659347,0.537934
1.50476,-0.0674014,0.541446
1.50633,-0.0689264,0.545328
1.5079,-0.0704978,0.549469
1.50947,-0.0720936,0.553687
1.51105,-0.0736874,0.55778
1.51262,-0.0752799,0.561758
1.51419,-0.0769208,0.565991
1.51576,-0.0786784,0.570962
1.51734,-0.0805544,0.576655
1.51891,-0.0822396,0.580854
1.52048,-0.0844322,0.588487
1.52205,-0.0865609,0.595486
1.52363,-0.0879169,0.597063
1.5252,-0.0890496,0.597108
1.52677,-0.0902126,0.597355
1.52834,-0.09209,0.60227
1.52991,-0.0952226,0.615176
1.53149,-0.0981445,0.626429
1.53306,-0.100209,0.632008
1.53463,-0.102075,0.636216
1.5362,-0.104247,0.642211
1.53778,-0.107015,0.651694
1.53935,-0.110166,0.663267
1.54092,-0.113417,0.675174
1.54249,-0.116585,0.686319
1.54407,-0.119953,0.698385
1.54564,-0.123586,0.711701
1.54721,-0.127424,0.725897
1.54878,-0.131487,0.741045
1.55036,-0.135836,0.757465
1.55193,-0.140477,0.775142
1.5535,-0.145453,0.794269
1.55507,-0.150785,0.814918
1.55665,-0.156469,0.837014
1.55822,-0.162522,0.860603
1.55979,-0.169078,0.886347
1.56136,-0.176094,0.913948
1.56293,-0.183629,0.943655
1.56451,-0.191721,0.975601
1.56608,-0.200433,1.01003
1.56765,-0.209894,1.04751
1.56922,-0.220176,1.08831
1.5708,-0.230504,1.12854
