# 20240725_151947
alpha,piplusRe,piplusIm,DpiplusRe,DpiplusIm
0.66354,0.156972,0.987603,2.67523,-0.425207
0.665112,0.152514,0.988301,2.67837,-0.413325
0.666684,0.148045,0.988981,2.68114,-0.401351
0.668257,0.143563,0.989641,2.68361,-0.389301
0.669829,0.139071,0.990282,2.68599,-0.37721
0.671401,0.134568,0.990904,2.68839,-0.365092
0.672974,0.130054,0.991507,2.69103,-0.352978
0.674546,0.12553,0.99209,2.69273,-0.340713
0.676119,0.120996,0.992653,2.69295,-0.328249
0.677691,0.116453,0.993196,2.69325,-0.315785
0.679263,0.1119,0.99372,2.69528,-0.303507
0.680836,0.107338,0.994223,2.69991,-0.291487
0.682408,0.102767,0.994705,2.70402,-0.279365
0.68398,0.0981886,0.995168,2.7077,-0.267156
0.685553,0.0936014,0.99561,2.70415,-0.254228
0.687125,0.0890008,0.996032,2.70044,-0.241299
0.688697,0.0843857,0.996433,2.70116,-0.228755
0.69027,0.0797563,0.996814,2.70322,-0.216288
0.691842,0.0751132,0.997175,2.70671,-0.203886
0.693415,0.0704569,0.997515,2.70721,-0.191216
0.694987,0.0657876,0.997834,2.70624,-0.178424
0.696559,0.061106,0.998131,2.70554,-0.165634
0.698132,0.0564125,0.998408,2.70615,-0.152904
0.699704,0.0517075,0.998662,2.70702,-0.140161
0.701276,0.0469914,0.998895,2.70755,-0.127372
0.702849,0.0422647,0.999106,2.70787,-0.11455
0.704421,0.0375279,0.999296,2.70805,-0.101699
0.705994,0.0327815,0.999463,2.7086,-0.0888396
0.707566,0.0280258,0.999607,2.70835,-0.0759337
0.709138,0.0232614,0.999729,2.70717,-0.0629897
0.710711,0.0184888,0.999829,2.70544,-0.0500288
0.712283,0.0137083,0.999906,2.70341,-0.0370625
0.713855,0.00892042,0.99996,2.70131,-0.0240977
0.715428,0.00412568,0.999991,2.69937,-0.0111368
0.717,-0.000675472,1,2.69786,0.00182233
0.718572,-0.00548258,0.999985,2.69686,0.014786
0.720145,-0.0102952,0.999947,2.69598,0.0277571
0.721717,-0.0151128,0.999886,2.69481,0.0407306
0.72329,-0.0199349,0.999801,2.69364,0.0537081
0.724862,-0.0247611,0.999693,2.69231,0.0666851
0.726434,-0.0295909,0.999562,2.69085,0.0796596
0.728007,-0.0344239,0.999407,2.68928,0.0926303
0.729579,-0.0392595,0.999229,2.68763,0.105596
0.731151,-0.0440972,0.999027,2.68591,0.118557
0.732724,-0.0489367,0.998802,2.68408,0.131508
0.734296,-0.0537775,0.998553,2.68213,0.144447
0.735869,-0.058619,0.99828,2.68001,0.15737
0.737441,-0.0634607,0.997984,2.67787,0.170283
0.739013,-0.0683024,0.997665,2.67555,0.183174
0.740586,-0.0731463,0.997321,2.67313,0.196055
0.742158,-0.0779985,0.996953,2.67104,0.208974
0.74373,-0.0828586,0.996561,2.6676,0.221796
0.745303,-0.087726,0.996145,2.66335,0.234549
0.746875,-0.0926001,0.995703,2.65861,0.247249
0.748447,-0.0974803,0.995237,2.65364,0.259916
0.75002,-0.102366,0.994747,2.64875,0.272573
0.751592,-0.107257,0.994231,2.64417,0.285251
0.753165,-0.112152,0.993691,2.63993,0.297952
0.754737,-0.11705,0.993126,2.63623,0.310707
0.756309,-0.121952,0.992536,2.63267,0.323475
0.757882,-0.126857,0.991921,2.62872,0.336187
0.759454,-0.131763,0.991281,2.62478,0.348891
0.761026,-0.136671,0.990616,2.62068,0.361563
0.762599,-0.14158,0.989927,2.61643,0.374203
0.764171,-0.146488,0.989212,2.61208,0.386812
0.765744,-0.151397,0.988473,2.60764,0.399391
0.767316,-0.156304,0.987709,2.60308,0.411935
0.768888,-0.16121,0.98692,2.59841,0.424441
0.770461,-0.166113,0.986107,2.59362,0.436905
0.772033,-0.171014,0.985269,2.58872,0.449326
0.773605,-0.175911,0.984406,2.5837,0.461702
0.775178,-0.180805,0.983519,2.57857,0.474032
0.77675,-0.185694,0.982608,2.57331,0.486307
0.778323,-0.190578,0.981672,2.56795,0.498532
0.779895,-0.195456,0.980712,2.56249,0.510705
0.781467,-0.200328,0.979729,2.55693,0.522823
0.78304,-0.205193,0.978721,2.55125,0.534881
0.784612,-0.210051,0.97769,2.54543,0.54687
0.786184,-0.214901,0.976636,2.53954,0.558805
0.787757,-0.219742,0.975558,2.53348,0.57066
0.789329,-0.224574,0.974457,2.52759,0.58251
0.790901,-0.229397,0.973333,2.52068,0.59408
0.792474,-0.234209,0.972186,2.51307,0.605423
0.794046,-0.239011,0.971017,2.50504,0.616603
0.795619,-0.243803,0.969825,2.49685,0.627682
0.797191,-0.248597,0.968607,2.48873,0.638742
0.798763,-0.253393,0.967363,2.48045,0.649732
0.800336,-0.258191,0.966094,2.47212,0.660678
0.801908,-0.26299,0.964799,2.46407,0.67167
0.80348,-0.26779,0.963477,2.45691,0.682874
0.805053,-0.272589,0.962131,2.44956,0.694007
0.806625,-0.277388,0.960758,2.44203,0.705057
0.808198,-0.282186,0.95936,2.43442,0.716061
0.80977,-0.286981,0.957936,2.42669,0.726993
0.811342,-0.291774,0.956487,2.41885,0.737865
0.812915,-0.296563,0.955013,2.41093,0.748673
0.814487,-0.301349,0.953514,2.40289,0.759411
0.816059,-0.30613,0.95199,2.39474,0.770071
0.817632,-0.310905,0.950441,2.38647,0.780657
0.819204,-0.315675,0.948867,2.37812,0.791167
0.820776,-0.320439,0.947269,2.36966,0.801598
0.822349,-0.325195,0.945647,2.3611,0.811949
0.823921,-0.329943,0.944001,2.35244,0.822215
0.825494,-0.334683,0.942331,2.34368,0.832392
0.827066,-0.339414,0.940637,2.33482,0.842482
0.828638,-0.344136,0.93892,2.32587,0.852483
0.830211,-0.348847,0.93718,2.31682,0.86239
0.831783,-0.353547,0.935417,2.30767,0.8722
0.833355,-0.358236,0.933631,2.29843,0.881915
