# 20240927_191909
alpha,DrRe,DrIm
0,25.1608,0
0.00157237,25.1723,0
0.00314474,25.183,0
0.00471711,25.192,0
0.00628947,25.1996,0
0.00786184,25.2062,0
0.00943421,25.2118,0
0.0110066,25.2167,0
0.0125789,25.2208,0
0.0141513,25.2243,0
0.0157237,25.2273,0
0.0172961,25.2299,0
0.0188684,25.2322,0
0.0204408,25.2341,0
0.0220132,25.2359,0
0.0235855,25.2375,0
0.0251579,25.239,0
0.0267303,25.2404,0
0.0283026,25.2418,0
0.029875,25.2432,0
0.0314474,25.2447,0
0.0330197,25.2461,0
0.0345921,25.2477,0
0.0361645,25.2493,0
0.0377368,25.2511,0
0.0393092,25.253,0
0.0408816,25.255,0
0.042454,25.2571,0
0.0440263,25.2594,0
0.0455987,25.2618,0
0.0471711,25.2643,0
0.0487434,25.267,0
0.0503158,25.2699,0
0.0518882,25.2729,0
0.0534605,25.276,0
0.0550329,25.2793,0
0.0566053,25.2827,0
0.0581776,25.2862,0
0.05975,25.2899,0
0.0613224,25.2936,0
0.0628947,25.2975,0
0.0644671,25.3016,0
0.0660395,25.3057,0
0.0676119,25.3099,0
0.0691842,25.3142,0
0.0707566,25.3187,0
0.072329,25.3232,0
0.0739013,25.3278,0
0.0754737,25.3325,0
0.0770461,25.3373,0
0.0786184,25.3421,0
0.0801908,25.347,0
0.0817632,25.352,0
0.0833355,25.3571,0
0.0849079,25.3622,0
0.0864803,25.3674,0
0.0880526,25.3726,0
0.089625,25.3779,0
0.0911974,25.3833,0
0.0927698,25.3887,0
0.0943421,25.3942,0
0.0959145,25.3997,0
0.0974869,25.4053,0
0.0990592,25.4109,0
0.100632,25.4166,0
0.102204,25.4223,0
0.103776,25.4281,0
0.105349,25.434,0
0.106921,25.4399,0
0.108493,25.4458,0
0.110066,25.4519,0
0.111638,25.4579,0
0.113211,25.4641,0
0.114783,25.4702,0
0.116355,25.4765,0
0.117928,25.4828,0
0.1195,25.4891,0
0.121072,25.4955,0
0.122645,25.502,0
0.124217,25.5086,0
0.125789,25.5152,0
0.127362,25.5218,0
0.128934,25.5286,0
0.130507,25.5354,0
0.132079,25.5422,0
0.133651,25.5492,0
0.135224,25.5562,0
0.136796,25.5632,0
0.138368,25.5704,0
0.139941,25.5776,0
0.141513,25.5848,0
0.143086,25.5922,0
0.144658,25.5996,0
0.14623,25.607,0
0.147803,25.6145,0
0.149375,25.6221,0
