# 20240806_163017
q,primespecRe,primespecIm
1.41283,31.0551,0
1.41784,33.9221,0
1.42285,36.0318,0
1.42786,36.8797,0
1.43287,36.9207,0
1.43788,34.5457,0
1.44289,32.2235,0
1.4479,30.2585,0
1.45291,29.7655,0
1.45792,31.2495,0
1.46293,33.3017,0
1.46794,36.204,0
1.47295,37.2281,0
1.47796,36.7394,0
1.48297,35.6452,0
1.48798,32.2121,0
1.49299,29.2404,0
1.498,26.8927,0
1.50301,26.2919,0
1.50802,27.2235,0
1.51303,28.3525,0
1.51804,29.6528,0
1.52305,29.9754,0
1.52806,28.5527,0
1.53307,26.5279,0
1.53808,23.489,0
1.54309,22.2404,0
1.5481,21.9816,0
1.55311,22.1215,0
1.55812,24.4675,0
1.56313,26.6837,0
1.56814,28.3076,0
1.57315,28.6707,0
1.57816,27.3949,0
1.58317,25.767,0
1.58818,23.654,0
1.59319,23.0317,0
1.5982,23.4764,0
1.60321,24.3356,0
1.60822,26.4537,0
1.61323,27.2446,0
1.61824,27.121,0
1.62325,26.644,0
1.62826,23.9728,0
1.63327,21.338,0
1.63828,18.8624,0
1.64329,18.2031,0
1.6483,18.5216,0
1.65331,19.1124,0
1.65832,20.4632,0
1.66333,20.9035,0
1.66834,20.3403,0
1.67335,19.3326,0
1.67836,17.2402,0
1.68337,16.2552,0
1.68838,15.9457,0
1.69339,16.0594,0
1.6984,17.9757,0
1.70341,19.9377,0
1.70842,21.664,0
1.71343,22.0923,0
1.71844,21.3724,0
1.72345,20.2501,0
1.72846,18.3296,0
1.73347,17.6942,0
1.73848,17.6481,0
1.74349,17.8122,0
1.7485,19.3387,0
1.75351,20.0341,0
1.75852,20.1191,0
1.76353,19.9205,0
1.76854,17.9227,0
1.77355,15.8501,0
1.77856,13.7638,0
1.78357,13.2383,0
1.78858,13.4533,0
1.79359,13.9518,0
1.7986,15.4334,0
1.80361,15.953,0
1.80862,15.9023,0
1.81363,15.6237,0
1.81864,14.1157,0
1.82365,13.2018,0
1.82866,12.7607,0
1.83367,12.8087,0
1.83868,14.1773,0
1.84369,15.6296,0
1.8487,17.0456,0
1.85371,17.369,0
1.85872,16.7306,0
1.86373,15.6984,0
1.86874,13.8819,0
1.87375,12.8545,0
1.87876,12.3229,0
1.88377,12.3259,0
1.88878,13.2748,0
1.89379,13.8584,0
1.8988,14.1044,0
1.90381,13.993,0
1.90882,12.6463,0
1.91383,11.2433,0
1.91884,9.80584,0
1.92385,9.49462,0
1.92886,9.88188,0
1.93387,10.5804,0
1.93888,12.0601,0
1.94389,12.8598,0
1.9489,13.1772,0
1.95391,13.096,0
1.95892,12.0456,0
1.96393,11.3069,0
1.96894,10.8452,0
1.97395,10.8622,0
1.97896,11.8445,0
1.98397,12.8972,0
1.98898,13.9756,0
1.99399,14.1852,0
1.999,13.5871,0
2.00401,12.6171,0
2.00902,10.928,0
2.01403,9.81465,0
2.01904,9.08151,0
2.02405,9.01093,0
2.02906,9.62998,0
2.03407,10.0993,0
2.03908,10.4042,0
2.04409,10.3441,0
2.0491,9.40976,0
2.05411,8.42106,0
2.05912,7.3832,0
2.06413,7.19366,0
2.06914,7.60204,0
2.07415,8.2944,0
2.07916,9.62333,0
2.08417,10.3981,0
2.08918,10.7794,0
2.09419,10.7245,0
2.0992,9.85739,0
2.10421,9.13645,0
2.10922,8.55822,0
2.11423,8.51835,0
2.11924,9.14678,0
2.12425,9.84777,0
2.12926,10.6221,0
2.13427,10.742,0
2.13928,10.2122,0
2.14429,9.37614,0
2.1493,8.00111,0
2.15431,7.16882,0
2.15932,6.65451,0
2.16433,6.65303,0
2.16934,7.32706,0
2.17435,7.92884,0
2.17936,8.42875,0
2.18437,8.45438,0
2.18938,7.89072,0
2.19439,7.25359,0
2.1994,6.53399,0
2.20441,6.43132,0
2.20942,6.83884,0
