# 20240801_100303
alpha,tauRe,tauIm
0.831572,8.64357,0
0.834722,8.59862,0
0.837871,8.55355,0
0.841021,8.50837,0
0.844171,8.46308,0
0.847321,8.41768,0
0.850471,8.37219,0
0.853621,8.3266,0
0.856771,8.28093,0
0.859921,8.23517,0
0.863071,8.18932,0
0.86622,8.1434,0
0.86937,8.09741,0
0.87252,8.05135,0
0.87567,8.00523,0
0.87882,7.95905,0
0.88197,7.91282,0
0.88512,7.86654,0
0.88827,7.82022,0
0.89142,7.77385,0
0.894569,7.72745,0
0.897719,7.68103,0
0.900869,7.63458,0
0.904019,7.5881,0
0.907169,7.54162,0
0.910319,7.49512,0
0.913469,7.44862,0
0.916619,7.40212,0
0.919769,7.35562,0
0.922918,7.30913,0
0.926068,7.26266,0
0.929218,7.21621,0
0.932368,7.16978,0
0.935518,7.12337,0
0.938668,7.07701,0
0.941818,7.03068,0
0.944968,6.98439,0
0.948118,6.93815,0
0.951268,6.89196,0
0.954417,6.84583,0
0.957567,6.79976,0
0.960717,6.75376,0
0.963867,6.70783,0
0.967017,6.66197,0
0.970167,6.61619,0
0.973317,6.57049,0
0.976467,6.52489,0
0.979617,6.47937,0
0.982766,6.43395,0
0.985916,6.38863,0
0.989066,6.34341,0
0.992216,6.2983,0
0.995366,6.2533,0
0.998516,6.20842,0
1.00167,6.16366,0
1.00482,6.11901,0
1.00797,6.07449,0
1.01112,6.03011,0
1.01427,5.98585,0
1.01742,5.94172,0
1.02057,5.89774,0
1.02372,5.85389,0
1.02686,5.81019,0
1.03001,5.76663,0
1.03316,5.72322,0
1.03631,5.67996,0
1.03946,5.63686,0
1.04261,5.59391,0
1.04576,5.55111,0
1.04891,5.50848,0
1.05206,5.466,0
1.05521,5.42369,0
1.05836,5.38154,0
1.06151,5.33956,0
1.06466,5.29775,0
1.06781,5.2561,0
1.07096,5.21462,0
1.07411,5.17332,0
1.07726,5.13218,0
1.08041,5.09122,0
1.08356,5.05043,0
1.08671,5.00982,0
1.08986,4.96938,0
1.09301,4.92911,0
1.09616,4.88903,0
1.09931,4.84911,0
1.10246,4.80938,0
1.10561,4.76982,0
1.10876,4.73044,0
1.11191,4.69124,0
1.11506,4.65221,0
1.11821,4.61337,0
1.12136,4.5747,0
1.12451,4.5362,0
1.12766,4.49789,0
1.13081,4.45975,0
1.13396,4.42179,0
1.13711,4.38401,0
1.14026,4.3464,0
1.14341,4.30897,0
1.14656,4.27172,0
1.14971,4.23464,0
1.15286,4.19774,0
1.15601,4.16102,0
1.15916,4.12447,0
1.16231,4.08809,0
1.16546,4.05188,0
1.16861,4.01585,0
1.17176,3.98,0
1.17491,3.94431,0
1.17806,3.9088,0
1.18121,3.87346,0
1.18436,3.83828,0
1.18751,3.80328,0
1.19066,3.76845,0
1.19381,3.73378,0
1.19696,3.69928,0
1.20011,3.66495,0
1.20326,3.63079,0
1.20641,3.59679,0
1.20956,3.56295,0
1.21271,3.52928,0
1.21586,3.49577,0
1.21901,3.46242,0
1.22216,3.42923,0
1.22531,3.3962,0
1.22846,3.36333,0
1.23161,3.33062,0
1.23476,3.29806,0
1.23791,3.26566,0
1.24106,3.23341,0
1.24421,3.20132,0
1.24736,3.16937,0
1.25051,3.13758,0
1.25366,3.10593,0
1.25681,3.07444,0
1.25996,3.04309,0
1.26311,3.01188,0
1.26626,2.98082,0
1.26941,2.9499,0
1.27256,2.91912,0
1.27571,2.88847,0
1.27886,2.85797,0
1.28201,2.8276,0
1.28516,2.79737,0
1.28831,2.76727,0
1.29146,2.7373,0
1.29461,2.70747,0
1.29776,2.67776,0
1.30091,2.64818,0
1.30406,2.61872,0
1.30721,2.58939,0
1.31036,2.56018,0
1.31351,2.5311,0
1.31666,2.50213,0
1.3198,2.47329,0
1.32295,2.44456,0
1.3261,2.41594,0
1.32925,2.38744,0
1.3324,2.35906,0
1.33555,2.33078,0
1.3387,2.30262,0
1.34185,2.27456,0
1.345,2.24662,0
1.34815,2.21877,0
1.3513,2.19104,0
1.35445,2.1634,0
1.3576,2.13587,0
1.36075,2.10844,0
1.3639,2.08111,0
1.36705,2.05388,0
1.3702,2.02674,0
1.37335,1.9997,0
1.3765,1.97275,0
1.37965,1.94589,0
1.3828,1.91912,0
1.38595,1.89243,0
1.3891,1.86584,0
1.39225,1.83933,0
1.3954,1.8129,0
1.39855,1.78655,0
1.4017,1.76028,0
1.40485,1.73408,0
1.408,1.70796,0
1.41115,1.68192,0
1.4143,1.65594,0
1.41745,1.63003,0
1.4206,1.60419,0
1.42375,1.57842,0
1.4269,1.5527,0
1.43005,1.52705,0
1.4332,1.50145,0
1.43635,1.47591,0
1.4395,1.45042,0
1.44265,1.42499,0
1.4458,1.3996,0
1.44895,1.37426,0
1.4521,1.34897,0
1.45525,1.32372,0
1.4584,1.29852,0
1.46155,1.27335,0
1.4647,1.24822,0
1.46785,1.22312,0
1.471,1.19806,0
1.47415,1.17302,0
1.4773,1.14802,0
1.48045,1.12303,0
1.4836,1.09807,0
1.48675,1.07313,0
1.4899,1.0482,0
1.49305,1.02329,0
1.4962,0.998379,0
1.49935,0.973475,0
1.5025,0.948572,0
1.50565,0.923664,0
1.5088,0.898747,0
1.51195,0.873816,0
1.5151,0.848868,0
1.51825,0.823898,0
1.5214,0.7989,0
1.52455,0.773872,0
1.5277,0.748808,0
1.53085,0.723706,0
1.534,0.698562,0
1.53715,0.673373,0
1.5403,0.648135,0
1.54345,0.622847,0
1.5466,0.597504,0
1.54975,0.572103,0
1.5529,0.546637,0
1.55605,0.521097,0
1.5592,0.49547,0
1.56235,0.469733,0
1.5655,0.443856,0
1.56865,0.417795,0
1.5718,0.391487,0
