# 20240826_193149
alpha,DrRe,DrIm
0,12.5804,0
0.00157237,12.5862,0
0.00314474,12.5915,0
0.00471711,12.596,0
0.00628947,12.5998,0
0.00786184,12.6031,0
0.00943421,12.6059,0
0.0110066,12.6083,0
0.0125789,12.6104,0
0.0141513,12.6121,0
0.0157237,12.6137,0
0.0172961,12.6149,0
0.0188684,12.6161,0
0.0204408,12.6171,0
0.0220132,12.6179,0
0.0235855,12.6187,0
0.0251579,12.6195,0
0.0267303,12.6202,0
0.0283026,12.6209,0
0.029875,12.6216,0
0.0314474,12.6223,0
0.0330197,12.6231,0
0.0345921,12.6238,0
0.0361645,12.6247,0
0.0377368,12.6255,0
0.0393092,12.6265,0
0.0408816,12.6275,0
0.042454,12.6285,0
0.0440263,12.6297,0
0.0455987,12.6309,0
0.0471711,12.6322,0
0.0487434,12.6335,0
0.0503158,12.6349,0
0.0518882,12.6364,0
0.0534605,12.638,0
0.0550329,12.6396,0
0.0566053,12.6413,0
0.0581776,12.6431,0
0.05975,12.6449,0
0.0613224,12.6468,0
0.0628947,12.6488,0
0.0644671,12.6508,0
0.0660395,12.6528,0
0.0676119,12.655,0
0.0691842,12.6571,0
0.0707566,12.6593,0
0.072329,12.6616,0
0.0739013,12.6639,0
0.0754737,12.6662,0
0.0770461,12.6686,0
0.0786184,12.671,0
0.0801908,12.6735,0
0.0817632,12.676,0
0.0833355,12.6785,0
0.0849079,12.6811,0
0.0864803,12.6837,0
0.0880526,12.6863,0
0.089625,12.689,0
0.0911974,12.6916,0
0.0927698,12.6943,0
0.0943421,12.6971,0
0.0959145,12.6998,0
0.0974869,12.7026,0
0.0990592,12.7055,0
0.100632,12.7083,0
0.102204,12.7112,0
0.103776,12.7141,0
0.105349,12.717,0
0.106921,12.7199,0
0.108493,12.7229,0
0.110066,12.7259,0
0.111638,12.729,0
0.113211,12.732,0
0.114783,12.7351,0
0.116355,12.7382,0
0.117928,12.7414,0
0.1195,12.7446,0
0.121072,12.7478,0
0.122645,12.751,0
0.124217,12.7543,0
0.125789,12.7576,0
0.127362,12.7609,0
0.128934,12.7643,0
0.130507,12.7677,0
0.132079,12.7711,0
0.133651,12.7746,0
0.135224,12.7781,0
0.136796,12.7816,0
0.138368,12.7852,0
0.139941,12.7888,0
0.141513,12.7924,0
0.143086,12.7961,0
0.144658,12.7998,0
0.14623,12.8035,0
0.147803,12.8073,0
0.149375,12.8111,0
0.150947,12.8149,0
0.15252,12.8188,0
0.154092,12.8227,0
0.155665,12.8266,0
0.157237,12.8305,0
0.158809,12.8345,0
0.160382,12.8385,0
0.161954,12.8426,0
0.163526,12.8466,0
0.165099,12.8507,0
0.166671,12.8549,0
0.168243,12.859,0
0.169816,12.8632,0
0.171388,12.8674,0
0.172961,12.8716,0
0.174533,12.8758,0
0.176105,12.8801,0
0.177678,12.8843,0
0.17925,12.8886,0
0.180822,12.8929,0
0.182395,12.8972,0
0.183967,12.9016,0
0.18554,12.9059,0
0.187112,12.9102,0
0.188684,12.9146,0
0.190257,12.9189,0
0.191829,12.9233,0
0.193401,12.9277,0
0.194974,12.932,0
0.196546,12.9364,0
0.198118,12.9408,0
0.199691,12.9451,0
0.201263,12.9495,0
0.202836,12.9538,0
0.204408,12.9581,0
0.20598,12.9625,0
0.207553,12.9668,0
0.209125,12.9711,0
0.210697,12.9754,0
0.21227,12.9796,0
0.213842,12.9839,0
0.215415,12.9881,0
0.216987,12.9923,0
0.218559,12.9965,0
0.220132,13.0006,0
0.221704,13.0048,0
0.223276,13.0089,0
0.224849,13.0129,0
0.226421,13.017,0
0.227993,13.021,0
0.229566,13.0249,0
0.231138,13.0289,0
0.232711,13.0328,0
0.234283,13.0366,0
0.235855,13.0404,0
0.237428,13.0442,0
0.239,13.0479,0
