# epsilon:0.000160054
# mass:0.312
# sign:1
alpha,RePhi,ImPhi,ReDPhi,ImDPhi
0.,0.,0,-0.22487678872978772,0
0.01,0.000035952651594397644,0,-0.22556473784620443,0
0.02,0.000104250702997166,0,-0.22589147391619366,0
0.03,0.00020279552952661497,0,-0.22611380672971504,0
0.04,0.000330661714113621,0,-0.2263605173407377,0
0.05,0.0004876688512890359,0,-0.2266852612796934,0
0.06,0.0006740553817070014,0,-0.22710146123573072,0
0.07,0.0008902790186953672,0,-0.22760406136266426,0
0.08,0.001136884585436768,0,-0.22818212414150518,0
0.09,0.001414421780984573,0,-0.2288253228132002,0
0.1,0.001723416562661367,0,-0.22952657329108409,0
0.11,0.002064370232044126,0,-0.23028240650362913,0
0.12,0.002437776123556905,0,-0.23109217754814323,0
0.13,0.002844146174272808,0,-0.23195680322708778,0
0.14,0.0032840149191437655,0,-0.23287755970125046,0
0.15,0.0037579981515134236,0,-0.2338549649314638,0
0.16,0.004266767855203995,0,-0.23488817457866987,0
0.17,0.004811096039535113,0,-0.23597448871571403,0
0.18,0.005391826247981668,0,-0.23710933696070044,0
0.19,0.006009887865223477,0,-0.2382863512537128,0
0.2,0.006666274111545326,0,-0.23949754852251726,0
0.21,0.007362027517991968,0,-0.24073373425899408,0
0.22,0.008098231181088676,0,-0.24198451950428496,0
0.23,0.00887598833487361,0,-0.2432388772961173,0
0.24,0.009696381902707702,0,-0.24448480788533364,0
0.25,0.010560472167365179,0,-0.2457096456034758,0
0.26,0.011469278241564285,0,-0.2468997883862708,0
0.27,0.012423733933138033,0,-0.2480404753190994,0
0.28,0.013424692414102766,0,-0.24911563203579706,0
0.29,0.014472869483766219,0,-0.25010731734946573,0
0.3,0.015568836448456535,0,-0.2509956011102717,0
0.31,0.01671299744554634,0,-0.25175813839825933,0
0.32,0.017905499467416822,0,-0.25236976128660743,0
0.33,0.019146297965644585,0,-0.25280258505587694,0
0.34,0.02043498022383006,0,-0.253025438496743,0
0.35000000000000003,0.021770866889535823,0,-0.25300424494739243,0
0.36,0.023152813420743816,0,-0.2527016625212409,0
0.37,0.02457934717572271,0,-0.2520776322587568,0
0.38,0.026048385049459204,0,-0.25108920571090176,0
0.39,0.027557457633134774,0,-0.2496912298486329,0
0.4,0.029103352751769222,0,-0.24783643635449476,0
0.41000000000000003,0.030682413495991344,0,-0.24547608918301606,0
0.42,0.0322901211461327,0,-0.24256040556363911,0
0.43,0.03392147837974707,0,-0.23903900341736456,0
0.44,0.03557048570500744,0,-0.23486178389172652,0
0.45,0.037230680023890086,0,-0.22997886723408575,0
0.46,0.03889455740904431,0,-0.22434222724425512,0
0.47000000000000003,0.040554052123496484,0,-0.21790510437369456,0
0.48,0.04220017363019845,0,-0.21062398221648118,0
0.49,0.04382323312088764,0,-0.20245824018888298,0
0.5,0.0454128088729868,0,-0.19337160874347073,0
0.51,0.04695777724595832,0,-0.18333267907583198,0
0.52,0.04844630160472266,0,-0.17231649723768713,0
0.53,0.04986603286342346,0,-0.16030424779834082,0
0.54,0.051204006526595895,0,-0.14728622224135982,0
0.55,0.05244689838103539,0,-0.13326091267408213,0
0.56,0.053580989036378514,0,-0.11823786925479843,0
0.5700000000000001,0.05459237607198968,0,-0.10223783566801402,0
0.58,0.05546704063691511,0,-0.08529373315735932,0
0.59,0.05619105610381085,0,-0.06745283237434406,0
0.6,0.05675065282409884,0,-0.048775035208422204,0
0.61,0.05713258341100882,0,-0.02933723941361704,0
0.62,0.057323985995945834,0,-0.009228433279762138,0
0.63,0.05731305732082792,0,0.011444624760364211,0
0.64,0.05708865296818807,0,0.032563731875100296,0
0.65,0.056641208183311385,0,0.053994314654920356,0
0.66,0.05596210655203969,0,0.07559209615302644,0
0.67,0.05504484562867039,0,0.09719960523478048,0
0.68,0.05388413080372721,0,0.11865249877378466,0
0.6900000000000001,0.05247724779954895,0,0.13977792607100886,0
0.7000000000000001,0.05082290660650435,0,0.1603998610065813,0
0.71,0.0489227441876273,0,0.18033956918139027,0
0.72,0.04677996676710082,0,0.19941937601420118,0
0.73,0.04440088609182128,0,0.2174653718266503,0
0.74,0.0417935161987444,0,0.23430944569723233,0
0.75,0.03896860647782403,0,0.24979300469242785,0
0.76,0.03593911018229001,0,0.26376952558544225,0
0.77,0.032720094047569905,0,0.2761070538188554,0
0.78,0.029328668116426496,0,0.2866911138812739,0
0.79,0.025783822139552687,0,0.29542759349440334,0
0.8,0.02210610875834421,0,0.30224452487640474,0
0.81,0.01831742672819378,0,0.3070940598045419,0
0.8200000000000001,0.014440784125702485,0,0.30995479376479623,0
0.8300000000000001,0.010499929778815486,0,0.31083232314709264,0
0.84,0.006519044489358313,0,0.3097593241998133,0
0.85,0.00252243033523535,0,0.30679579155429343,0
0.86,-0.0014658560106481262,0,0.30202807272895654,0
0.87,-0.00542231424858324,0,0.2955662681813482,0
0.88,-0.009324254757025393,0,0.28754151910108855,0
0.89,-0.013150315706193391,0,0.2781042718206218,0
0.9,-0.016880326227921502,0,0.26741726685819167,0
0.91,-0.020495968665163233,0,0.25565443446570246,0
0.92,-0.023980620619640913,0,0.24299417602081194,0
0.93,-0.02731964635994829,0,0.22961620572204974,0
0.9400000000000001,-0.030500569976319513,0,0.21569715678797666,0
0.9500000000000001,-0.03351278299552224,0,0.20140682893407885,0
0.96,-0.03634811063667854,0,0.18690557218528872,0
0.97,-0.03900003606862827,0,0.17234175782783914,0
0.98,-0.041464434124983574,0,0.15785013416740612,0
0.99,-0.043738673950090005,0,0.14355120046867967,0
