# 20240725_151055
alpha,chiRe,chiIm
0.342776,-0.00296286,0
0.344349,-0.00299391,0
0.345921,-0.00302518,0
0.347493,-0.00305666,0
0.349066,-0.00308836,0
0.350638,-0.00312026,0
0.352211,-0.00315236,0
0.353783,-0.00318466,0
0.355355,-0.00321716,0
0.356928,-0.00324986,0
0.3585,-0.00328274,0
0.360072,-0.0033158,0
0.361645,-0.00334905,0
0.363217,-0.00338248,0
0.36479,-0.00341608,0
0.366362,-0.00344986,0
0.367934,-0.0034838,0
0.369507,-0.00351791,0
0.371079,-0.00355218,0
0.372651,-0.00358661,0
0.374224,-0.00362119,0
0.375796,-0.00365593,0
0.377368,-0.00369084,0
0.378941,-0.00372608,0
0.380513,-0.00376167,0
0.382086,-0.00379759,0
0.383658,-0.00383384,0
0.38523,-0.00387041,0
0.386803,-0.00390728,0
0.388375,-0.00394445,0
0.389947,-0.00398191,0
0.39152,-0.00401964,0
0.393092,-0.00405763,0
0.394665,-0.00409588,0
0.396237,-0.00413438,0
0.397809,-0.00417312,0
0.399382,-0.00421208,0
0.400954,-0.00425125,0
0.402526,-0.00429063,0
0.404099,-0.00433021,0
0.405671,-0.00436997,0
0.407243,-0.00440991,0
0.408816,-0.00445002,0
0.410388,-0.00449028,0
0.411961,-0.00453068,0
0.413533,-0.00457124,0
0.415105,-0.00461203,0
0.416678,-0.00465308,0
0.41825,-0.00469437,0
0.419822,-0.0047359,0
0.421395,-0.00477767,0
0.422967,-0.00481968,0
0.42454,-0.00486192,0
0.426112,-0.00490439,0
0.427684,-0.00494708,0
0.429257,-0.00498999,0
0.430829,-0.00503312,0
0.432401,-0.00507647,0
0.433974,-0.00512002,0
0.435546,-0.00516378,0
0.437118,-0.00520775,0
0.438691,-0.00525191,0
0.440263,-0.00529627,0
0.441836,-0.00534083,0
0.443408,-0.00538557,0
0.44498,-0.0054305,0
0.446553,-0.00547561,0
0.448125,-0.00552089,0
0.449697,-0.00556636,0
0.45127,-0.00561199,0
0.452842,-0.00565784,0
0.454415,-0.00570396,0
0.455987,-0.00575036,0
0.457559,-0.00579701,0
0.459132,-0.00584392,0
0.460704,-0.00589107,0
0.462276,-0.00593847,0
0.463849,-0.0059861,0
0.465421,-0.00603395,0
0.466994,-0.00608202,0
0.468566,-0.00613031,0
0.470138,-0.00617879,0
0.471711,-0.00622748,0
0.473283,-0.00627635,0
0.474855,-0.00632541,0
0.476428,-0.00637464,0
0.478,-0.00642404,0
0.479572,-0.00647361,0
0.481145,-0.00652332,0
0.482717,-0.00657319,0
0.48429,-0.00662319,0
0.485862,-0.00667333,0
0.487434,-0.00672359,0
0.489007,-0.00677398,0
0.490579,-0.00682455,0
0.492151,-0.00687532,0
0.493724,-0.00692627,0
0.495296,-0.0069774,0
0.496869,-0.00702872,0
0.498441,-0.00708021,0
0.500013,-0.00713188,0
0.501586,-0.00718372,0
0.503158,-0.00723572,0
0.50473,-0.00728789,0
0.506303,-0.00734022,0
0.507875,-0.00739271,0
0.509447,-0.00744535,0
0.51102,-0.00749814,0
0.512592,-0.00755108,0
0.514165,-0.00760417,0
0.515737,-0.00765739,0
0.517309,-0.00771076,0
0.518882,-0.00776425,0
0.520454,-0.00781788,0
0.522026,-0.00787164,0
0.523599,-0.00792552,0
0.525171,-0.00797953,0
0.526744,-0.00803365,0
0.528316,-0.00808789,0
0.529888,-0.00814224,0
0.531461,-0.00819669,0
0.533033,-0.00825126,0
0.534605,-0.00830603,0
0.536178,-0.008361,0
0.53775,-0.00841618,0
0.539322,-0.00847155,0
0.540895,-0.00852711,0
0.542467,-0.00858284,0
0.54404,-0.00863875,0
0.545612,-0.00869481,0
0.547184,-0.00875103,0
0.548757,-0.00880739,0
0.550329,-0.00886388,0
0.551901,-0.0089205,0
0.553474,-0.00897724,0
0.555046,-0.00903408,0
0.556619,-0.00909103,0
0.558191,-0.00914807,0
0.559763,-0.00920519,0
0.561336,-0.00926239,0
0.562908,-0.00931966,0
0.56448,-0.00937698,0
0.566053,-0.00943435,0
0.567625,-0.00949176,0
0.569197,-0.00954921,0
0.57077,-0.00960668,0
0.572342,-0.00966417,0
0.573915,-0.00972166,0
0.575487,-0.00977915,0
0.577059,-0.00983663,0
0.578632,-0.00989409,0
0.580204,-0.00995153,0
0.581776,-0.0100089,0
0.583349,-0.0100665,0
0.584921,-0.0101242,0
0.586494,-0.010182,0
0.588066,-0.0102399,0
0.589638,-0.010298,0
0.591211,-0.0103562,0
0.592783,-0.0104144,0
0.594355,-0.0104728,0
0.595928,-0.0105312,0
0.5975,-0.0105897,0
0.599072,-0.0106482,0
0.600645,-0.0107067,0
0.602217,-0.0107653,0
0.60379,-0.0108239,0
0.605362,-0.0108825,0
0.606934,-0.0109411,0
0.608507,-0.0109997,0
0.610079,-0.0110583,0
0.611651,-0.0111168,0
0.613224,-0.0111752,0
0.614796,-0.0112336,0
0.616369,-0.0112919,0
0.617941,-0.0113501,0
0.619513,-0.0114082,0
0.621086,-0.0114663,0
0.622658,-0.0115241,0
0.62423,-0.0115819,0
0.625803,-0.0116395,0
0.627375,-0.011697,0
0.628947,-0.0117543,0
0.63052,-0.0118114,0
0.632092,-0.0118685,0
0.633665,-0.0119256,0
0.635237,-0.0119828,0
0.636809,-0.01204,0
0.638382,-0.0120972,0
0.639954,-0.0121544,0
0.641526,-0.0122116,0
0.643099,-0.0122687,0
0.644671,-0.0123259,0
0.646244,-0.0123829,0
0.647816,-0.0124399,0
0.649388,-0.0124969,0
0.650961,-0.0125537,0
0.652533,-0.0126104,0
0.654105,-0.0126671,0
0.655678,-0.0127236,0
0.65725,-0.01278,0
0.658822,-0.0128362,0
0.660395,-0.0128923,0
0.661967,-0.0129482,0
0.66354,-0.0130039,0
0.665112,-0.0130595,0
0.666684,-0.0131148,0
0.668257,-0.0131699,0
0.669829,-0.0132248,0
0.671401,-0.0132795,0
0.672974,-0.0133339,0
