# 20240822_171225
alpha,tauRe,tauIm
0,13.01,0
0.00314989,13.0107,0
0.00629978,13.0113,0
0.00944968,13.0116,0
0.0125996,13.0119,0
0.0157495,13.012,0
0.0188994,13.012,0
0.0220492,13.0119,0
0.0251991,13.0118,0
0.028349,13.0116,0
0.0314989,13.0114,0
0.0346488,13.0111,0
0.0377987,13.0108,0
0.0409486,13.0105,0
0.0440985,13.0102,0
0.0472484,13.0099,0
0.0503983,13.0095,0
0.0535482,13.0091,0
0.0566981,13.0087,0
0.059848,13.0083,0
0.0629978,13.0079,0
0.0661477,13.0075,0
0.0692976,13.007,0
0.0724475,13.0065,0
0.0755974,13.006,0
0.0787473,13.0055,0
0.0818972,13.005,0
0.0850471,13.0044,0
0.088197,13.0039,0
0.0913469,13.0033,0
0.0944968,13.0026,0
0.0976467,13.002,0
0.100797,13.0013,0
0.103946,13.0006,0
0.107096,12.9998,0
0.110246,12.9991,0
0.113396,12.9982,0
0.116546,12.9974,0
0.119696,12.9965,0
0.122846,12.9956,0
0.125996,12.9947,0
0.129146,12.9937,0
0.132295,12.9927,0
0.135445,12.9916,0
0.138595,12.9905,0
0.141745,12.9894,0
0.144895,12.9882,0
0.148045,12.987,0
0.151195,12.9858,0
0.154345,12.9845,0
0.157495,12.9832,0
0.160645,12.9818,0
0.163794,12.9804,0
0.166944,12.9789,0
0.170094,12.9774,0
0.173244,12.9758,0
0.176394,12.9742,0
0.179544,12.9726,0
0.182694,12.9709,0
0.185844,12.9691,0
0.188994,12.9673,0
0.192143,12.9655,0
0.195293,12.9635,0
0.198443,12.9615,0
0.201593,12.9595,0
0.204743,12.9574,0
0.207893,12.9552,0
0.211043,12.953,0
0.214193,12.9507,0
0.217343,12.9483,0
0.220492,12.9459,0
0.223642,12.9434,0
0.226792,12.9408,0
0.229942,12.9381,0
0.233092,12.9354,0
0.236242,12.9326,0
0.239392,12.9297,0
0.242542,12.9267,0
0.245692,12.9236,0
0.248842,12.9204,0
0.251991,12.9171,0
0.255141,12.9138,0
0.258291,12.9103,0
0.261441,12.9068,0
0.264591,12.9031,0
0.267741,12.8993,0
0.270891,12.8955,0
0.274041,12.8915,0
0.277191,12.8874,0
0.28034,12.8832,0
0.28349,12.8788,0
0.28664,12.8744,0
0.28979,12.8698,0
0.29294,12.8651,0
0.29609,12.8603,0
0.29924,12.8553,0
0.30239,12.8502,0
0.30554,12.845,0
0.308689,12.8396,0
0.311839,12.8341,0
0.314989,12.8285,0
0.318139,12.8227,0
0.321289,12.8167,0
0.324439,12.8106,0
0.327589,12.8044,0
0.330739,12.7979,0
0.333889,12.7913,0
0.337038,12.7846,0
0.340188,12.7777,0
0.343338,12.7706,0
0.346488,12.7633,0
0.349638,12.7559,0
0.352788,12.7483,0
0.355938,12.7405,0
0.359088,12.7325,0
0.362238,12.7244,0
0.365388,12.716,0
0.368537,12.7075,0
0.371687,12.6987,0
0.374837,12.6898,0
0.377987,12.6806,0
0.381137,12.6713,0
0.384287,12.6617,0
0.387437,12.6519,0
0.390587,12.642,0
0.393737,12.6318,0
0.396886,12.6214,0
0.400036,12.6107,0
0.403186,12.5999,0
0.406336,12.5888,0
0.409486,12.5775,0
0.412636,12.5659,0
0.415786,12.5542,0
0.418936,12.5421,0
0.422086,12.5299,0
0.425235,12.5174,0
0.428385,12.5047,0
0.431535,12.4917,0
0.434685,12.4785,0
0.437835,12.465,0
0.440985,12.4513,0
0.444135,12.4373,0
0.447285,12.4231,0
0.450435,12.4086,0
0.453585,12.3938,0
0.456734,12.3788,0
0.459884,12.3635,0
0.463034,12.348,0
0.466184,12.3322,0
0.469334,12.3161,0
0.472484,12.2998,0
0.475634,12.2832,0
0.478784,12.2663,0
0.481934,12.2491,0
0.485083,12.2317,0
0.488233,12.214,0
0.491383,12.196,0
0.494533,12.1778,0
0.497683,12.1592,0
0.500833,12.1404,0
0.503983,12.1213,0
0.507133,12.1019,0
0.510283,12.0823,0
0.513432,12.0623,0
0.516582,12.0421,0
0.519732,12.0216,0
0.522882,12.0008,0
0.526032,11.9797,0
0.529182,11.9583,0
0.532332,11.9366,0
0.535482,11.9147,0
0.538632,11.8924,0
0.541781,11.8699,0
0.544931,11.8471,0
0.548081,11.824,0
0.551231,11.8006,0
0.554381,11.7769,0
0.557531,11.7529,0
0.560681,11.7286,0
0.563831,11.7041,0
0.566981,11.6792,0
0.570131,11.6541,0
0.57328,11.6287,0
0.57643,11.6029,0
0.57958,11.5769,0
