# 20240731_142132
alpha,urRe,urIm
0,0.013286,0
0.00157237,0.0145671,0
0.00314474,0.015915,0
0.00471711,0.0173241,0
0.00628947,0.0187781,0
0.00786184,0.0202792,0
0.00943421,0.0218175,0
0.0110066,0.0233945,0
0.0125789,0.025002,0
0.0141513,0.0266408,0
0.0157237,0.0283044,0
0.0172961,0.0299932,0
0.0188684,0.0317016,0
0.0204408,0.0334301,0
0.0220132,0.035174,0
0.0235855,0.0369336,0
0.0251579,0.0387049,0
0.0267303,0.0404883,0
0.0283026,0.0422805,0
0.029875,0.0440816,0
0.0314474,0.0458891,0
0.0330197,0.047703,0
0.0345921,0.0495212,0
0.0361645,0.0513438,0
0.0377368,0.0531692,0
0.0393092,0.0549973,0
0.0408816,0.0568268,0
0.042454,0.0586577,0
0.0440263,0.0604891,0
0.0455987,0.062321,0
0.0471711,0.0641526,0
0.0487434,0.0659838,0
0.0503158,0.0678143,0
0.0518882,0.0696439,0
0.0534605,0.0714723,0
0.0550329,0.0732996,0
0.0566053,0.0751254,0
0.0581776,0.0769499,0
0.05975,0.0787728,0
0.0613224,0.0805943,0
0.0628947,0.0824143,0
0.0644671,0.0842328,0
0.0660395,0.0860499,0
0.0676119,0.0878656,0
0.0691842,0.08968,0
0.0707566,0.0914931,0
0.072329,0.0933051,0
0.0739013,0.095116,0
0.0754737,0.096926,0
0.0770461,0.0987351,0
0.0786184,0.100543,0
0.0801908,0.102351,0
0.0817632,0.104158,0
0.0833355,0.105965,0
0.0849079,0.107772,0
0.0864803,0.109578,0
0.0880526,0.111385,0
0.089625,0.113191,0
0.0911974,0.114998,0
0.0927698,0.116804,0
0.0943421,0.118612,0
0.0959145,0.120419,0
0.0974869,0.122227,0
0.0990592,0.124036,0
0.100632,0.125846,0
0.102204,0.127656,0
0.103776,0.129468,0
0.105349,0.13128,0
0.106921,0.133093,0
0.108493,0.134908,0
0.110066,0.136723,0
0.111638,0.13854,0
0.113211,0.140358,0
0.114783,0.142177,0
0.116355,0.143998,0
0.117928,0.14582,0
0.1195,0.147643,0
0.121072,0.149468,0
0.122645,0.151294,0
0.124217,0.153121,0
0.125789,0.15495,0
0.127362,0.156781,0
0.128934,0.158612,0
0.130507,0.160446,0
0.132079,0.162281,0
0.133651,0.164117,0
0.135224,0.165954,0
0.136796,0.167794,0
0.138368,0.169634,0
0.139941,0.171476,0
0.141513,0.173319,0
0.143086,0.175164,0
0.144658,0.17701,0
0.14623,0.178857,0
0.147803,0.180706,0
0.149375,0.182555,0
0.150947,0.184407,0
0.15252,0.186259,0
0.154092,0.188112,0
0.155665,0.189967,0
0.157237,0.191823,0
0.158809,0.19368,0
0.160382,0.195538,0
0.161954,0.197397,0
0.163526,0.199257,0
0.165099,0.201118,0
0.166671,0.20298,0
0.168243,0.204843,0
