# 20240731_142132
alpha,rRe,rIm
-0.001,0.098926,0
0.0021519,0.13842,0
0.00530379,0.177983,0
0.00845569,0.2176,0
0.0116076,0.257263,0
0.0147595,0.29696,0
0.0179114,0.336685,0
0.0210633,0.376431,0
0.0242152,0.416194,0
0.0273671,0.45597,0
0.030519,0.495756,0
0.0336709,0.535551,0
0.0368228,0.575352,0
0.0399747,0.61516,0
0.0431265,0.654973,0
0.0462784,0.694792,0
0.0494303,0.734618,0
0.0525822,0.77445,0
0.0557341,0.814289,0
0.058886,0.854136,0
0.0620379,0.893992,0
0.0651898,0.933859,0
0.0683417,0.973736,0
0.0714936,1.01362,0
0.0746455,1.05353,0
0.0777974,1.09344,0
0.0809493,1.13337,0
0.0841012,1.17332,0
0.0872531,1.21328,0
0.090405,1.25326,0
0.0935569,1.29326,0
0.0967088,1.33327,0
0.0998607,1.37331,0
0.103013,1.41336,0
0.106164,1.45344,0
0.109316,1.49353,0
0.112468,1.53365,0
0.11562,1.57378,0
0.118772,1.61394,0
0.121924,1.65412,0
0.125076,1.69433,0
0.128228,1.73455,0
0.13138,1.7748,0
0.134532,1.81507,0
0.137683,1.85536,0
0.140835,1.89568,0
0.143987,1.93602,0
0.147139,1.97638,0
0.150291,2.01677,0
0.153443,2.05718,0
0.156595,2.09761,0
0.159747,2.13807,0
0.162899,2.17856,0
0.166051,2.21906,0
0.169202,2.2596,0
0.172354,2.30015,0
0.175506,2.34074,0
0.178658,2.38135,0
0.18181,2.42198,0
0.184962,2.46264,0
0.188114,2.50332,0
0.191266,2.54403,0
0.194418,2.58477,0
0.197569,2.62553,0
0.200721,2.66632,0
0.203873,2.70713,0
0.207025,2.74797,0
0.210177,2.78884,0
0.213329,2.82973,0
0.216481,2.87065,0
0.219633,2.91159,0
0.222785,2.95256,0
0.225937,2.99355,0
0.229088,3.03458,0
0.23224,3.07562,0
0.235392,3.11669,0
0.238544,3.15779,0
0.241696,3.19891,0
0.244848,3.24005,0
0.248,3.28122,0
0.251152,3.32241,0
0.254304,3.36363,0
0.257455,3.40486,0
0.260607,3.44612,0
0.263759,3.4874,0
0.266911,3.52869,0
0.270063,3.57001,0
0.273215,3.61135,0
0.276367,3.6527,0
0.279519,3.69407,0
0.282671,3.73545,0
0.285823,3.77685,0
0.288974,3.81826,0
0.292126,3.85969,0
0.295278,3.90112,0
0.29843,3.94257,0
0.301582,3.98403,0
0.304734,4.02549,0
0.307886,4.06696,0
0.311038,4.10843,0
0.31419,4.1499,0
0.317342,4.19138,0
0.320493,4.23286,0
0.323645,4.27433,0
0.326797,4.3158,0
0.329949,4.35727,0
0.333101,4.39873,0
0.336253,4.44018,0
0.339405,4.48162,0
0.342557,4.52305,0
0.345709,4.56446,0
0.348861,4.60586,0
0.352012,4.64724,0
0.355164,4.6886,0
0.358316,4.72993,0
0.361468,4.77125,0
0.36462,4.81254,0
0.367772,4.85379,0
0.370924,4.89502,0
0.374076,4.93622,0
0.377228,4.97738,0
0.380379,5.0185,0
0.383531,5.05959,0
0.386683,5.10063,0
0.389835,5.14163,0
0.392987,5.18258,0
0.396139,5.22348,0
0.399291,5.26433,0
0.402443,5.30513,0
0.405595,5.34587,0
0.408747,5.38656,0
0.411898,5.42718,0
0.41505,5.46774,0
0.418202,5.50823,0
0.421354,5.54866,0
0.424506,5.58901,0
0.427658,5.62929,0
0.43081,5.66949,0
0.433962,5.70961,0
0.437114,5.74965,0
0.440266,5.78961,0
0.443417,5.82948,0
0.446569,5.86926,0
0.449721,5.90895,0
0.452873,5.94854,0
0.456025,5.98803,0
0.459177,6.02743,0
0.462329,6.06671,0
0.465481,6.1059,0
0.468633,6.14497,0
0.471784,6.18393,0
0.474936,6.22277,0
0.478088,6.2615,0
0.48124,6.3001,0
0.484392,6.33859,0
0.487544,6.37694,0
0.490696,6.41516,0
0.493848,6.45326,0
0.497,6.49121,0
0.500152,6.52903,0
0.503303,6.5667,0
0.506455,6.60423,0
0.509607,6.64161,0
0.512759,6.67884,0
0.515911,6.71592,0
0.519063,6.75284,0
0.522215,6.7896,0
0.525367,6.8262,0
0.528519,6.86263,0
0.531671,6.89889,0
0.534822,6.93497,0
0.537974,6.97089,0
0.541126,7.00662,0
0.544278,7.04217,0
0.54743,7.07754,0
0.550582,7.11272,0
0.553734,7.1477,0
0.556886,7.1825,0
0.560038,7.21709,0
0.563189,7.25149,0
0.566341,7.28568,0
0.569493,7.31966,0
0.572645,7.35344,0
0.575797,7.387,0
0.578949,7.42035,0
0.582101,7.45347,0
0.585253,7.48638,0
0.588405,7.51906,0
0.591557,7.55151,0
0.594708,7.58373,0
0.59786,7.61571,0
0.601012,7.64746,0
0.604164,7.67897,0
0.607316,7.71023,0
0.610468,7.74125,0
0.61362,7.77202,0
0.616772,7.80254,0
0.619924,7.8328,0
0.623075,7.8628,0
0.626227,7.89254,0
0.629379,7.92202,0
0.632531,7.95123,0
0.635683,7.98018,0
0.638835,8.00885,0
0.641987,8.03724,0
0.645139,8.06536,0
0.648291,8.09319,0
0.651443,8.12074,0
0.654594,8.14801,0
0.657746,8.17499,0
0.660898,8.20167,0
0.66405,8.22807,0
0.667202,8.25416,0
0.670354,8.27996,0
0.673506,8.30545,0
0.676658,8.33064,0
0.67981,8.35553,0
0.682962,8.3801,0
0.686113,8.40436,0
0.689265,8.42831,0
0.692417,8.45195,0
0.695569,8.47526,0
0.698721,8.49825,0
0.701873,8.52092,0
0.705025,8.54327,0
0.708177,8.56529,0
0.711329,8.58697,0
0.714481,8.60833,0
0.717632,8.62935,0
0.720784,8.65004,0
0.723936,8.67039,0
0.727088,8.6904,0
0.73024,8.71008,0
0.733392,8.7294,0
