# 20240731_142132
alpha,DtauRe,DtauIm
-0.001,-0.135416,0
0.0021519,-0.105258,0
0.00530379,-0.0829809,0
0.00845569,-0.0672455,0
0.0116076,-0.0568942,0
0.0147595,-0.0509323,0
0.0179114,-0.04851,0
0.0210633,-0.0489049,0
0.0242152,-0.0515078,0
0.0273671,-0.0558085,0
0.030519,-0.0613835,0
0.0336709,-0.0678855,0
0.0368228,-0.0750325,0
0.0399747,-0.0825995,0
0.0431265,-0.0904104,0
0.0462784,-0.0983306,0
0.0494303,-0.106261,0
0.0525822,-0.114131,0
0.0557341,-0.121898,0
0.058886,-0.129535,0
0.0620379,-0.137034,0
0.0651898,-0.144401,0
0.0683417,-0.151652,0
0.0714936,-0.158807,0
0.0746455,-0.165898,0
0.0777974,-0.172955,0
0.0809493,-0.180014,0
0.0841012,-0.187111,0
0.0872531,-0.194281,0
0.090405,-0.20156,0
0.0935569,-0.208982,0
0.0967088,-0.216578,0
0.0998607,-0.224378,0
0.103013,-0.232409,0
0.106164,-0.240696,0
0.109316,-0.24926,0
0.112468,-0.258122,0
0.11562,-0.267297,0
0.118772,-0.2768,0
0.121924,-0.286642,0
0.125076,-0.296835,0
0.128228,-0.307385,0
0.13138,-0.318299,0
0.134532,-0.329581,0
0.137683,-0.341237,0
0.140835,-0.353267,0
0.143987,-0.365675,0
0.147139,-0.378461,0
0.150291,-0.391628,0
0.153443,-0.405175,0
0.156595,-0.419105,0
0.159747,-0.433418,0
0.162899,-0.448117,0
0.166051,-0.463204,0
0.169202,-0.478681,0
0.172354,-0.494554,0
0.175506,-0.510825,0
0.178658,-0.527502,0
0.18181,-0.54459,0
0.184962,-0.562096,0
0.188114,-0.58003,0
0.191266,-0.5984,0
0.194418,-0.617217,0
0.197569,-0.636493,0
0.200721,-0.65624,0
0.203873,-0.67647,0
0.207025,-0.697199,0
0.210177,-0.71844,0
0.213329,-0.74021,0
0.216481,-0.762525,0
0.219633,-0.785402,0
0.222785,-0.808857,0
0.225937,-0.832908,0
0.229088,-0.857574,0
0.23224,-0.882873,0
0.235392,-0.908822,0
0.238544,-0.935441,0
0.241696,-0.962747,0
0.244848,-0.990759,0
0.248,-1.01949,0
0.251152,-1.04897,0
0.254304,-1.07921,0
0.257455,-1.11022,0
0.260607,-1.14202,0
0.263759,-1.17464,0
0.266911,-1.20807,0
0.270063,-1.24234,0
0.273215,-1.27747,0
0.276367,-1.31345,0
0.279519,-1.35032,0
0.282671,-1.38807,0
0.285823,-1.42672,0
0.288974,-1.46627,0
0.292126,-1.50674,0
0.295278,-1.54814,0
0.29843,-1.59046,0
0.301582,-1.63372,0
0.304734,-1.67792,0
0.307886,-1.72306,0
0.311038,-1.76915,0
0.31419,-1.81619,0
0.317342,-1.86418,0
0.320493,-1.91311,0
0.323645,-1.963,0
0.326797,-2.01383,0
0.329949,-2.0656,0
0.333101,-2.11831,0
0.336253,-2.17196,0
0.339405,-2.22654,0
0.342557,-2.28205,0
0.345709,-2.33847,0
0.348861,-2.39581,0
0.352012,-2.45405,0
0.355164,-2.51319,0
0.358316,-2.57321,0
0.361468,-2.63412,0
0.36462,-2.69589,0
0.367772,-2.75852,0
0.370924,-2.822,0
0.374076,-2.88632,0
0.377228,-2.95147,0
0.380379,-3.01743,0
0.383531,-3.0842,0
0.386683,-3.15176,0
0.389835,-3.22011,0
0.392987,-3.28922,0
0.396139,-3.3591,0
0.399291,-3.42972,0
0.402443,-3.50107,0
0.405595,-3.57314,0
0.408747,-3.64593,0
0.411898,-3.71941,0
0.41505,-3.79358,0
0.418202,-3.86842,0
0.421354,-3.94393,0
0.424506,-4.02008,0
0.427658,-4.09687,0
0.43081,-4.17428,0
0.433962,-4.25231,0
0.437114,-4.33094,0
0.440266,-4.41016,0
0.443417,-4.48996,0
0.446569,-4.57033,0
0.449721,-4.65125,0
0.452873,-4.73271,0
0.456025,-4.81471,0
0.459177,-4.89723,0
0.462329,-4.98025,0
0.465481,-5.06378,0
0.468633,-5.14779,0
0.471784,-5.23227,0
0.474936,-5.31722,0
0.478088,-5.40262,0
0.48124,-5.48846,0
0.484392,-5.57473,0
0.487544,-5.66141,0
0.490696,-5.7485,0
0.493848,-5.83599,0
0.497,-5.92385,0
0.500152,-6.01209,0
0.503303,-6.10068,0
0.506455,-6.18962,0
0.509607,-6.27889,0
0.512759,-6.36848,0
0.515911,-6.45838,0
0.519063,-6.54858,0
0.522215,-6.63905,0
0.525367,-6.72979,0
0.528519,-6.82079,0
0.531671,-6.91202,0
0.534822,-7.00349,0
0.537974,-7.09516,0
0.541126,-7.18704,0
0.544278,-7.2791,0
0.54743,-7.37132,0
0.550582,-7.46371,0
0.553734,-7.55623,0
0.556886,-7.64887,0
0.560038,-7.74162,0
0.563189,-7.83447,0
0.566341,-7.92739,0
0.569493,-8.02037,0
0.572645,-8.11339,0
0.575797,-8.20644,0
0.578949,-8.29951,0
0.582101,-8.39256,0
0.585253,-8.4856,0
0.588405,-8.57859,0
0.591557,-8.67153,0
0.594708,-8.76439,0
0.59786,-8.85715,0
0.601012,-8.94981,0
0.604164,-9.04234,0
0.607316,-9.13473,0
0.610468,-9.22695,0
0.61362,-9.319,0
0.616772,-9.41084,0
0.619924,-9.50247,0
0.623075,-9.59386,0
0.626227,-9.685,0
0.629379,-9.77587,0
0.632531,-9.86645,0
0.635683,-9.95673,0
0.638835,-10.0467,0
0.641987,-10.1363,0
0.645139,-10.2255,0
0.648291,-10.3144,0
0.651443,-10.4029,0
0.654594,-10.491,0
0.657746,-10.5786,0
0.660898,-10.6658,0
0.66405,-10.7525,0
0.667202,-10.8387,0
0.670354,-10.9245,0
0.673506,-11.0097,0
0.676658,-11.0944,0
0.67981,-11.1785,0
0.682962,-11.2621,0
0.686113,-11.3451,0
0.689265,-11.4275,0
0.692417,-11.5092,0
0.695569,-11.5904,0
0.698721,-11.6709,0
0.701873,-11.7507,0
0.705025,-11.8298,0
0.708177,-11.9082,0
0.711329,-11.986,0
0.714481,-12.063,0
0.717632,-12.1392,0
0.720784,-12.2147,0
0.723936,-12.2894,0
0.727088,-12.3633,0
0.73024,-12.4364,0
0.733392,-12.5086,0
0.736544,-12.5801,0
0.739696,-12.6506,0
0.742848,-12.7203,0
0.745999,-12.7891,0
0.749151,-12.857,0
0.752303,-12.924,0
0.755455,-12.99,0
0.758607,-13.0551,0
0.761759,-13.1192,0
0.764911,-13.1823,0
0.768063,-13.2445,0
0.771215,-13.3056,0
0.774366,-13.3656,0
0.777518,-13.4247,0
0.78067,-13.4826,0
0.783822,-13.5395,0
0.786974,-13.5953,0
0.790126,-13.65,0
0.793278,-13.7035,0
0.79643,-13.7559,0
0.799582,-13.8072,0
0.802734,-13.8572,0
0.805885,-13.9061,0
0.809037,-13.9538,0
0.812189,-14.0002,0
0.815341,-14.0454,0
0.818493,-14.0894,0
0.821645,-14.1321,0
0.824797,-14.1735,0
0.827949,-14.2136,0
0.831101,-14.2524,0
0.834253,-14.2898,0
0.837404,-14.326,0
0.840556,-14.3607,0
0.843708,-14.3941,0
0.84686,-14.4261,0
0.850012,-14.4567,0
0.853164,-14.4859,0
0.856316,-14.5137,0
0.859468,-14.5401,0
0.86262,-14.565,0
0.865772,-14.5885,0
0.868923,-14.6104,0
0.872075,-14.631,0
0.875227,-14.65,0
0.878379,-14.6676,0
0.881531,-14.6836,0
0.884683,-14.6981,0
0.887835,-14.7112,0
0.890987,-14.7227,0
0.894139,-14.7327,0
0.89729,-14.7411,0
0.900442,-14.7481,0
0.903594,-14.7535,0
0.906746,-14.7574,0
0.909898,-14.7597,0
0.91305,-14.7605,0
0.916202,-14.7598,0
0.919354,-14.7575,0
0.922506,-14.7538,0
0.925658,-14.7485,0
0.928809,-14.7416,0
0.931961,-14.7333,0
0.935113,-14.7235,0
0.938265,-14.7122,0
0.941417,-14.6994,0
0.944569,-14.6851,0
0.947721,-14.6694,0
0.950873,-14.6523,0
0.954025,-14.6337,0
0.957177,-14.6136,0
0.960328,-14.5922,0
0.96348,-14.5694,0
0.966632,-14.5453,0
0.969784,-14.5198,0
0.972936,-14.4929,0
0.976088,-14.4648,0
0.97924,-14.4354,0
0.982392,-14.4047,0
0.985544,-14.3728,0
0.988696,-14.3397,0
0.991847,-14.3054,0
0.994999,-14.2699,0
0.998151,-14.2333,0
1.0013,-14.1956,0
1.00445,-14.1569,0
1.00761,-14.117,0
1.01076,-14.0762,0
1.01391,-14.0344,0
1.01706,-13.9917,0
1.02021,-13.948,0
1.02337,-13.9034,0
1.02652,-13.858,0
1.02967,-13.8117,0
1.03282,-13.7647,0
1.03597,-13.7169,0
1.03913,-13.6683,0
1.04228,-13.6191,0
1.04543,-13.5692,0
1.04858,-13.5187,0
1.05173,-13.4676,0
1.05489,-13.4159,0
1.05804,-13.3637,0
1.06119,-13.311,0
1.06434,-13.2578,0
1.06749,-13.2042,0
1.07064,-13.1502,0
1.0738,-13.0958,0
1.07695,-13.0411,0
1.0801,-12.986,0
1.08325,-12.9307,0
1.0864,-12.8751,0
1.08956,-12.8193,0
1.09271,-12.7632,0
1.09586,-12.707,0
1.09901,-12.6507,0
1.10216,-12.5942,0
1.10532,-12.5376,0
1.10847,-12.4809,0
1.11162,-12.4242,0
1.11477,-12.3675,0
1.11792,-12.3107,0
1.12108,-12.2539,0
1.12423,-12.1972,0
1.12738,-12.1404,0
1.13053,-12.0838,0
1.13368,-12.0272,0
1.13683,-11.9707,0
1.13999,-11.9143,0
1.14314,-11.8581,0
1.14629,-11.8019,0
1.14944,-11.7459,0
1.15259,-11.6901,0
1.15575,-11.6344,0
1.1589,-11.5789,0
1.16205,-11.5236,0
1.1652,-11.4684,0
1.16835,-11.4135,0
1.17151,-11.3588,0
1.17466,-11.3043,0
1.17781,-11.25,0
1.18096,-11.196,0
1.18411,-11.1422,0
1.18726,-11.0886,0
1.19042,-11.0353,0
1.19357,-10.9823,0
1.19672,-10.9295,0
1.19987,-10.8769,0
1.20302,-10.8247,0
1.20618,-10.7727,0
1.20933,-10.721,0
1.21248,-10.6696,0
1.21563,-10.6185,0
1.21878,-10.5676,0
1.22194,-10.5171,0
1.22509,-10.4669,0
1.22824,-10.417,0
1.23139,-10.3674,0
1.23454,-10.3181,0
1.2377,-10.2692,0
1.24085,-10.2206,0
1.244,-10.1723,0
1.24715,-10.1244,0
1.2503,-10.0769,0
1.25345,-10.0297,0
1.25661,-9.98287,0
1.25976,-9.93644,0
1.26291,-9.89039,0
1.26606,-9.84473,0
1.26921,-9.79948,0
1.27237,-9.75463,0
1.27552,-9.71021,0
1.27867,-9.66621,0
1.28182,-9.62264,0
1.28497,-9.57951,0
1.28813,-9.53683,0
1.29128,-9.49461,0
1.29443,-9.45286,0
1.29758,-9.41157,0
1.30073,-9.37076,0
1.30389,-9.33044,0
1.30704,-9.2906,0
1.31019,-9.25126,0
1.31334,-9.21242,0
1.31649,-9.17409,0
1.31964,-9.13627,0
1.3228,-9.09896,0
1.32595,-9.06217,0
1.3291,-9.0259,0
1.33225,-8.99015,0
1.3354,-8.95492,0
1.33856,-8.92021,0
1.34171,-8.88603,0
1.34486,-8.85238,0
1.34801,-8.81924,0
1.35116,-8.78663,0
1.35432,-8.75454,0
1.35747,-8.72297,0
1.36062,-8.69191,0
1.36377,-8.66137,0
1.36692,-8.63134,0
1.37007,-8.60182,0
1.37323,-8.5728,0
1.37638,-8.54428,0
1.37953,-8.51627,0
1.38268,-8.48876,0
1.38583,-8.46174,0
1.38899,-8.43522,0
1.39214,-8.40919,0
1.39529,-8.38367,0
1.39844,-8.35864,0
1.40159,-8.33412,0
1.40475,-8.3101,0
1.4079,-8.2866,0
1.41105,-8.26362,0
1.4142,-8.24117,0
1.41735,-8.21926,0
1.42051,-8.1979,0
1.42366,-8.1771,0
1.42681,-8.15689,0
1.42996,-8.13728,0
1.43311,-8.11829,0
1.43626,-8.09993,0
1.43942,-8.08225,0
1.44257,-8.06525,0
1.44572,-8.04897,0
1.44887,-8.03343,0
1.45202,-8.01866,0
1.45518,-8.00469,0
1.45833,-7.99156,0
1.46148,-7.97929,0
1.46463,-7.96791,0
1.46778,-7.95745,0
1.47094,-7.94794,0
1.47409,-7.93942,0
1.47724,-7.9319,0
1.48039,-7.92542,0
1.48354,-7.91999,0
1.4867,-7.91563,0
1.48985,-7.91237,0
1.493,-7.91022,0
1.49615,-7.90919,0
1.4993,-7.90929,0
1.50245,-7.91052,0
1.50561,-7.91289,0
1.50876,-7.9164,0
1.51191,-7.92105,0
1.51506,-7.92684,0
1.51821,-7.93378,0
1.52137,-7.94188,0
1.52452,-7.95115,0
1.52767,-7.96161,0
1.53082,-7.97332,0
1.53397,-7.98633,0
1.53713,-8.00073,0
1.54028,-8.01664,0
1.54343,-8.03423,0
1.54658,-8.0537,0
1.54973,-8.07535,0
1.55288,-8.09951,0
1.55604,-8.12663,0
1.55919,-8.15728,0
1.56234,-8.19213,0
1.56549,-8.23202,0
1.56864,-8.27796,0
1.5718,-8.33118,0
