# 20240731_142132
alpha,utauRe,utauIm
-0.001,1.00175,0
0.0021519,1.00129,0
0.00530379,1.00095,0
0.00845569,1.00071,0
0.0116076,1.00057,0
0.0147595,1.0005,0
0.0179114,1.00049,0
0.0210633,1.00054,0
0.0242152,1.00062,0
0.0273671,1.00075,0
0.030519,1.0009,0
0.0336709,1.00108,0
0.0368228,1.00128,0
0.0399747,1.0015,0
0.0431265,1.00173,0
0.0462784,1.00198,0
0.0494303,1.00223,0
0.0525822,1.0025,0
0.0557341,1.00278,0
0.058886,1.00307,0
0.0620379,1.00337,0
0.0651898,1.00367,0
0.0683417,1.00399,0
0.0714936,1.00432,0
0.0746455,1.00465,0
0.0777974,1.005,0
0.0809493,1.00536,0
0.0841012,1.00573,0
0.0872531,1.00611,0
0.090405,1.0065,0
0.0935569,1.00691,0
0.0967088,1.00733,0
0.0998607,1.00777,0
0.103013,1.00822,0
0.106164,1.00868,0
0.109316,1.00916,0
0.112468,1.00965,0
0.11562,1.01015,0
0.118772,1.01067,0
0.121924,1.01121,0
0.125076,1.01176,0
0.128228,1.01233,0
0.13138,1.01291,0
0.134532,1.0135,0
0.137683,1.01411,0
0.140835,1.01474,0
0.143987,1.01538,0
0.147139,1.01603,0
0.150291,1.0167,0
0.153443,1.01738,0
0.156595,1.01808,0
0.159747,1.01879,0
0.162899,1.01951,0
0.166051,1.02025,0
0.169202,1.021,0
0.172354,1.02177,0
0.175506,1.02255,0
0.178658,1.02334,0
0.18181,1.02414,0
0.184962,1.02496,0
0.188114,1.02579,0
0.191266,1.02664,0
0.194418,1.0275,0
0.197569,1.02837,0
0.200721,1.02925,0
0.203873,1.03015,0
0.207025,1.03106,0
0.210177,1.03198,0
0.213329,1.03292,0
0.216481,1.03387,0
0.219633,1.03483,0
0.222785,1.03581,0
0.225937,1.0368,0
0.229088,1.0378,0
0.23224,1.03882,0
0.235392,1.03985,0
0.238544,1.0409,0
0.241696,1.04195,0
0.244848,1.04303,0
0.248,1.04411,0
0.251152,1.04521,0
0.254304,1.04632,0
0.257455,1.04745,0
0.260607,1.04859,0
0.263759,1.04975,0
0.266911,1.05092,0
0.270063,1.0521,0
0.273215,1.0533,0
0.276367,1.05451,0
0.279519,1.05574,0
0.282671,1.05698,0
0.285823,1.05824,0
0.288974,1.05951,0
0.292126,1.06079,0
0.295278,1.06209,0
0.29843,1.0634,0
0.301582,1.06473,0
0.304734,1.06607,0
0.307886,1.06742,0
0.311038,1.06879,0
0.31419,1.07017,0
0.317342,1.07157,0
0.320493,1.07298,0
0.323645,1.0744,0
0.326797,1.07584,0
0.329949,1.07729,0
0.333101,1.07875,0
0.336253,1.08023,0
0.339405,1.08172,0
0.342557,1.08322,0
0.345709,1.08473,0
0.348861,1.08626,0
0.352012,1.0878,0
0.355164,1.08935,0
0.358316,1.09092,0
0.361468,1.09249,0
0.36462,1.09408,0
0.367772,1.09568,0
0.370924,1.0973,0
0.374076,1.09892,0
0.377228,1.10056,0
0.380379,1.1022,0
0.383531,1.10386,0
0.386683,1.10553,0
0.389835,1.10721,0
0.392987,1.1089,0
0.396139,1.1106,0
0.399291,1.11232,0
0.402443,1.11404,0
0.405595,1.11577,0
0.408747,1.11752,0
0.411898,1.11927,0
0.41505,1.12103,0
0.418202,1.12281,0
0.421354,1.12459,0
0.424506,1.12638,0
0.427658,1.12819,0
0.43081,1.13,0
0.433962,1.13182,0
0.437114,1.13365,0
0.440266,1.13549,0
0.443417,1.13734,0
0.446569,1.1392,0
0.449721,1.14107,0
0.452873,1.14295,0
0.456025,1.14483,0
0.459177,1.14673,0
0.462329,1.14864,0
0.465481,1.15055,0
0.468633,1.15247,0
0.471784,1.1544,0
0.474936,1.15634,0
0.478088,1.15829,0
0.48124,1.16025,0
0.484392,1.16221,0
0.487544,1.16418,0
0.490696,1.16617,0
0.493848,1.16816,0
0.497,1.17015,0
0.500152,1.17216,0
0.503303,1.17418,0
0.506455,1.1762,0
0.509607,1.17823,0
0.512759,1.18027,0
0.515911,1.18231,0
0.519063,1.18437,0
0.522215,1.18643,0
0.525367,1.1885,0
0.528519,1.19057,0
0.531671,1.19266,0
0.534822,1.19475,0
0.537974,1.19685,0
0.541126,1.19895,0
0.544278,1.20106,0
0.54743,1.20318,0
0.550582,1.20531,0
0.553734,1.20744,0
0.556886,1.20958,0
0.560038,1.21173,0
0.563189,1.21388,0
0.566341,1.21604,0
0.569493,1.2182,0
0.572645,1.22037,0
0.575797,1.22255,0
0.578949,1.22473,0
0.582101,1.22692,0
0.585253,1.22911,0
